Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Croatia,-70%,-30%,-21%,-65%,-52%,+16%
Bjelovar-Bilogora_County,-69%,-30%,-18%,-73%,-48%,+17%
Brod-Posavina_County,-68%,-31%,Not enough data for this date,-78%,-51%,+22%
City_of_Zagreb,-73%,-36%,-5%,-66%,-55%,+17%
Dubrovnik-Neretva_County,-65%,-24%,-23%,-63%,-52%,+22%
Istria_County,-60%,-21%,+3%,-63%,-46%,+12%
Karlovac_County,-71%,-34%,+0%,-57%,-48%,+24%
Koprivnica-Križevci_County,-70%,-42%,Not enough data for this date,Not enough data for this date,-51%,+17%
Krapina-Zagorje_County,-74%,-32%,Not enough data for this date,-55%,-57%,+29%
Lika-Senj_County,-71%,-35%,-55%,-79%,-40%,Not
Međimurje_County,-72%,-39%,Not enough data for this date,-76%,-58%,+26%
Osijek-Baranja_County,-69%,-30%,-2%,-61%,-51%,+15%
Požega-Slavonia_County,-69%,-40%,Not enough data for this date,-59%,-54%,+0%
Primorje-Gorski_Kotar_County,-73%,-30%,-25%,-74%,-51%,+16%
Sisak-Moslavina_County,-61%,-40%,-51%,-71%,-45%,+23%
Split-Dalmatia_County,-72%,-23%,-31%,-68%,-54%,+19%
Varaždin_County,-74%,-34%,-38%,-69%,-55%,+26%
Virovitica-Podravina_County,-63%,-36%,Not enough data for this date,-64%,-47%,+1%
Vukovar-Srijem_County,-70%,-13%,Not enough data for this date,-55%,-47%,+21%
Zadar_County,-67%,-16%,+4%,-63%,-47%,+22%
Zagreb_County,-71%,-37%,-18%,-62%,-55%,+18%
Šibenik-Knin_County,-65%,-15%,-14%,-59%,-47%,+15%
