Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Kenya,-47%,-33%,-23%,-41%,-29%,+21%
Baringo_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Bomet_County,-32%,-17%,Not enough data for this date,Not enough data for this date,-13%,Not
Bungoma_County,-1%,-7%,+16%,-30%,-16%,Not
Busia_County,-26%,-27%,Not enough data for this date,Not enough data for this date,-7%,Not
Embu_County,-37%,-14%,Not enough data for this date,-56%,-21%,Not
Garissa_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,+0%,Not
Homa_Bay_County,-24%,-19%,Not enough data for this date,+13%,-2%,Not
Kajiado_County,-37%,-18%,-35%,-27%,-23%,+23%
Kakamega_County,-32%,-19%,-49%,-26%,-13%,Not
Kericho_County,-23%,-28%,Not enough data for this date,Not enough data for this date,-19%,Not
Kiambu_County,-38%,-31%,-14%,-35%,-29%,+24%
Kilifi_County,-52%,-47%,-51%,-42%,-33%,+17%
Kirinyaga_County,-7%,-31%,+9%,Not enough data for this date,-11%,Not
Kisii_County,-26%,-35%,Not enough data for this date,-35%,-20%,Not
Kisumu_County,-51%,-13%,-48%,-50%,-20%,+17%
Kitui_County,-21%,-26%,+2%,-53%,-15%,Not
Kwale_County,-55%,-21%,Not enough data for this date,Not enough data for this date,-33%,Not
Laikipia_County,-30%,-20%,Not enough data for this date,-52%,-20%,Not
Machakos_County,-51%,+13%,-47%,-39%,-22%,+22%
Makueni_County,-7%,-18%,Not enough data for this date,-21%,-10%,Not
Meru_County,-20%,-22%,Not enough data for this date,-24%,-19%,+2%
Migori_County,-7%,+4%,Not enough data for this date,-51%,-8%,Not
Mombasa_County,-55%,-47%,-49%,-55%,-33%,+22%
Muranga_County,-9%,-21%,Not enough data for this date,-75%,-19%,Not
Nairobi_County,-54%,-39%,-46%,-48%,-35%,+25%
Nakuru_County,-38%,-35%,-37%,-48%,-22%,+18%
Nandi_County,-24%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-20%,Not
Narok_County,-50%,-32%,+30%,-42%,-17%,Not
Nyandarua_County,-29%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Nyeri_County,-35%,-41%,+28%,-13%,-25%,+3%
Siaya,-8%,-10%,Not enough data for this date,Not enough data for this date,-15%,Not
Taita-Taveta_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-6%,Not
Tharaka-Nithi_County,-52%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Trans-Nzoia_County,-3%,-32%,Not enough data for this date,-17%,-15%,Not
Turkana_County,-25%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-15%,Not
Uasin_Gishu_County,-34%,-45%,-21%,-50%,-23%,+15%
Vihiga_County,-12%,Not enough data for this date,Not enough data for this date,-30%,-41%,Not
Wajir_County,-100%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
