Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Mauritius,-83%,-63%,-83%,-86%,-63%,+27%
Flacq_District,-79%,-62%,-80%,Not enough data for this date,-70%,+8%
Grand_Port_District,-77%,-90%,-85%,-93%,-65%,+8%
Moka_District,-85%,-33%,Not enough data for this date,-82%,-57%,+8%
Pamplemousses_District,-72%,-48%,-90%,-78%,-61%,+7%
Plaines_Wilhems_District,-85%,-66%,-85%,-88%,-64%,+40%
Port_Louis_District,-88%,-76%,-68%,-83%,-61%,+6%
Rivière_Noire_District,-85%,-62%,-91%,-79%,-65%,+8%
Rivière_du_Rempart_District,-84%,-73%,-91%,Not enough data for this date,-63%,+8%
Rodrigues_District,Not,Not enough data for this date,-32%,Not enough data for this date,-49%,Not
Savanne_District,-100%,-60%,-85%,Not enough data for this date,-64%,Not
