Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Poland,-76%,-57%,-57%,-64%,-48%,+17%
Greater_Poland_Voivodeship,-73%,-57%,-42%,-64%,-50%,+18%
Kuyavian-Pomeranian_Voivodeship,-71%,-54%,-35%,-70%,-44%,+16%
Lesser_Poland_Voivodeship,-83%,-62%,-80%,-75%,-54%,+19%
Lower_Silesian_Voivodeship,-76%,-60%,-56%,-68%,-48%,+17%
Lublin_Voivodeship,-78%,-58%,-48%,-67%,-47%,+17%
Lubusz_Voivodeship,-70%,-59%,-29%,-61%,-44%,+16%
Masovian_Voivodeship,-76%,-56%,-64%,-66%,-50%,+18%
Opole_Voivodeship,-75%,-59%,-36%,-66%,-47%,+16%
Podkarpackie_Voivodeship,-80%,-60%,-53%,-70%,-51%,+18%
Podlaskie_Voivodeship,-77%,-53%,-36%,-58%,-44%,+16%
Pomeranian_Voivodeship,-71%,-54%,-61%,-66%,-46%,+17%
Silesian_Voivodeship,-75%,-58%,-49%,-57%,-48%,+18%
Swietokrzyskie,-79%,-58%,-47%,-63%,-49%,+17%
Warmian-Masurian_Voivodeship,-71%,-53%,-30%,-57%,-43%,+15%
West_Pomeranian_Voivodeship,-73%,-59%,-62%,-56%,-44%,+15%
Łódź_Voivodeship,-73%,-56%,-48%,-59%,-47%,+17%
