Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Nebraska,-39%,+4%,+52%,-21%,-29%,+11%
Adams_County,-38%,-9%,Not enough data for this date,Not enough data for this date,-19%,+18%
Antelope_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-26%,Not
Box_Butte_County,-28%,-2%,Not enough data for this date,Not enough data for this date,-13%,Not
Buffalo_County,-53%,-8%,Not enough data for this date,-17%,-33%,+21%
Burt_County,-58%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Butler_County,-55%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Cass_County,-45%,Not enough data for this date,-63%,Not enough data for this date,-29%,+12%
Cedar_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Cherry_County,-68%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Cheyenne_County,-29%,-20%,Not enough data for this date,+6%,-43%,Not
Clay_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Colfax_County,-65%,-8%,Not enough data for this date,Not enough data for this date,-8%,Not
Cuming_County,-37%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Custer_County,-49%,-11%,Not enough data for this date,Not enough data for this date,-30%,Not
Dakota_County,-18%,+49%,Not enough data for this date,Not enough data for this date,+13%,+1%
Dawes_County,-38%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Dawson_County,-21%,+0%,Not enough data for this date,Not enough data for this date,-20%,-2%
Deuel_County,Not,Not enough data for this date,Not enough data for this date,+3%,Not enough data for this date,Not
Dixon_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-30%,Not
Dodge_County,-24%,+3%,Not enough data for this date,-14%,-29%,+16%
Douglas_County,-45%,+6%,-4%,-34%,-34%,+12%
Fillmore_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Gage_County,-34%,+9%,Not enough data for this date,Not enough data for this date,-21%,+1%
Hall_County,-49%,-20%,Not enough data for this date,-9%,-35%,+20%
Hamilton_County,-58%,Not enough data for this date,Not enough data for this date,-1%,-34%,Not
Holt_County,-25%,-4%,Not enough data for this date,Not enough data for this date,-26%,Not
Howard_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Jefferson_County,-25%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Johnson_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Kearney_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Keith_County,-36%,-22%,Not enough data for this date,+0%,-29%,Not
Kimball_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Knox_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Lancaster_County,-40%,-5%,+117%,-19%,-30%,+11%
Lincoln_County,-38%,+3%,Not enough data for this date,-14%,-22%,+14%
Madison_County,-38%,+3%,Not enough data for this date,Not enough data for this date,-23%,+16%
Merrick_County,-30%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Morrill_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Nemaha_County,-58%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-32%,Not
Otoe_County,-21%,+51%,Not enough data for this date,Not enough data for this date,-23%,Not
Phelps_County,-29%,+16%,Not enough data for this date,Not enough data for this date,-45%,Not
Pierce_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Platte_County,-35%,+0%,Not enough data for this date,-8%,-16%,+19%
Polk_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Red_Willow_County,-24%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-24%,Not
Richardson_County,-36%,-2%,Not enough data for this date,Not enough data for this date,-23%,Not
Saline_County,-23%,+14%,Not enough data for this date,Not enough data for this date,-34%,Not
Sarpy_County,-38%,+0%,+115%,-6%,-31%,+12%
Saunders_County,-35%,+20%,Not enough data for this date,Not enough data for this date,-24%,Not
Scotts_Bluff_County,-36%,-1%,Not enough data for this date,Not enough data for this date,-26%,+14%
Seward_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-19%,Not
Stanton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Thayer_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-17%,Not
Thurston_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Washington_County,-25%,-9%,Not enough data for this date,Not enough data for this date,-21%,Not
Wayne_County,-39%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
York_County,-48%,Not enough data for this date,Not enough data for this date,-17%,-27%,Not
