Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Pennsylvania,-47%,-12%,+19%,-50%,-40%,+15%
Adams_County,-54%,-3%,+16%,Not enough data for this date,-40%,+14%
Allegheny_County,-54%,-8%,+8%,-52%,-45%,+15%
Armstrong_County,-35%,+5%,Not enough data for this date,Not enough data for this date,-33%,+24%
Beaver_County,-42%,+2%,+14%,-52%,-42%,+14%
Bedford_County,-45%,+10%,Not enough data for this date,-79%,-28%,+18%
Berks_County,-45%,-14%,+53%,-38%,-43%,+15%
Blair_County,-51%,-6%,-36%,-35%,-34%,+12%
Bradford_County,-31%,+10%,Not enough data for this date,Not enough data for this date,-18%,+22%
Bucks_County,-47%,-24%,+54%,-44%,-41%,+16%
Butler_County,-47%,-35%,+0%,-31%,-40%,+14%
Cambria_County,-46%,-3%,Not enough data for this date,Not enough data for this date,-32%,+12%
Carbon_County,-35%,-7%,-13%,Not enough data for this date,-38%,+24%
Centre_County,-64%,-21%,-5%,-45%,-47%,+15%
Chester_County,-49%,-24%,+12%,-69%,-40%,+15%
Clarion_County,-46%,-13%,Not enough data for this date,Not enough data for this date,-23%,+10%
Clearfield_County,-39%,-5%,-34%,-7%,-27%,+11%
Clinton_County,-28%,-13%,Not enough data for this date,-38%,-27%,+17%
Columbia_County,-44%,+11%,Not enough data for this date,-32%,-34%,+26%
Crawford_County,-35%,+11%,Not enough data for this date,Not enough data for this date,-38%,+24%
Cumberland_County,-51%,-9%,+83%,-31%,-38%,+14%
Dauphin_County,-53%,-24%,+28%,-55%,-37%,+14%
Delaware_County,-44%,-14%,+57%,-39%,-40%,+16%
Elk_County,-32%,-8%,Not enough data for this date,Not enough data for this date,-38%,+8%
Erie_County,-46%,+6%,+80%,-39%,-40%,+13%
Fayette_County,-35%,+8%,-34%,Not enough data for this date,-36%,+11%
Franklin_County,-38%,-6%,-15%,-24%,-35%,+12%
Fulton_County,-12%,-27%,Not enough data for this date,-65%,-53%,Not
Greene_County,-33%,-10%,Not enough data for this date,Not enough data for this date,-30%,+3%
Huntingdon_County,-36%,+4%,Not enough data for this date,Not enough data for this date,-25%,+18%
Indiana_County,-43%,-11%,Not enough data for this date,Not enough data for this date,-29%,+25%
Jefferson_County,-35%,-4%,Not enough data for this date,-29%,-24%,+16%
Juniata_County,-48%,-34%,Not enough data for this date,Not enough data for this date,-42%,Not
Lackawanna_County,-49%,+0%,+64%,-42%,-37%,+13%
Lancaster_County,-51%,-19%,+36%,-54%,-39%,+15%
Lawrence_County,-33%,+0%,-50%,Not enough data for this date,-29%,+11%
Lebanon_County,-39%,-6%,-42%,-33%,-37%,+14%
Lehigh_County,-53%,-16%,+46%,-54%,-41%,+16%
Luzerne_County,-50%,-6%,+51%,-31%,-40%,+14%
Lycoming_County,-46%,-1%,-28%,-29%,-33%,+12%
McKean_County,-41%,-3%,Not enough data for this date,Not enough data for this date,-28%,+16%
Mercer_County,-49%,-17%,Not enough data for this date,Not enough data for this date,-37%,+12%
Mifflin_County,-32%,-9%,Not enough data for this date,Not enough data for this date,-26%,+24%
Monroe_County,-53%,-4%,-6%,-63%,-47%,+16%
Montgomery_County,-55%,-25%,+62%,-52%,-45%,+17%
Montour_County,-60%,-33%,Not enough data for this date,Not enough data for this date,-28%,Not
Northampton_County,-51%,-13%,+73%,-42%,-41%,+16%
Northumberland_County,-40%,+10%,Not enough data for this date,-20%,-29%,+12%
Perry_County,-31%,+10%,Not enough data for this date,Not enough data for this date,-30%,+27%
Philadelphia_County,-54%,-17%,-37%,-55%,-43%,+16%
Pike_County,-42%,+16%,Not enough data for this date,Not enough data for this date,-39%,+28%
Potter_County,-38%,+1%,Not enough data for this date,Not enough data for this date,-25%,Not
Schuylkill_County,-34%,+4%,-43%,-30%,-35%,+12%
Snyder_County,-49%,-6%,Not enough data for this date,Not enough data for this date,-29%,+12%
Somerset_County,-46%,+3%,+40%,-57%,-30%,+25%
Sullivan_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Susquehanna_County,-48%,-18%,-42%,-48%,-27%,+16%
Tioga_County,-41%,-13%,Not enough data for this date,Not enough data for this date,-34%,+18%
Union_County,-47%,-4%,Not enough data for this date,Not enough data for this date,-28%,+14%
Venango_County,-35%,+1%,Not enough data for this date,-61%,-30%,+24%
Warren_County,-30%,+15%,-38%,Not enough data for this date,-32%,+17%
Washington_County,-48%,-2%,+27%,-24%,-38%,+13%
Wayne_County,-37%,-6%,Not enough data for this date,Not enough data for this date,-36%,+17%
Westmoreland_County,-42%,-5%,+43%,-41%,-37%,+13%
Wyoming_County,-48%,-4%,Not enough data for this date,Not enough data for this date,-33%,-1%
York_County,-42%,-14%,+42%,-42%,-39%,+14%
