Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Utah,-42%,-4%,+28%,-43%,-34%,+12%
Beaver_County,-63%,Not enough data for this date,Not enough data for this date,-24%,-32%,Not
Box_Elder_County,-23%,-7%,+13%,-17%,-22%,+16%
Cache_County,-36%,+9%,+47%,+8%,-30%,+11%
Carbon_County,-26%,-13%,Not enough data for this date,Not enough data for this date,-24%,Not
Davis_County,-39%,+2%,+24%,-18%,-33%,+12%
Duchesne_County,-25%,+12%,Not enough data for this date,Not enough data for this date,-22%,Not
Emery_County,-55%,+2%,Not enough data for this date,Not enough data for this date,-45%,Not
Garfield_County,Not,Not enough data for this date,-4%,Not enough data for this date,Not enough data for this date,Not
Grand_County,-54%,-2%,-20%,Not enough data for this date,-29%,Not
Iron_County,-36%,-13%,Not enough data for this date,-22%,-32%,+15%
Juab_County,-25%,-15%,Not enough data for this date,-29%,-28%,Not
Kane_County,-31%,-15%,-10%,Not enough data for this date,-39%,Not
Millard_County,-16%,+67%,Not enough data for this date,Not enough data for this date,-2%,Not
Morgan_County,-68%,-2%,Not enough data for this date,Not enough data for this date,-52%,Not
Salt_Lake_County,-48%,-7%,+14%,-60%,-35%,+13%
San_Juan_County,-35%,+34%,-30%,Not enough data for this date,-50%,Not
Sanpete_County,-9%,-7%,Not enough data for this date,Not enough data for this date,-16%,Not
Sevier_County,-23%,+2%,Not enough data for this date,+12%,-14%,Not
Summit_County,-80%,-59%,-48%,-65%,-70%,+6%
Tooele_County,-18%,+31%,Not enough data for this date,-13%,-32%,+16%
Uintah_County,-31%,+1%,+0%,Not enough data for this date,-35%,+5%
Utah_County,-40%,-4%,+94%,-3%,-37%,+12%
Wasatch_County,-49%,-32%,+20%,Not enough data for this date,-54%,+4%
Washington_County,-38%,-3%,-9%,-22%,-31%,+9%
Weber_County,-36%,-7%,+57%,-16%,-27%,+11%
