Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Washington,-47%,-10%,+3%,-50%,-41%,+14%
Adams_County,-38%,+19%,Not enough data for this date,-17%,-31%,Not
Asotin_County,-24%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,+7%
Benton_County,-46%,-7%,+24%,-20%,-36%,+11%
Chelan_County,-48%,-13%,-21%,-23%,-45%,+18%
Clallam_County,-37%,-13%,+3%,-8%,-34%,+16%
Clark_County,-40%,-14%,+53%,-31%,-38%,+13%
Cowlitz_County,-31%,+6%,+28%,-32%,-32%,+10%
Douglas_County,-54%,+9%,Not enough data for this date,-37%,-39%,+17%
Ferry_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Franklin_County,-32%,-1%,-16%,-44%,-34%,+11%
Grant_County,-32%,+8%,-1%,-44%,-28%,+9%
Grays_Harbor_County,-37%,-3%,-9%,-20%,-39%,+10%
Island_County,-34%,-16%,+9%,-45%,-40%,+20%
Jefferson_County,-58%,-33%,-8%,-44%,-38%,+2%
King_County,-59%,-19%,-5%,-63%,-48%,+17%
Kitsap_County,-43%,-8%,-10%,-60%,-39%,+13%
Kittitas_County,-48%,-7%,-26%,-13%,-47%,+18%
Klickitat_County,-50%,-2%,Not enough data for this date,Not enough data for this date,-34%,Not
Lewis_County,-42%,+0%,-11%,-22%,-30%,+11%
Lincoln_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Mason_County,-16%,-7%,+15%,Not enough data for this date,-33%,+17%
Okanogan_County,-29%,+7%,Not enough data for this date,Not enough data for this date,-36%,+9%
Pacific_County,-41%,-14%,-26%,Not enough data for this date,-33%,Not
Pend_Oreille_County,-57%,-1%,Not enough data for this date,Not enough data for this date,-38%,Not
Pierce_County,-46%,-5%,-2%,-24%,-39%,+13%
San_Juan_County,-82%,-42%,Not enough data for this date,-57%,-39%,Not
Skagit_County,-42%,-5%,+28%,-27%,-41%,+13%
Skamania_County,-65%,Not enough data for this date,-38%,Not enough data for this date,-45%,Not
Snohomish_County,-46%,-15%,+18%,-40%,-44%,+15%
Spokane_County,-40%,+1%,+25%,-38%,-36%,+11%
Stevens_County,-26%,+1%,+18%,Not enough data for this date,-28%,+13%
Thurston_County,-45%,-7%,-17%,-29%,-39%,+13%
Walla_Walla_County,-39%,-7%,Not enough data for this date,-35%,-39%,+16%
Whatcom_County,-52%,-20%,-9%,-62%,-43%,+14%
Whitman_County,-45%,-24%,Not enough data for this date,Not enough data for this date,-35%,+21%
Yakima_County,-37%,+8%,-4%,-28%,-30%,+10%
