Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Argentina,-84%,-34%,-80%,-67%,-52%,+27%
Buenos_Aires,-89%,-28%,-84%,-74%,-67%,+32%
Buenos_Aires_Province,-85%,-33%,-83%,-65%,-56%,+27%
Catamarca_Province,-71%,-15%,-64%,-63%,-31%,+23%
Chaco_Province,-79%,-28%,-68%,-81%,-41%,+21%
Chubut_Province,-85%,-37%,-86%,-83%,-47%,+28%
Cordoba,-83%,-37%,-80%,-82%,-50%,+28%
Corrientes,-82%,-44%,-81%,-84%,-42%,+23%
Entre_Rios,-84%,-33%,-85%,-75%,-42%,+24%
Formosa_Province,-83%,-32%,-69%,-56%,-35%,+19%
Jujuy,-80%,-28%,-71%,-84%,-39%,+24%
La_Pampa,-83%,-32%,-72%,-70%,-43%,+24%
La_Rioja_Province,-74%,-27%,-76%,-76%,-41%,+23%
Mendoza_Province,-82%,-30%,-73%,-58%,-46%,+28%
Misiones_Province,-80%,-38%,-71%,-86%,-42%,+23%
Neuquen,-84%,-40%,-84%,-63%,-52%,+31%
Río_Negro,-86%,-46%,-85%,-93%,-50%,+29%
Salta_Province,-81%,-33%,-73%,-52%,-43%,+24%
San_Juan_Province,-77%,-17%,-69%,-82%,-40%,+25%
San_Luis_Province,-86%,-40%,-80%,-85%,-48%,+25%
Santa_Cruz_Province,-81%,-37%,-82%,-87%,-46%,+25%
Santa_Fe_Province,-82%,-29%,-76%,-46%,-49%,+27%
Santiago_del_Estero_Province,-79%,-30%,-68%,-84%,-44%,+22%
Tierra_del_Fuego_Province,-88%,-51%,-87%,-84%,-59%,+29%
Tucumán,-79%,-25%,-66%,-64%,-43%,+23%
