Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Canada,-54%,-15%,-22%,-63%,-47%,+17%
Alberta,-52%,-13%,-44%,-64%,-45%,+16%
British_Columbia,-51%,-17%,+21%,-58%,-48%,+15%
Manitoba,-42%,+0%,-42%,-55%,-38%,+15%
New_Brunswick,-48%,-15%,-40%,-57%,-41%,+15%
Newfoundland_and_Labrador,-45%,-7%,-28%,-63%,-43%,+14%
Northwest_Territories,-53%,-41%,Not enough data for this date,-49%,-38%,Not
Nova_Scotia,-55%,-21%,-55%,-62%,-46%,+16%
Nunavut,-36%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Ontario,-54%,-9%,-20%,-62%,-48%,+16%
Prince_Edward_Island,-50%,-5%,-51%,Not enough data for this date,-42%,+19%
Quebec,-64%,-27%,-38%,-67%,-49%,+19%
Saskatchewan,-50%,-11%,-33%,-58%,-40%,+15%
Yukon,-41%,-26%,Not enough data for this date,Not enough data for this date,-38%,Not
