Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Czechia,-67%,+4%,+9%,-37%,-27%,+7%
Central_Bohemian_Region,-56%,+8%,+103%,+6%,-27%,+8%
Hradec_Králové_Region,-65%,+1%,+22%,-38%,-26%,+7%
Karlovy_Vary_Region,-73%,-2%,-11%,-43%,-29%,+5%
Liberec_Region,-64%,+5%,+40%,-33%,-28%,+7%
Moravian-Silesian_Region,-64%,+13%,+43%,-39%,-24%,+7%
Olomouc_Region,-68%,+12%,+44%,-48%,-26%,+7%
Pardubice_Region,-70%,+4%,+51%,-55%,-23%,+7%
Plzeň_Region,-69%,+2%,+49%,-28%,-29%,+6%
Prague,-73%,-13%,-66%,-54%,-31%,+7%
South_Bohemian_Region,-69%,+3%,+43%,-32%,-23%,+6%
South_Moravian_Region,-66%,+4%,+41%,-31%,-28%,+7%
Vysocina_Region,-67%,+12%,+94%,-23%,-23%,+7%
Zlin_Region,-67%,+8%,+44%,-38%,-31%,+8%
Ústí_nad_Labem_Region,-68%,+13%,+66%,-21%,-22%,+5%
