Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Ireland,-76%,-12%,-31%,-70%,-54%,+21%
County_Carlow,-74%,-11%,-22%,-73%,-49%,+9%
County_Cavan,-66%,-10%,-46%,-50%,-46%,+21%
County_Clare,-72%,-4%,-50%,-68%,-51%,+32%
County_Cork,-76%,-17%,-23%,-68%,-53%,+21%
County_Donegal,-74%,-11%,-43%,-49%,-49%,+30%
County_Dublin,-77%,-11%,-17%,-76%,-60%,+22%
County_Galway,-76%,-9%,-57%,-54%,-55%,+22%
County_Kerry,-78%,-18%,-48%,-69%,-54%,+31%
County_Kildare,-76%,-7%,-26%,-57%,-53%,+20%
County_Kilkenny,-75%,-5%,-50%,-69%,-47%,+28%
County_Laois,-70%,-3%,-70%,-67%,-48%,+22%
County_Leitrim,-92%,-28%,-59%,Not enough data for this date,-49%,Not
County_Limerick,-75%,-16%,-32%,-63%,-50%,+34%
County_Longford,-70%,-23%,Not enough data for this date,Not enough data for this date,-46%,Not
County_Louth,-74%,-11%,-43%,-68%,-51%,+31%
County_Mayo,-81%,-22%,-32%,-67%,-50%,+31%
County_Meath,-69%,+0%,-30%,-43%,-52%,+21%
County_Monaghan,-68%,-12%,Not enough data for this date,-50%,-48%,+18%
County_Offaly,-66%,-11%,-29%,-56%,-48%,+26%
County_Roscommon,-75%,-16%,Not enough data for this date,Not enough data for this date,-48%,+18%
County_Sligo,-83%,-22%,-50%,-58%,-54%,+9%
County_Tipperary,-70%,-9%,-54%,-61%,-47%,+30%
County_Waterford,-77%,-15%,-57%,-61%,-49%,+28%
County_Westmeath,-76%,-18%,-17%,-66%,-54%,+28%
County_Wexford,-73%,-19%,-30%,-50%,-51%,+31%
County_Wicklow,-78%,-10%,-60%,-63%,-56%,+35%
