Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Latvia,-39%,-6%,+22%,-33%,-31%,+7%
Aizkraukle_Municipality,-27%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-71%,Not
Aloja_Municipality,-100%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Alūksne_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-75%,Not
Babīte_Municipality,-26%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-81%,Not
Baldone_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-82%,Not
Balvi_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-72%,Not
Bauska_Municipality,-44%,-14%,Not enough data for this date,Not enough data for this date,-71%,Not
Burtnieki_Municipality,-18%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-77%,Not
Carnikava_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-82%,Not
City_of_Liepāja,-36%,+6%,+11%,-26%,-29%,+12%
Cēsis_Municipality,-49%,-14%,Not enough data for this date,Not enough data for this date,-77%,Not
Daugavpils,-40%,-18%,-46%,-51%,-33%,+8%
Daugavpils_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-69%,Not
Dobele_Municipality,-38%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-73%,Not
Engure_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-82%,Not
Garkalne_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-86%,Not
Grobiņa_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-75%,Not
Gulbene_Municipality,-48%,-8%,Not enough data for this date,Not enough data for this date,-69%,Not
Iecava_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-70%,Not
Ikšķile_Municipality,-25%,-2%,Not enough data for this date,Not enough data for this date,-82%,Not
Inčukalns_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-76%,Not
Jelgava,-31%,-8%,Not enough data for this date,-49%,-22%,+0%
Jelgava_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-76%,Not
Jēkabpils,-25%,-20%,Not enough data for this date,Not enough data for this date,-68%,Not
Jēkabpils_Municipality,-100%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Jūrmala,-27%,-8%,-2%,-10%,-28%,Not
Kocēni_Municipality,-11%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-78%,Not
Krāslava_Municipality,-100%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Kuldīga_Municipality,-15%,-9%,Not enough data for this date,Not enough data for this date,-71%,Not
Lielvārde_Municipality,-35%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-73%,Not
Limbaži_Municipality,-36%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-81%,Not
Madona_Municipality,-45%,-18%,Not enough data for this date,Not enough data for this date,-69%,Not
Mārupe_Municipality,-56%,-15%,Not enough data for this date,-93%,-84%,Not
Ogre_Municipality,-35%,-16%,Not enough data for this date,Not enough data for this date,-78%,Not
Olaine_Municipality,-7%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-78%,Not
Ozolnieki_Municipality,-100%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-84%,Not
Preiļi_Municipality,-31%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Priekuļi_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-74%,Not
Riga,-52%,-20%,-32%,-47%,-38%,+7%
Ropaži_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Rēzekne,-36%,-27%,Not enough data for this date,Not enough data for this date,-71%,Not
Rēzekne_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-70%,Not
Salacgrīva_Municipality,-71%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Salaspils_Municipality,+0%,-4%,Not enough data for this date,Not enough data for this date,-34%,Not
Saldus_Municipality,-20%,-21%,+10%,Not enough data for this date,-77%,Not
Saulkrasti_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Sigulda_Municipality,-29%,-29%,-24%,Not enough data for this date,-80%,Not
Smiltene_Municipality,-22%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-76%,Not
Stopiņi_Municipality,Not,-9%,Not enough data for this date,Not enough data for this date,-87%,Not
Talsi_Municipality,-47%,-10%,Not enough data for this date,Not enough data for this date,-71%,Not
Tukums_Municipality,-25%,-4%,Not enough data for this date,Not enough data for this date,-76%,Not
Valmiera,-52%,-23%,Not enough data for this date,Not enough data for this date,-72%,Not
Ventspils,-35%,-4%,Not enough data for this date,Not enough data for this date,-33%,Not
Ventspils_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-71%,Not
Ādaži_Municipality,-21%,-30%,Not enough data for this date,Not enough data for this date,-76%,Not
Ķegums_Municipality,-16%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Ķekava_Municipality,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-85%,Not
