Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Nigeria,-52%,-35%,-41%,-48%,-27%,+19%
Abia,-42%,-17%,-1%,-35%,-7%,+6%
Adamawa,-32%,-11%,Not enough data for this date,Not enough data for this date,-18%,+3%
Akwa_Ibom,-55%,-42%,-51%,-75%,-30%,+24%
Anambra,-41%,-44%,-27%,-50%,-28%,+12%
Bauchi,+3%,-4%,-9%,Not enough data for this date,+8%,Not
Bayelsa,-23%,-6%,+1%,Not enough data for this date,+11%,Not
Benue,-25%,-5%,-46%,Not enough data for this date,-14%,+4%
Borno,+2%,-11%,-25%,-15%,-14%,+0%
Cross_River,-23%,-26%,-18%,-35%,-8%,+15%
Delta,-57%,-49%,-29%,-52%,-27%,+22%
Ebonyi,-26%,-20%,Not enough data for this date,Not enough data for this date,-5%,Not
Edo,-47%,-26%,-15%,-39%,-15%,+12%
Ekiti,-50%,-52%,Not enough data for this date,-56%,-9%,+7%
Enugu,-49%,-32%,-40%,-42%,-28%,+12%
Federal_Capital_Territory,-58%,-36%,-56%,-79%,-37%,+24%
Gombe,-14%,-12%,Not enough data for this date,Not enough data for this date,-8%,Not
Imo,-46%,-37%,-14%,-52%,-14%,+11%
Jigawa,-35%,Not enough data for this date,Not enough data for this date,Not enough data for this date,+4%,Not
Kaduna,-59%,-41%,-30%,-48%,-25%,+19%
Kano,-17%,-15%,-7%,-25%,-4%,+4%
Katsina,-2%,-6%,-9%,Not enough data for this date,+3%,Not
Kebbi,-12%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-4%,Not
Kogi,-37%,-6%,Not enough data for this date,Not enough data for this date,-4%,-4%
Kwara,-71%,-69%,-32%,-72%,-40%,+24%
Lagos,-67%,-50%,-64%,-51%,-45%,+28%
Nasarawa,-36%,-21%,Not enough data for this date,Not enough data for this date,-19%,+18%
Niger,-22%,-8%,-28%,Not enough data for this date,-9%,+7%
Ogun_State,-31%,-11%,-23%,-31%,-23%,+17%
Ondo,-32%,-28%,-27%,-14%,-6%,+8%
Osun,-50%,-41%,-17%,-48%,-28%,+12%
Oyo,-39%,-27%,-25%,-30%,-15%,+12%
Plateau,-59%,-51%,-25%,-65%,-41%,+5%
Rivers,-29%,-11%,-14%,-39%,-7%,+13%
Sokoto,+10%,-25%,Not enough data for this date,Not enough data for this date,-1%,Not
Taraba,-20%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-5%,Not
Yobe,-9%,+17%,Not enough data for this date,Not enough data for this date,+0%,Not
Zamfara,+51%,-57%,-13%,Not enough data for this date,+10%,Not
