Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Saudi_Arabia,-72%,-36%,-68%,-83%,-49%,+25%
Al_Bahah_Province,-41%,-18%,-40%,Not enough data for this date,-28%,+16%
Al_Jowf,-43%,-18%,-36%,-62%,-21%,+14%
Al_Madinah_Province,-75%,-47%,-72%,-89%,-53%,+27%
Al_Qassim,-51%,-24%,-56%,-71%,-27%,+19%
Aseer_Province,-46%,-16%,-46%,-75%,-24%,+18%
Eastern_Province,-72%,-36%,-60%,-82%,-45%,+25%
Hail_Province,-41%,-15%,-53%,-70%,-25%,+14%
Jazan,-51%,-25%,-60%,-52%,-21%,+16%
Makkah_Province,-78%,-43%,-80%,-85%,-57%,+27%
Najran,-41%,-15%,-48%,Not enough data for this date,-24%,+18%
Northern_Borders_Province,-42%,-10%,Not enough data for this date,Not enough data for this date,-26%,+14%
Riyadh_Province,-76%,-36%,-71%,-88%,-56%,+27%
Tabuk_Province,-69%,-36%,-57%,-37%,-43%,+22%
