Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Slovenia,-76%,-39%,-34%,-47%,-46%,+15%
Administrative_unit_Maribor,-75%,-39%,-45%,-54%,-44%,+24%
Ajdovščina,-88%,-45%,Not enough data for this date,-62%,-52%,Not
Brežice,-89%,-53%,Not enough data for this date,Not enough data for this date,-50%,Not
Celje,-79%,-47%,-61%,-48%,-51%,+11%
Cerknica,-87%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-55%,Not
Domžale,-80%,-28%,Not enough data for this date,-57%,-40%,+22%
Dravograd,-70%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Gornja_Radgona,-85%,-42%,Not enough data for this date,Not enough data for this date,-52%,Not
Grosuplje,-92%,-48%,Not enough data for this date,Not enough data for this date,-44%,+2%
Idrija,-66%,-45%,Not enough data for this date,Not enough data for this date,-49%,Not
Ilirska_Bistrica,-80%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-55%,Not
Izola,-75%,-42%,Not enough data for this date,Not enough data for this date,-59%,Not
Jesenice,-74%,-55%,-69%,-47%,-51%,Not
Kamnik,-92%,-50%,Not enough data for this date,Not enough data for this date,-39%,+2%
Koper,-75%,-42%,-55%,-54%,-48%,+13%
Kočevje,-73%,-49%,Not enough data for this date,Not enough data for this date,-50%,Not
Kranj,-77%,-38%,Not enough data for this date,-60%,-49%,+27%
Krško,-84%,-51%,Not enough data for this date,Not enough data for this date,-48%,Not
Laško,-80%,-51%,Not enough data for this date,Not enough data for this date,-53%,Not
Lenart,-75%,-45%,Not enough data for this date,Not enough data for this date,-54%,Not
Lendava,-89%,-58%,Not enough data for this date,Not enough data for this date,-51%,Not
Litija,-75%,-44%,Not enough data for this date,Not enough data for this date,-52%,Not
Ljubljana,-76%,-33%,-38%,-49%,-44%,+15%
Ljutomer,-86%,-48%,Not enough data for this date,Not enough data for this date,-55%,Not
Logatec,-76%,-44%,Not enough data for this date,-68%,-55%,Not
Metlika,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-55%,Not
Mozirje,-87%,-45%,Not enough data for this date,Not enough data for this date,-50%,Not
Municipality_of_Hrastnik,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-47%,Not
Murska_Sobota,-80%,-47%,Not enough data for this date,-56%,-44%,+1%
Nova_Gorica,-81%,-44%,Not enough data for this date,-56%,-47%,+2%
Novo_Mesto,-81%,-28%,Not enough data for this date,-61%,-51%,+19%
Ormož,-61%,-46%,Not enough data for this date,Not enough data for this date,-55%,Not
Pesnica,-87%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-59%,Not
Piran,-88%,-32%,-61%,Not enough data for this date,-55%,Not
Postojna,-80%,-51%,Not enough data for this date,-46%,-50%,Not
Ptuj,-81%,-45%,Not enough data for this date,-52%,-45%,+18%
Radlje_ob_Dravi,-81%,-61%,Not enough data for this date,Not enough data for this date,-58%,Not
Radovljica,-83%,-56%,-73%,-66%,-55%,Not
Ravne_na_Koroškem,-77%,-42%,Not enough data for this date,Not enough data for this date,-42%,Not
Ribnica,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-52%,Not
Ruše,-76%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Sevnica,-75%,-45%,Not enough data for this date,Not enough data for this date,-50%,Not
Sežana,-95%,-54%,Not enough data for this date,Not enough data for this date,-51%,Not
Slovenj_Gradec,-87%,-59%,Not enough data for this date,Not enough data for this date,-59%,Not
Slovenska_Bistrica,-100%,-49%,Not enough data for this date,Not enough data for this date,-42%,Not
Slovenske_Konjice,-93%,-42%,Not enough data for this date,Not enough data for this date,-49%,Not
Tolmin,-68%,-51%,Not enough data for this date,Not enough data for this date,-53%,Not
Trbovlje,-83%,-48%,Not enough data for this date,Not enough data for this date,-50%,Not
Trebnje,-81%,-57%,Not enough data for this date,Not enough data for this date,-52%,Not
Tržič,-84%,-35%,Not enough data for this date,Not enough data for this date,-55%,Not
Velenje,-68%,-42%,Not enough data for this date,-59%,-50%,+0%
Vrhnika,-77%,-39%,Not enough data for this date,Not enough data for this date,-60%,Not
Zagorje_ob_Savi,-85%,-40%,Not enough data for this date,Not enough data for this date,-54%,Not
Črnomelj,-83%,-50%,Not enough data for this date,Not enough data for this date,-46%,Not
Šentjur,-70%,-60%,Not enough data for this date,Not enough data for this date,-53%,Not
Škofja_Loka,-90%,-49%,Not enough data for this date,-59%,-53%,+1%
Šmarje_pri_Jelšah,-83%,-58%,+19%,Not enough data for this date,-51%,Not
Žalec,-100%,-26%,Not enough data for this date,Not enough data for this date,-51%,+0%
