Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Sweden,-41%,-15%,+84%,-36%,-24%,+6%
Blekinge_County,-20%,-6%,+26%,-16%,-17%,+18%
Dalarna_County,-56%,-25%,+65%,-25%,-25%,+5%
Gavleborg_County,-44%,-19%,+82%,-26%,-23%,+5%
Gotland_County,-3%,-17%,Not enough data for this date,-57%,-7%,+7%
Halland_County,-28%,-7%,+30%,-17%,-22%,+6%
Jamtland_County,-60%,-35%,+28%,-41%,-27%,+7%
Jonkoping_County,-38%,-15%,+101%,-24%,-25%,+5%
Kalmar_County,-25%,-8%,+81%,-13%,-19%,+5%
Kronoberg_County,-36%,-13%,Not enough data for this date,-25%,-20%,+20%
Norrbotten_County,-59%,-29%,+112%,-25%,-27%,+0%
Skåne_County,-32%,-12%,+98%,-38%,-20%,+5%
Stockholm_County,-42%,-17%,+44%,-45%,-27%,+7%
Södermanland_County,-37%,-14%,+41%,-34%,-20%,+6%
Uppsala_County,-45%,-13%,+103%,-39%,-22%,+6%
Varmland_County,-49%,-17%,+1%,-19%,-19%,+5%
Västerbotten_County,-53%,-25%,+188%,-37%,-29%,+2%
Västernorrland_County,-48%,-15%,-14%,-16%,-21%,+3%
Västmanland_County,-38%,-13%,+43%,-33%,-20%,+6%
Västra_Götaland_County,-45%,-16%,+67%,-41%,-24%,+7%
Örebro_County,-47%,-15%,+34%,-26%,-22%,+5%
Östergötland_County,-40%,-16%,+118%,-34%,-23%,+5%
