Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
United_Kingdom,-81%,-32%,-37%,-70%,-57%,+19%
Aberdeen_City,-85%,-25%,-2%,-64%,-61%,+30%
Aberdeenshire,-75%,-35%,-25%,-54%,-53%,+28%
Angus_council,-78%,-27%,-24%,-50%,-58%,+20%
Antrim_And_Newtownabbey,-69%,-23%,-56%,-77%,-56%,+30%
Ards_And_North_Down,-72%,-18%,-55%,-60%,-58%,+29%
Argyll_and_Bute_Council,-80%,-37%,-55%,-64%,-52%,+8%
Armagh_City_and_Banbridge_And_Craigavon,-72%,-17%,-66%,-55%,-47%,+18%
Bath_and_North_East_Somerset,-91%,-38%,-54%,-74%,-64%,+29%
Bedford,-82%,-34%,-26%,-63%,-56%,+33%
Belfast,-79%,-22%,-49%,-73%,-60%,+19%
Blackburn_with_Darwen,-80%,-30%,Not enough data for this date,-62%,-53%,+24%
Blackpool,-84%,-30%,-48%,-59%,-55%,+26%
Blaenau_Gwent,-66%,-27%,Not enough data for this date,-33%,-44%,+12%
Borough_of_Halton,-71%,-34%,-32%,-49%,-54%,+25%
Bracknell_Forest,-78%,-27%,-32%,-65%,-59%,+31%
Bridgend_County_Borough,-83%,-21%,-43%,-61%,-56%,+25%
Brighton_and_Hove,-87%,-35%,-43%,-73%,-63%,+33%
Buckinghamshire,-79%,-33%,-23%,-68%,-58%,+20%
Caerphilly_County_Borough,-73%,-26%,-40%,-50%,-51%,+29%
Cambridgeshire,-83%,-34%,-32%,-76%,-57%,+19%
Cardiff,-84%,-32%,-47%,-79%,-60%,+20%
Carmarthenshire,-76%,-17%,-52%,-56%,-54%,+28%
Causeway_Coast_and_Glens,-80%,-22%,-65%,-58%,-55%,+28%
Central_Bedfordshire,-79%,-30%,-5%,-68%,-58%,+19%
Ceredigion,-87%,-32%,-60%,-67%,-57%,+6%
Cheshire_East,-80%,-32%,-49%,-74%,-58%,+19%
Cheshire_West_and_Chester,-86%,-34%,-48%,-73%,-58%,+19%
City_of_Bristol,-87%,-36%,-9%,-78%,-59%,+21%
Clackmannanshire,-88%,-23%,Not enough data for this date,-47%,-50%,+6%
Conwy_Principal_Area,-81%,-33%,-57%,-61%,-57%,+22%
Cornwall,-81%,-38%,-49%,-55%,-55%,+17%
County_Durham,-76%,-28%,-35%,-52%,-55%,+18%
Cumbria,-81%,-35%,-52%,-68%,-59%,+18%
Darlington,-81%,-35%,-36%,-62%,-55%,+24%
Denbighshire,-75%,-25%,-52%,-58%,-54%,+14%
Derby,-80%,-31%,-10%,-77%,-57%,+19%
Derbyshire,-81%,-29%,-41%,-57%,-58%,+19%
Derry_And_Strabane,-69%,-17%,-52%,-47%,-56%,+27%
Devon,-83%,-37%,-47%,-66%,-57%,+18%
Dorset,-82%,-34%,-38%,-58%,-59%,+18%
Dumfries_and_Galloway,-76%,-27%,-46%,-71%,-54%,+24%
Dundee_City_Council,-80%,-35%,+12%,-69%,-60%,+26%
East_Ayrshire_Council,-77%,-23%,Not enough data for this date,-54%,-55%,+24%
East_Dunbartonshire_Council,-73%,-21%,Not enough data for this date,-66%,-58%,+19%
East_Lothian_Council,-80%,-24%,-39%,-47%,-56%,+17%
East_Renfrewshire_Council,-69%,-17%,-59%,-53%,-59%,+19%
East_Riding_of_Yorkshire,-80%,-32%,-46%,-44%,-56%,+17%
East_Sussex,-80%,-31%,-37%,-61%,-56%,+18%
Edinburgh,-86%,-34%,-52%,-83%,-68%,+22%
Essex,-78%,-36%,-31%,-78%,-57%,+19%
Falkirk,-78%,-26%,-37%,-59%,-51%,+29%
Fermanagh_And_Omagh,-79%,-21%,-51%,-48%,-54%,+27%
Fife,-76%,-22%,-30%,-55%,-55%,+17%
Flintshire,-72%,-28%,-32%,-51%,-56%,+26%
Glasgow_City,-84%,-33%,-35%,-84%,-61%,+20%
Gloucestershire,-84%,-35%,-44%,-64%,-56%,+19%
Greater_London,-84%,-36%,-34%,-77%,-64%,+23%
Greater_Manchester,-79%,-31%,-32%,-75%,-56%,+19%
Gwynedd,-81%,-40%,-66%,-57%,-53%,+18%
Hampshire,-81%,-32%,-34%,-68%,-56%,+19%
Hartlepool,-80%,-33%,-53%,-54%,-52%,+19%
Herefordshire,-81%,-37%,-37%,-58%,-50%,+29%
Hertfordshire,-80%,-36%,-27%,-71%,-59%,+20%
Highland_Council,-81%,-36%,-51%,-68%,-55%,+17%
Inverclyde,-81%,-22%,-49%,-57%,-55%,+15%
Isle_of_Anglesey,-77%,-28%,-48%,-56%,-46%,+7%
Isle_of_Wight,-81%,-32%,-36%,-66%,-55%,+22%
Kent,-80%,-34%,-37%,-65%,-55%,+18%
Kingston_upon_Hull,-77%,-32%,-35%,-66%,-51%,+17%
Lancashire,-79%,-30%,-21%,-64%,-54%,+18%
Leicester,-81%,-34%,-17%,-72%,-55%,+18%
Leicestershire,-80%,-32%,-34%,-67%,-58%,+19%
Lincolnshire,-79%,-31%,-43%,-59%,-50%,+17%
Lisburn_and_Castlereagh,-79%,-26%,-78%,-62%,-57%,+31%
Luton,-73%,-23%,+4%,-89%,-52%,+19%
Medway,-79%,-24%,-30%,-62%,-54%,+18%
Merseyside,-78%,-26%,-40%,-69%,-55%,+18%
Merthyr_Tydfil_County_Borough,-82%,-42%,Not enough data for this date,-48%,-51%,+8%
Mid_And_East_Antrim,-78%,-23%,-44%,-64%,-56%,+28%
Mid_Ulster,-70%,-18%,Not enough data for this date,-44%,-53%,+30%
Middlesbrough,-77%,-31%,-40%,-69%,-51%,+22%
Midlothian,-85%,-31%,-13%,-53%,-58%,+25%
Milton_Keynes,-81%,-37%,-23%,-76%,-55%,+19%
Monmouthshire,-82%,-43%,-53%,-56%,-54%,+16%
Moray,-82%,-34%,-31%,-51%,-58%,+12%
Na_h-Eileanan_an_Iar,-89%,-41%,Not enough data for this date,-57%,-49%,Not
Neath_Port_Talbot_Principle_Area,-71%,-18%,-54%,-60%,-49%,+23%
Newport,-78%,-31%,-38%,-66%,-55%,+29%
Newry_and_Mourne_And_Down,-77%,-19%,-64%,-46%,-53%,+30%
Norfolk,-81%,-36%,-54%,-57%,-54%,+17%
North_Ayrshire_Council,-78%,-17%,-21%,-63%,-55%,+24%
North_East_Lincolnshire,-79%,-33%,-60%,-54%,-49%,+27%
North_Lanarkshire,-73%,-21%,Not enough data for this date,-54%,-54%,+18%
North_Lincolnshire,-71%,-25%,-39%,-42%,-51%,+28%
North_Somerset,-81%,-39%,-37%,-82%,-57%,+31%
North_Yorkshire,-83%,-36%,-58%,-67%,-57%,+19%
Northamptonshire,-80%,-29%,-42%,-67%,-53%,+18%
Northumberland,-78%,-24%,-57%,-51%,-55%,+18%
Nottinghamshire,-86%,-35%,-33%,-55%,-57%,+18%
Orkney,-83%,-40%,Not enough data for this date,Not enough data for this date,-64%,Not
Oxfordshire,-84%,-34%,-37%,-76%,-59%,+20%
Pembrokeshire,-82%,-34%,-61%,-55%,-51%,+18%
Perth_and_Kinross,-87%,-32%,-40%,-64%,-58%,+26%
Peterborough,-76%,-29%,-36%,-68%,-47%,+17%
Plymouth,-83%,-37%,-25%,-63%,-56%,+18%
Portsmouth,-86%,-30%,-19%,-67%,-55%,+19%
Powys,-84%,-33%,-48%,-56%,-52%,+22%
Reading,-86%,-36%,-13%,-85%,-59%,+32%
Redcar_and_Cleveland,-81%,-32%,-35%,-46%,-51%,+22%
Renfrewshire,-81%,-23%,-8%,-78%,-60%,+30%
Rhondda_Cynon_Taff,-75%,-28%,-37%,-54%,-53%,+18%
Rutland,-93%,-39%,-70%,Not enough data for this date,-57%,Not
Scottish_Borders,-82%,-34%,-40%,-37%,-53%,+20%
Shetland_Islands,-84%,-49%,Not enough data for this date,-54%,-62%,Not
Shropshire,-81%,-37%,-50%,-62%,-56%,+18%
Slough,-73%,-30%,-3%,-74%,-55%,+29%
Somerset,-82%,-34%,-48%,-65%,-54%,+18%
South_Ayrshire_Council,-83%,-34%,-42%,-62%,-59%,+20%
South_Gloucestershire,-77%,-27%,-2%,-56%,-56%,+20%
South_Lanarkshire,-73%,-23%,-3%,-59%,-57%,+18%
South_Yorkshire,-81%,-29%,-27%,-66%,-55%,+18%
Southampton,-84%,-26%,-39%,-68%,-54%,+19%
Southend-on-Sea,-84%,-27%,-38%,-70%,-59%,+27%
Staffordshire,-81%,-31%,-38%,-65%,-58%,+18%
Stirling,-85%,-35%,-59%,-78%,-59%,+11%
Stockton-on-Tees,-77%,-30%,-37%,-60%,-54%,+30%
Stoke-on-Trent,-80%,-30%,-15%,-71%,-53%,+18%
Suffolk,-82%,-37%,-47%,-57%,-53%,+18%
Surrey,-81%,-32%,-42%,-71%,-58%,+21%
Swansea,-79%,-36%,-48%,-70%,-57%,+18%
Swindon,-81%,-30%,+0%,-63%,-56%,+33%
Thurrock,-83%,-40%,-26%,-57%,-51%,+35%
Torbay,-83%,-28%,-43%,-61%,-56%,+22%
Torfaen_Principal_Area,-78%,-26%,Not enough data for this date,-39%,-53%,+24%
Tyne_and_Wear,-80%,-30%,-32%,-66%,-59%,+18%
Vale_of_Glamorgan,-78%,-37%,-45%,-68%,-57%,+26%
Warrington,-80%,-24%,-19%,-65%,-55%,+31%
Warwickshire,-82%,-27%,-41%,-70%,-59%,+19%
West_Berkshire,-84%,-37%,-31%,-81%,-58%,+30%
West_Dunbartonshire_Council,-72%,-25%,Not enough data for this date,-55%,-57%,+23%
West_Lothian,-72%,-12%,-7%,-55%,-54%,+28%
West_Midlands,-79%,-31%,-17%,-71%,-58%,+19%
West_Sussex,-79%,-32%,-34%,-84%,-57%,+19%
West_Yorkshire,-79%,-31%,-21%,-69%,-57%,+19%
Wiltshire,-80%,-33%,-47%,-62%,-57%,+18%
Windsor_and_Maidenhead,-85%,-32%,-64%,-71%,-60%,+31%
Wokingham,-77%,-40%,-13%,-67%,-61%,+32%
Worcestershire,-82%,-34%,-30%,-67%,-57%,+18%
Wrexham_Principal_Area,-78%,-27%,-31%,-56%,-53%,+24%
York,-86%,-40%,-58%,-82%,-64%,+33%
