Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Brazil,-59%,-5%,-59%,-52%,-36%,+16%
Federal_District,-54%,+0%,-50%,-46%,-38%,+16%
State_of_Acre,-55%,-7%,-46%,-72%,-27%,+10%
State_of_Alagoas,-62%,-14%,-59%,-69%,-34%,+13%
State_of_Amapá,-59%,-5%,-46%,-77%,-35%,+14%
State_of_Amazonas,-63%,-19%,-63%,-50%,-41%,+18%
State_of_Bahia,-64%,-27%,-64%,-68%,-40%,+17%
State_of_Ceará,-72%,-24%,-66%,-66%,-44%,+18%
State_of_Espírito_Santo,-56%,-5%,-65%,-57%,-30%,+14%
State_of_Goiás,-56%,-4%,-32%,-39%,-35%,+13%
State_of_Maranhão,-57%,-10%,-46%,-68%,-34%,+13%
State_of_Mato_Grosso,-43%,+0%,-30%,-43%,-24%,+11%
State_of_Mato_Grosso_do_Sul,-40%,+3%,-30%,-42%,-23%,+11%
State_of_Minas_Gerais,-54%,+2%,-33%,-44%,-32%,+14%
State_of_Paraná,-54%,+9%,-51%,-46%,-33%,+15%
State_of_Paraíba,-63%,-11%,-63%,-57%,-35%,+15%
State_of_Pará,-50%,-7%,-49%,-57%,-25%,+14%
State_of_Pernambuco,-65%,-18%,-62%,-53%,-40%,+17%
State_of_Piauí,-72%,-31%,-42%,-80%,-46%,+18%
State_of_Rio_Grande_do_Norte,-59%,-17%,-62%,-56%,-34%,+16%
State_of_Rio_Grande_do_Sul,-56%,+2%,-57%,-49%,-36%,+17%
State_of_Rio_de_Janeiro,-63%,-10%,-77%,-54%,-40%,+18%
State_of_Rondônia,-44%,-2%,-27%,-64%,-23%,+11%
State_of_Roraima,-54%,-14%,-47%,-72%,-28%,+13%
State_of_Santa_Catarina,-56%,-8%,-73%,-62%,-34%,+16%
State_of_Sergipe,-59%,-14%,-59%,-72%,-36%,+14%
State_of_São_Paulo,-63%,-4%,-57%,-53%,-39%,+18%
State_of_Tocantins,-51%,-17%,-27%,-64%,-26%,+11%
