Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
California,-48%,-14%,-46%,-53%,-40%,+18%
Alameda_County,-59%,-23%,-30%,-65%,-45%,+19%
Amador_County,-35%,-26%,-64%,Not enough data for this date,-39%,+0%
Butte_County,-35%,-1%,-22%,-34%,-31%,+10%
Calaveras_County,-41%,-18%,-54%,Not enough data for this date,-34%,+10%
Colusa_County,-46%,-6%,Not enough data for this date,-38%,-30%,Not
Contra_Costa_County,-47%,-7%,-17%,-51%,-43%,+17%
Del_Norte_County,-31%,-11%,+20%,Not enough data for this date,-23%,Not
El_Dorado_County,-57%,-27%,-45%,-42%,-48%,+14%
Fresno_County,-39%,-3%,-46%,-39%,-31%,+13%
Glenn_County,-47%,+25%,-36%,-16%,-26%,+2%
Humboldt_County,-45%,-14%,-18%,-55%,-35%,+12%
Imperial_County,-60%,-30%,-77%,-67%,-37%,+22%
Inyo_County,-81%,-37%,-52%,Not enough data for this date,-43%,Not
Kern_County,-39%,-2%,-24%,-37%,-29%,+13%
Kings_County,-34%,+3%,-39%,-49%,-27%,+11%
Lake_County,-33%,+5%,-40%,-42%,-36%,+17%
Lassen_County,-37%,-3%,Not enough data for this date,Not enough data for this date,-19%,Not
Los_Angeles_County,-51%,-19%,-54%,-52%,-43%,+20%
Madera_County,-30%,-10%,-29%,-26%,-32%,+13%
Marin_County,-59%,-29%,-63%,-55%,-46%,+19%
Mariposa_County,-86%,-54%,-83%,Not enough data for this date,-51%,Not
Mendocino_County,-39%,-12%,-51%,-39%,-31%,+17%
Merced_County,-38%,-8%,-25%,-34%,-29%,+13%
Modoc_County,-59%,+4%,Not enough data for this date,Not enough data for this date,-28%,Not
Mono_County,-96%,-67%,-46%,Not enough data for this date,-70%,Not
Monterey_County,-45%,-10%,-56%,-32%,-33%,+13%
Napa_County,-51%,-28%,-14%,-34%,-50%,+16%
Nevada_County,-53%,-24%,-48%,-71%,-41%,+13%
Orange_County,-51%,-13%,-42%,-47%,-43%,+19%
Placer_County,-50%,-13%,-15%,-51%,-41%,+14%
Plumas_County,-64%,-18%,Not enough data for this date,Not enough data for this date,-18%,Not
Riverside_County,-42%,-12%,-59%,-45%,-39%,+17%
Sacramento_County,-44%,-3%,-23%,-54%,-37%,+14%
San_Benito_County,-44%,-9%,-54%,Not enough data for this date,-38%,+25%
San_Bernardino_County,-43%,-11%,-44%,-45%,-35%,+16%
San_Diego_County,-49%,-17%,-68%,-63%,-42%,+19%
San_Francisco_County,-77%,-33%,-59%,-70%,-54%,+22%
San_Joaquin_County,-37%,-1%,-14%,-25%,-31%,+14%
San_Luis_Obispo_County,-53%,-19%,-37%,-56%,-39%,+14%
San_Mateo_County,-60%,-20%,-38%,-83%,-47%,+21%
Santa_Barbara_County,-49%,-12%,-33%,-49%,-36%,+14%
Santa_Clara_County,-61%,-26%,-17%,-63%,-48%,+20%
Santa_Cruz_County,-56%,-16%,-63%,-56%,-40%,+17%
Shasta_County,-36%,+3%,+33%,-24%,-29%,+9%
Siskiyou_County,-24%,+2%,+37%,-7%,-23%,+10%
Solano_County,-43%,-4%,-18%,-39%,-35%,+15%
Sonoma_County,-50%,-14%,-59%,-49%,-41%,+16%
Stanislaus_County,-42%,-4%,-15%,-27%,-32%,+13%
Sutter_County,-37%,-4%,-19%,-20%,-37%,+12%
Tehama_County,-27%,+11%,-5%,-28%,-24%,+14%
Trinity_County,-39%,+0%,Not enough data for this date,Not enough data for this date,-35%,Not
Tulare_County,-36%,-2%,-47%,-32%,-29%,+12%
Tuolumne_County,-41%,+1%,-72%,Not enough data for this date,-34%,+14%
Ventura_County,-44%,-18%,-38%,-37%,-36%,+16%
Yolo_County,-41%,-9%,-9%,-30%,-38%,+15%
Yuba_County,-25%,+9%,+37%,-26%,-30%,+11%
