Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Colorado,-46%,-11%,-2%,-53%,-40%,+14%
Adams_County,-41%,-4%,+0%,-27%,-36%,+14%
Alamosa_County,-40%,-15%,Not enough data for this date,Not enough data for this date,-24%,Not
Arapahoe_County,-45%,-12%,+22%,-27%,-41%,+16%
Archuleta_County,-58%,-20%,Not enough data for this date,Not enough data for this date,-44%,Not
Bent_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-32%,Not
Boulder_County,-53%,-15%,+11%,-42%,-45%,+16%
Broomfield_County,-50%,-19%,+23%,-41%,-41%,+28%
Chaffee_County,-51%,-34%,-16%,Not enough data for this date,-41%,Not
Clear_Creek_County,-87%,-53%,-16%,Not enough data for this date,-47%,Not
Conejos_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Delta_County,-27%,-11%,+2%,Not enough data for this date,-23%,+5%
Denver_County,-60%,-8%,-10%,-71%,-45%,+16%
Douglas_County,-49%,-19%,+18%,-23%,-43%,+15%
Eagle_County,-69%,-33%,-45%,-66%,-72%,+26%
El_Paso_County,-40%,-8%,+4%,-45%,-39%,+13%
Elbert_County,-19%,-25%,Not enough data for this date,Not enough data for this date,-30%,+0%
Fremont_County,-19%,+2%,-5%,Not enough data for this date,-33%,+12%
Garfield_County,-44%,-17%,+16%,-36%,-41%,+20%
Gilpin_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-65%,Not
Grand_County,-82%,-43%,-84%,-43%,-59%,Not
Gunnison_County,-65%,-38%,-43%,Not enough data for this date,-49%,Not
Huerfano_County,-50%,-10%,Not enough data for this date,Not enough data for this date,-28%,Not
Jefferson_County,-44%,-17%,+5%,-31%,-41%,+15%
Kiowa_County,Not,Not enough data for this date,Not enough data for this date,-41%,Not enough data for this date,Not
Kit_Carson_County,-34%,-20%,Not enough data for this date,-30%,-18%,Not
La_Plata_County,-51%,-7%,+21%,-59%,-46%,+21%
Lake_County,-77%,-34%,Not enough data for this date,Not enough data for this date,-55%,Not
Larimer_County,-50%,-6%,+13%,-38%,-39%,+14%
Las_Animas_County,-37%,-27%,Not enough data for this date,Not enough data for this date,-28%,Not
Lincoln_County,-36%,-12%,Not enough data for this date,-33%,-26%,Not
Logan_County,-34%,-13%,Not enough data for this date,Not enough data for this date,-28%,Not
Mesa_County,-36%,-7%,+97%,-27%,-35%,+8%
Moffat_County,-27%,-24%,Not enough data for this date,Not enough data for this date,-30%,Not
Montezuma_County,-48%,+2%,Not enough data for this date,Not enough data for this date,-28%,-1%
Montrose_County,-35%,-10%,Not enough data for this date,Not enough data for this date,-32%,+14%
Morgan_County,-37%,-17%,-4%,-17%,-22%,+15%
Otero_County,-25%,-17%,Not enough data for this date,Not enough data for this date,-21%,Not
Ouray_County,-28%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-56%,Not
Park_County,-63%,-41%,+46%,Not enough data for this date,-36%,Not
Phillips_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Pitkin_County,-100%,-53%,Not enough data for this date,-87%,-72%,Not
Prowers_County,-18%,-4%,Not enough data for this date,-36%,-14%,Not
Pueblo_County,-38%,-1%,-50%,-23%,-28%,+10%
Rio_Blanco_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Rio_Grande_County,-25%,-20%,Not enough data for this date,Not enough data for this date,-24%,Not
Routt_County,-79%,-48%,-69%,-65%,-60%,-2%
Saguache_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
San_Miguel_County,-80%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-71%,Not
Summit_County,-84%,-71%,-77%,-67%,-64%,+5%
Teller_County,-24%,-19%,Not enough data for this date,Not enough data for this date,-51%,-1%
Washington_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Weld_County,-34%,-6%,+24%,-23%,-33%,+14%
Yuma_County,-33%,-26%,Not enough data for this date,Not enough data for this date,-23%,Not
