Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Illinois,-46%,-1%,+10%,-46%,-38%,+14%
Adams_County,-51%,-7%,Not enough data for this date,-2%,-29%,+19%
Alexander_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Bond_County,-39%,+2%,Not enough data for this date,-18%,-18%,Not
Boone_County,-22%,-6%,Not enough data for this date,-45%,-39%,+23%
Bureau_County,-36%,+14%,Not enough data for this date,Not enough data for this date,-29%,+3%
Carroll_County,-52%,+14%,Not enough data for this date,Not enough data for this date,-23%,Not
Cass_County,-17%,+10%,Not enough data for this date,Not enough data for this date,-33%,Not
Champaign_County,-46%,-10%,+63%,-32%,-37%,+12%
Christian_County,-31%,-20%,Not enough data for this date,Not enough data for this date,-28%,+9%
Clark_County,-35%,Not enough data for this date,Not enough data for this date,-30%,-33%,Not
Clay_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Clinton_County,-30%,-2%,Not enough data for this date,Not enough data for this date,-27%,+14%
Coles_County,-31%,+4%,Not enough data for this date,Not enough data for this date,-31%,+21%
Cook_County,-51%,-9%,-6%,-53%,-43%,+16%
Crawford_County,-36%,+22%,Not enough data for this date,Not enough data for this date,-23%,Not
Cumberland_County,-62%,Not enough data for this date,Not enough data for this date,-24%,-58%,Not
De_Witt_County,-37%,-23%,Not enough data for this date,Not enough data for this date,-21%,Not
DeKalb_County,-41%,+21%,Not enough data for this date,Not enough data for this date,-34%,+13%
Douglas_County,-55%,+14%,Not enough data for this date,Not enough data for this date,-30%,Not
DuPage_County,-54%,-9%,+30%,-33%,-43%,+17%
Edgar_County,-27%,+10%,Not enough data for this date,Not enough data for this date,-21%,Not
Edwards_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-54%,Not
Effingham_County,-46%,+2%,Not enough data for this date,-33%,-33%,+12%
Fayette_County,-31%,-10%,Not enough data for this date,Not enough data for this date,-19%,Not
Ford_County,-51%,-11%,Not enough data for this date,Not enough data for this date,-24%,Not
Franklin_County,-25%,+1%,Not enough data for this date,-35%,-25%,+14%
Fulton_County,-33%,-12%,Not enough data for this date,Not enough data for this date,-28%,+14%
Gallatin_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Greene_County,-60%,+2%,Not enough data for this date,Not enough data for this date,-36%,Not
Grundy_County,-30%,+16%,Not enough data for this date,-26%,-31%,+20%
Hamilton_County,-44%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Hancock_County,-37%,+17%,Not enough data for this date,Not enough data for this date,-15%,Not
Henderson_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Henry_County,-36%,+2%,Not enough data for this date,-45%,-28%,+19%
Iroquois_County,-31%,+16%,Not enough data for this date,-52%,-18%,+3%
Jackson_County,-53%,-4%,+8%,Not enough data for this date,-34%,+18%
Jasper_County,-54%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Jefferson_County,-45%,-6%,Not enough data for this date,-32%,-36%,+15%
Jersey_County,-47%,-24%,Not enough data for this date,Not enough data for this date,-18%,Not
Jo_Daviess_County,-46%,-2%,Not enough data for this date,Not enough data for this date,-40%,Not
Johnson_County,-54%,Not enough data for this date,-20%,Not enough data for this date,-48%,Not
Kane_County,-49%,-3%,+74%,-27%,-40%,+15%
Kankakee_County,-39%,+12%,Not enough data for this date,-29%,-33%,+11%
Kendall_County,-31%,-7%,+6%,Not enough data for this date,-39%,+16%
Knox_County,-40%,+28%,Not enough data for this date,-18%,-29%,+17%
LaSalle_County,-37%,+33%,-11%,-19%,-33%,+10%
Lake_County,-47%,+0%,+47%,-48%,-39%,+15%
Lawrence_County,-25%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-19%,Not
Lee_County,-30%,+23%,Not enough data for this date,Not enough data for this date,-22%,+13%
Livingston_County,-30%,+22%,Not enough data for this date,Not enough data for this date,-21%,+16%
Logan_County,-41%,-21%,Not enough data for this date,Not enough data for this date,-27%,+6%
Macon_County,-35%,+10%,Not enough data for this date,-29%,-29%,+10%
Macoupin_County,-45%,+7%,Not enough data for this date,Not enough data for this date,-29%,+18%
Madison_County,-40%,+9%,+30%,-22%,-31%,+12%
Marion_County,-40%,+5%,Not enough data for this date,-38%,-28%,+15%
Marshall_County,-64%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-48%,Not
Mason_County,-15%,+35%,Not enough data for this date,Not enough data for this date,-19%,Not
Massac_County,-46%,-10%,Not enough data for this date,Not enough data for this date,-32%,Not
McDonough_County,-45%,-9%,Not enough data for this date,Not enough data for this date,-24%,+0%
McHenry_County,-42%,+3%,+70%,-56%,-37%,+14%
McLean_County,-48%,-1%,+59%,-31%,-35%,+12%
Menard_County,-61%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Mercer_County,-31%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-24%,Not
Monroe_County,-40%,-31%,Not enough data for this date,Not enough data for this date,-32%,+16%
Montgomery_County,-38%,-6%,Not enough data for this date,Not enough data for this date,-19%,+1%
Morgan_County,-30%,+7%,Not enough data for this date,-31%,-29%,+6%
Moultrie_County,-56%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Ogle_County,-44%,+4%,Not enough data for this date,Not enough data for this date,-26%,+20%
Peoria_County,-46%,+17%,+23%,-24%,-32%,+11%
Perry_County,-45%,-5%,Not enough data for this date,Not enough data for this date,-30%,Not
Piatt_County,-48%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-22%,Not
Pike_County,-23%,-6%,Not enough data for this date,Not enough data for this date,-29%,Not
Pulaski_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-57%,Not
Putnam_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Randolph_County,-25%,+4%,Not enough data for this date,Not enough data for this date,-18%,+10%
Richland_County,-40%,-2%,Not enough data for this date,Not enough data for this date,-21%,Not
Rock_Island_County,-45%,+25%,-31%,-35%,-34%,+13%
Saline_County,-18%,+2%,Not enough data for this date,Not enough data for this date,-19%,Not
Sangamon_County,-46%,+1%,+46%,-31%,-35%,+12%
Schuyler_County,-55%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Shelby_County,-26%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-25%,Not
St._Clair_County,-48%,+3%,+31%,-27%,-35%,+13%
Stark_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Stephenson_County,-33%,+4%,Not enough data for this date,Not enough data for this date,-22%,+19%
Tazewell_County,-36%,+18%,-4%,Not enough data for this date,-31%,+11%
Union_County,-24%,-10%,Not enough data for this date,Not enough data for this date,-25%,Not
Vermilion_County,-26%,+15%,Not enough data for this date,-28%,-27%,+8%
Wabash_County,-50%,-19%,Not enough data for this date,Not enough data for this date,-34%,Not
Warren_County,-19%,+10%,Not enough data for this date,Not enough data for this date,-36%,Not
Washington_County,-62%,-6%,Not enough data for this date,Not enough data for this date,-26%,Not
Wayne_County,-38%,+9%,Not enough data for this date,Not enough data for this date,-17%,Not
White_County,-42%,-7%,Not enough data for this date,Not enough data for this date,-19%,Not
Whiteside_County,-39%,+12%,Not enough data for this date,Not enough data for this date,-27%,+20%
Will_County,-43%,+1%,+39%,-21%,-37%,+15%
Williamson_County,-40%,-4%,-45%,-31%,-34%,+18%
Winnebago_County,-38%,+14%,+20%,-31%,-36%,+11%
Woodford_County,-32%,+10%,Not enough data for this date,Not enough data for this date,-29%,+19%
