Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Kentucky,-39%,+3%,+60%,-36%,-33%,+10%
Adair_County,-28%,+6%,Not enough data for this date,Not enough data for this date,-52%,Not
Allen_County,-9%,+7%,Not enough data for this date,Not enough data for this date,-28%,Not
Anderson_County,-21%,-3%,Not enough data for this date,Not enough data for this date,-34%,-1%
Ballard_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Barren_County,-36%,+12%,Not enough data for this date,Not enough data for this date,-27%,+7%
Bath_County,Not,-11%,Not enough data for this date,Not enough data for this date,-48%,Not
Bell_County,-40%,-3%,Not enough data for this date,Not enough data for this date,-21%,Not
Boone_County,-46%,-5%,+31%,-58%,-39%,+12%
Bourbon_County,-17%,-13%,Not enough data for this date,Not enough data for this date,-25%,Not
Boyd_County,-48%,+1%,Not enough data for this date,-40%,-30%,+13%
Boyle_County,-41%,-11%,Not enough data for this date,Not enough data for this date,-28%,Not
Bracken_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-47%,Not
Breathitt_County,-11%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Breckinridge_County,+5%,+19%,Not enough data for this date,Not enough data for this date,-31%,Not
Bullitt_County,-35%,+8%,Not enough data for this date,-31%,-32%,+21%
Butler_County,+8%,+15%,Not enough data for this date,Not enough data for this date,-52%,Not
Caldwell_County,-31%,-2%,Not enough data for this date,Not enough data for this date,-40%,Not
Calloway_County,-47%,-11%,Not enough data for this date,Not enough data for this date,-34%,+10%
Campbell_County,-46%,+4%,Not enough data for this date,Not enough data for this date,-41%,+13%
Carlisle_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Carroll_County,-20%,-10%,Not enough data for this date,Not enough data for this date,-13%,Not
Carter_County,-24%,-1%,Not enough data for this date,-19%,-21%,Not
Casey_County,+7%,+15%,Not enough data for this date,Not enough data for this date,-49%,Not
Christian_County,-30%,+4%,Not enough data for this date,-25%,-28%,+21%
Clark_County,-32%,-16%,Not enough data for this date,Not enough data for this date,-33%,+12%
Clay_County,+8%,+2%,Not enough data for this date,Not enough data for this date,-36%,Not
Clinton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Crittenden_County,-19%,+6%,Not enough data for this date,Not enough data for this date,-46%,Not
Daviess_County,-48%,+0%,+26%,Not enough data for this date,-29%,+11%
Edmonson_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-50%,Not
Estill_County,-15%,-4%,Not enough data for this date,Not enough data for this date,-48%,Not
Fayette_County,-49%,-1%,+5%,-33%,-40%,+12%
Fleming_County,-7%,+13%,Not enough data for this date,Not enough data for this date,-46%,Not
Floyd_County,-17%,-5%,Not enough data for this date,Not enough data for this date,-17%,Not
Franklin_County,-35%,-3%,Not enough data for this date,Not enough data for this date,-37%,+24%
Fulton_County,-24%,+6%,Not enough data for this date,Not enough data for this date,-44%,Not
Gallatin_County,Not,+58%,Not enough data for this date,-89%,-46%,Not
Garrard_County,-10%,+19%,Not enough data for this date,Not enough data for this date,-33%,Not
Grant_County,-26%,-7%,Not enough data for this date,Not enough data for this date,-38%,+1%
Graves_County,-25%,+4%,Not enough data for this date,Not enough data for this date,-26%,+10%
Grayson_County,-12%,+24%,Not enough data for this date,Not enough data for this date,-32%,Not
Green_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-48%,Not
Greenup_County,-31%,+7%,Not enough data for this date,Not enough data for this date,-28%,+1%
Hancock_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Hardin_County,-42%,-2%,Not enough data for this date,-32%,-38%,+11%
Harlan_County,-10%,+15%,Not enough data for this date,Not enough data for this date,-13%,Not
Harrison_County,-17%,-14%,Not enough data for this date,Not enough data for this date,-24%,Not
Hart_County,+2%,+14%,Not enough data for this date,-38%,-16%,Not
Henderson_County,-39%,+55%,Not enough data for this date,Not enough data for this date,-29%,+19%
Henry_County,-37%,+23%,Not enough data for this date,-35%,-41%,Not
Hopkins_County,-38%,-3%,Not enough data for this date,-40%,-26%,+16%
Jackson_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Jefferson_County,-44%,+5%,+104%,-27%,-40%,+12%
Jessamine_County,-40%,-9%,Not enough data for this date,-15%,-28%,+20%
Johnson_County,-40%,+62%,Not enough data for this date,Not enough data for this date,-30%,Not
Kenton_County,-37%,+3%,+37%,-9%,-37%,+13%
Knott_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Knox_County,-23%,+13%,Not enough data for this date,Not enough data for this date,-25%,Not
Larue_County,-24%,+12%,Not enough data for this date,Not enough data for this date,-30%,Not
Laurel_County,-41%,+3%,+57%,-61%,-32%,+17%
Lawrence_County,-28%,-28%,Not enough data for this date,Not enough data for this date,-27%,Not
Letcher_County,-25%,+0%,Not enough data for this date,Not enough data for this date,-43%,Not
Lewis_County,Not,-14%,Not enough data for this date,Not enough data for this date,-37%,Not
Lincoln_County,-12%,+38%,Not enough data for this date,Not enough data for this date,-22%,Not
Livingston_County,Not,+17%,Not enough data for this date,Not enough data for this date,-37%,Not
Logan_County,-17%,+12%,Not enough data for this date,Not enough data for this date,-27%,Not
Lyon_County,-43%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-47%,Not
Madison_County,-41%,-3%,Not enough data for this date,-17%,-39%,+10%
Marion_County,-24%,+3%,Not enough data for this date,Not enough data for this date,-39%,Not
Marshall_County,-33%,+5%,Not enough data for this date,-31%,-23%,+9%
Mason_County,-26%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-26%,Not
McCracken_County,-51%,-8%,-25%,-26%,-30%,+19%
McCreary_County,-14%,+15%,Not enough data for this date,Not enough data for this date,-39%,Not
McLean_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Meade_County,-20%,+8%,Not enough data for this date,Not enough data for this date,-38%,+8%
Menifee_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Mercer_County,-26%,-9%,Not enough data for this date,Not enough data for this date,-35%,Not
Metcalfe_County,Not,-16%,Not enough data for this date,Not enough data for this date,-47%,Not
Monroe_County,-7%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Montgomery_County,-30%,+10%,Not enough data for this date,-22%,-34%,-3%
Morgan_County,-59%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-48%,Not
