Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Nevada,-45%,-13%,-43%,-55%,-53%,+16%
Carson_City,-35%,-2%,+34%,Not enough data for this date,-40%,+20%
Churchill_County,-19%,-15%,Not enough data for this date,Not enough data for this date,-31%,+5%
Clark_County,-47%,-15%,-50%,-59%,-56%,+18%
Douglas_County,-54%,-42%,-32%,Not enough data for this date,-46%,+19%
Elko_County,-43%,+20%,+7%,+0%,-34%,+16%
Humboldt_County,-49%,+2%,Not enough data for this date,-13%,-26%,Not
Lander_County,-57%,-14%,Not enough data for this date,Not enough data for this date,-48%,Not
Lyon_County,-21%,+16%,Not enough data for this date,-20%,-40%,+18%
Mineral_County,Not,Not enough data for this date,Not enough data for this date,-21%,Not enough data for this date,Not
Nye_County,-29%,-14%,-61%,-20%,-38%,+15%
Pershing_County,Not,Not enough data for this date,Not enough data for this date,-10%,-30%,Not
Storey_County,-67%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Washoe_County,-43%,-11%,+19%,-53%,-45%,+14%
White_Pine_County,-57%,-13%,Not enough data for this date,-14%,-21%,Not
