Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
New_Mexico,-46%,-10%,-22%,-36%,-36%,+14%
Bernalillo_County,-48%,-12%,-2%,-39%,-40%,+14%
Chaves_County,-43%,-11%,-38%,-57%,-26%,+11%
Cibola_County,-44%,+8%,Not enough data for this date,-28%,-35%,Not
Colfax_County,-64%,-29%,Not enough data for this date,-48%,-43%,Not
Curry_County,-33%,-4%,-33%,-19%,-23%,+18%
Doña_Ana_County,-42%,-14%,-55%,-32%,-36%,+14%
Eddy_County,-37%,-9%,-36%,-35%,-23%,+13%
Grant_County,-37%,+4%,Not enough data for this date,Not enough data for this date,-32%,+2%
Guadalupe_County,-44%,-9%,Not enough data for this date,-21%,Not enough data for this date,Not
Hidalgo_County,-54%,Not enough data for this date,Not enough data for this date,-41%,Not enough data for this date,Not
Lea_County,-40%,-5%,-22%,-50%,-19%,+13%
Lincoln_County,-72%,-33%,-76%,Not enough data for this date,-49%,Not
Los_Alamos_County,-66%,-34%,Not enough data for this date,Not enough data for this date,-53%,Not
Luna_County,-43%,-20%,-55%,-38%,-23%,Not
McKinley_County,-70%,-48%,Not enough data for this date,-25%,-32%,+21%
Otero_County,-41%,-12%,-55%,Not enough data for this date,-36%,+19%
Quay_County,-15%,+1%,Not enough data for this date,-14%,-39%,Not
Rio_Arriba_County,-17%,-15%,Not enough data for this date,Not enough data for this date,-35%,+12%
Roosevelt_County,-26%,-17%,Not enough data for this date,Not enough data for this date,-18%,Not
San_Juan_County,-55%,-16%,-9%,-52%,-34%,+16%
San_Miguel_County,-22%,-6%,Not enough data for this date,-46%,-22%,-1%
Sandoval_County,-35%,-4%,+18%,-46%,-43%,+14%
Santa_Fe_County,-51%,-15%,-30%,-36%,-46%,+15%
Sierra_County,-39%,+4%,Not enough data for this date,Not enough data for this date,-28%,Not
Socorro_County,-42%,-7%,Not enough data for this date,Not enough data for this date,-34%,Not
Taos_County,-62%,-14%,-7%,Not enough data for this date,-47%,+1%
Torrance_County,-24%,+9%,Not enough data for this date,-22%,-22%,Not
Union_County,Not,Not enough data for this date,Not enough data for this date,-46%,Not enough data for this date,Not
Valencia_County,-34%,+39%,-25%,-33%,-34%,+13%
