Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
New_York,-62%,-4%,-12%,-65%,-48%,+18%
Albany_County,-62%,+37%,+66%,-54%,-37%,+14%
Allegany_County,-35%,-15%,Not enough data for this date,Not enough data for this date,-31%,+18%
Bronx_County,-61%,-12%,-20%,-48%,-52%,+19%
Broome_County,-50%,+5%,+40%,-38%,-36%,+13%
Cattaraugus_County,-45%,+19%,+7%,Not enough data for this date,-38%,+25%
Cayuga_County,-38%,+10%,Not enough data for this date,-46%,-29%,+25%
Chautauqua_County,-38%,+12%,-22%,Not enough data for this date,-38%,+11%
Chemung_County,-53%,+37%,Not enough data for this date,-57%,-23%,+13%
Chenango_County,-45%,+9%,Not enough data for this date,Not enough data for this date,-33%,+24%
Clinton_County,-56%,+39%,Not enough data for this date,-71%,-30%,+23%
Columbia_County,-48%,+20%,Not enough data for this date,-29%,-33%,+22%
Cortland_County,-43%,+6%,Not enough data for this date,-39%,-33%,+21%
Delaware_County,-40%,+0%,Not enough data for this date,Not enough data for this date,-39%,+10%
Dutchess_County,-58%,+51%,+102%,-53%,-39%,+16%
Erie_County,-58%,+12%,+20%,-44%,-44%,+15%
Essex_County,-66%,-29%,-37%,Not enough data for this date,-47%,+3%
Franklin_County,-47%,-11%,Not enough data for this date,Not enough data for this date,-33%,+19%
Fulton_County,-40%,-12%,Not enough data for this date,Not enough data for this date,-25%,+20%
Genesee_County,-40%,+1%,Not enough data for this date,-58%,-37%,+26%
Greene_County,-32%,+5%,-33%,Not enough data for this date,-30%,+18%
Herkimer_County,-37%,+9%,Not enough data for this date,-62%,-32%,+23%
Jefferson_County,-39%,+21%,Not enough data for this date,Not enough data for this date,-27%,+10%
Kings_County,-67%,-19%,-9%,-61%,-53%,+19%
Lewis_County,-51%,-9%,Not enough data for this date,Not enough data for this date,-23%,Not
Livingston_County,-44%,+36%,Not enough data for this date,-41%,-33%,+27%
Madison_County,-35%,+4%,Not enough data for this date,-51%,-32%,+26%
Monroe_County,-54%,+12%,+97%,-33%,-40%,+14%
Montgomery_County,-34%,-11%,Not enough data for this date,-9%,-27%,+21%
Nassau_County,-67%,-3%,+39%,-61%,-52%,+20%
New_York_County,-86%,-42%,-61%,-78%,-55%,+19%
Niagara_County,-45%,+35%,-24%,-53%,-41%,+13%
Oneida_County,-48%,+34%,+36%,-31%,-36%,+13%
Onondaga_County,-55%,+0%,+57%,-47%,-40%,+14%
Ontario_County,-52%,+1%,+79%,-62%,-37%,+13%
Orange_County,-54%,+6%,+149%,-45%,-40%,+16%
Orleans_County,-41%,+8%,Not enough data for this date,Not enough data for this date,-35%,+19%
Oswego_County,-31%,+20%,-15%,Not enough data for this date,-34%,+12%
Otsego_County,-46%,+7%,Not enough data for this date,Not enough data for this date,-39%,+24%
Putnam_County,-58%,-20%,-36%,-49%,-45%,+31%
Queens_County,-71%,-22%,+11%,-73%,-62%,+23%
Rensselaer_County,-47%,+32%,-7%,-47%,-34%,+13%
Richmond_County,-62%,+6%,-9%,-54%,-48%,+19%
Rockland_County,-68%,-8%,+146%,-61%,-50%,+17%
Saratoga_County,-55%,+25%,+15%,-40%,-35%,+13%
Schenectady_County,-50%,+27%,+2%,-39%,-34%,+13%
Schoharie_County,-31%,-4%,Not enough data for this date,Not enough data for this date,-15%,+3%
Schuyler_County,-27%,+4%,Not enough data for this date,Not enough data for this date,-26%,Not
Seneca_County,-37%,+2%,Not enough data for this date,-62%,-28%,+15%
St._Lawrence_County,-47%,+22%,-6%,Not enough data for this date,-34%,+11%
Steuben_County,-46%,+8%,-29%,-32%,-27%,+13%
Suffolk_County,-57%,+9%,+109%,-62%,-45%,+17%
Sullivan_County,-43%,+9%,Not enough data for this date,Not enough data for this date,-35%,+24%
Tioga_County,-41%,-2%,Not enough data for this date,Not enough data for this date,-33%,+24%
Tompkins_County,-60%,+37%,-34%,-29%,-43%,+32%
Ulster_County,-46%,+8%,+151%,-59%,-36%,+14%
Warren_County,-45%,+7%,+51%,-41%,-37%,+21%
Washington_County,-32%,+20%,Not enough data for this date,Not enough data for this date,-30%,+21%
Wayne_County,-36%,+64%,Not enough data for this date,Not enough data for this date,-31%,+11%
Westchester_County,-68%,+0%,+116%,-51%,-48%,+19%
Wyoming_County,-14%,-8%,Not enough data for this date,Not enough data for this date,-27%,+18%
Yates_County,-17%,-2%,Not enough data for this date,Not enough data for this date,-32%,Not
