Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
North_Carolina,-40%,-5%,+20%,-49%,-35%,+11%
Alamance_County,-43%,+4%,+57%,-32%,-32%,+11%
Alexander_County,-30%,+13%,Not enough data for this date,Not enough data for this date,-33%,+16%
Alleghany_County,-29%,-5%,Not enough data for this date,Not enough data for this date,-42%,Not
Anson_County,-50%,-1%,Not enough data for this date,Not enough data for this date,-28%,Not
Ashe_County,-28%,-14%,Not enough data for this date,Not enough data for this date,-29%,Not
Avery_County,-57%,-20%,Not enough data for this date,Not enough data for this date,-31%,Not
Beaufort_County,-26%,+1%,+25%,Not enough data for this date,-20%,+13%
Bertie_County,-53%,+3%,Not enough data for this date,Not enough data for this date,-18%,Not
Bladen_County,-23%,+6%,-27%,Not enough data for this date,-25%,+12%
Brunswick_County,-32%,-3%,-12%,-62%,-32%,+10%
Buncombe_County,-58%,-18%,+7%,-66%,-43%,+12%
Burke_County,-32%,+3%,+43%,Not enough data for this date,-29%,+8%
Cabarrus_County,-46%,-8%,+38%,-34%,-38%,+13%
Caldwell_County,-28%,+5%,-2%,Not enough data for this date,-28%,+9%
Camden_County,-46%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-50%,Not
Carteret_County,-38%,-3%,-16%,Not enough data for this date,-30%,+17%
Caswell_County,-28%,+4%,Not enough data for this date,Not enough data for this date,-27%,Not
Catawba_County,-48%,-7%,+39%,-28%,-35%,+11%
Chatham_County,-26%,-11%,Not enough data for this date,Not enough data for this date,-29%,+22%
Cherokee_County,-38%,-12%,Not enough data for this date,Not enough data for this date,-43%,+1%
Chowan_County,-13%,+10%,Not enough data for this date,Not enough data for this date,-24%,Not
Clay_County,-54%,-12%,Not enough data for this date,Not enough data for this date,-33%,Not
Cleveland_County,-32%,+9%,+16%,Not enough data for this date,-30%,+9%
Columbus_County,-28%,+10%,Not enough data for this date,Not enough data for this date,-24%,+18%
Craven_County,-37%,-3%,+12%,-50%,-32%,+10%
Cumberland_County,-39%,-7%,+6%,-40%,-34%,+11%
Currituck_County,-25%,-9%,Not enough data for this date,Not enough data for this date,-23%,+8%
Dare_County,-51%,-18%,-39%,Not enough data for this date,-34%,+12%
Davidson_County,-30%,+6%,+81%,-20%,-35%,+9%
Davie_County,-29%,+3%,Not enough data for this date,-41%,-33%,+17%
Duplin_County,-37%,+7%,Not enough data for this date,-32%,-24%,+17%
Durham_County,-48%,-18%,-6%,-33%,-41%,+14%
Edgecombe_County,-13%,+17%,Not enough data for this date,Not enough data for this date,-35%,+19%
Forsyth_County,-39%,-8%,+95%,+1%,-38%,+11%
Franklin_County,-18%,+10%,Not enough data for this date,Not enough data for this date,-30%,+22%
Gaston_County,-37%,-9%,+7%,Not enough data for this date,-33%,+11%
Gates_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Graham_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Granville_County,-22%,-7%,Not enough data for this date,Not enough data for this date,-32%,+23%
Greene_County,-41%,+2%,-17%,Not enough data for this date,-25%,Not
Guilford_County,-46%,-11%,+50%,-35%,-40%,+12%
Halifax_County,-32%,+1%,Not enough data for this date,Not enough data for this date,-29%,+18%
Harnett_County,-29%,+6%,-15%,-24%,-28%,+10%
Haywood_County,-36%,-1%,+12%,-36%,-31%,+19%
Henderson_County,-45%,-3%,+81%,-23%,-35%,+11%
Hertford_County,-43%,+47%,Not enough data for this date,Not enough data for this date,-21%,Not
Hoke_County,-25%,+8%,Not enough data for this date,Not enough data for this date,-32%,+20%
Iredell_County,-40%,+1%,+55%,-28%,-36%,+11%
Jackson_County,-42%,-9%,+9%,Not enough data for this date,-50%,+17%
Johnston_County,-34%,-4%,+30%,-30%,-32%,+12%
Jones_County,Not,-6%,Not enough data for this date,Not enough data for this date,-53%,Not
Lee_County,-30%,+1%,Not enough data for this date,Not enough data for this date,-28%,+21%
Lenoir_County,-31%,+12%,Not enough data for this date,Not enough data for this date,-28%,+18%
Lincoln_County,-18%,+16%,Not enough data for this date,Not enough data for this date,-33%,+10%
Macon_County,-35%,-9%,-15%,Not enough data for this date,-33%,+14%
Madison_County,-62%,-12%,Not enough data for this date,Not enough data for this date,-20%,Not
Martin_County,-28%,-4%,Not enough data for this date,Not enough data for this date,-24%,Not
McDowell_County,-20%,+5%,+9%,-21%,-18%,+18%
Mecklenburg_County,-52%,-9%,-17%,-68%,-43%,+15%
Mitchell_County,-33%,-10%,Not enough data for this date,Not enough data for this date,-24%,Not
Montgomery_County,-34%,+4%,+9%,-49%,-26%,-1%
