Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Ohio,-41%,-2%,+82%,-28%,-37%,+12%
Adams_County,-39%,+32%,Not enough data for this date,Not enough data for this date,-23%,-2%
Allen_County,-44%,-2%,+11%,-20%,-32%,+12%
Ashland_County,-36%,+8%,Not enough data for this date,Not enough data for this date,-40%,+23%
Ashtabula_County,-29%,+8%,+81%,-28%,-29%,+11%
Athens_County,-53%,-6%,Not enough data for this date,Not enough data for this date,-39%,+18%
Auglaize_County,-39%,-3%,Not enough data for this date,Not enough data for this date,-28%,+22%
Belmont_County,-40%,+32%,Not enough data for this date,-36%,-27%,+19%
Brown_County,-31%,+10%,Not enough data for this date,Not enough data for this date,-24%,+19%
Butler_County,-45%,-6%,+136%,-12%,-34%,+12%
Carroll_County,-37%,-8%,Not enough data for this date,Not enough data for this date,-30%,+0%
Champaign_County,-34%,-5%,Not enough data for this date,Not enough data for this date,-39%,+20%
Clark_County,-32%,+1%,Not enough data for this date,-15%,-31%,+10%
Clermont_County,-39%,-8%,+68%,Not enough data for this date,-37%,+12%
Clinton_County,-37%,+6%,Not enough data for this date,+17%,-31%,+22%
Columbiana_County,-28%,+17%,Not enough data for this date,Not enough data for this date,-37%,+12%
Coshocton_County,-28%,+0%,Not enough data for this date,Not enough data for this date,-23%,+16%
Crawford_County,-32%,+1%,Not enough data for this date,Not enough data for this date,-38%,+22%
Cuyahoga_County,-47%,-1%,+67%,-38%,-40%,+13%
Darke_County,-29%,+0%,Not enough data for this date,Not enough data for this date,-27%,+23%
Defiance_County,-39%,+4%,Not enough data for this date,Not enough data for this date,-31%,+20%
Delaware_County,-58%,-17%,+137%,-37%,-41%,+14%
Erie_County,-42%,+2%,+2%,Not enough data for this date,-43%,+12%
Fairfield_County,-45%,-2%,+58%,Not enough data for this date,-29%,+12%
Fayette_County,-35%,-4%,Not enough data for this date,-32%,-31%,+9%
Franklin_County,-46%,-9%,+43%,-38%,-40%,+13%
Fulton_County,-33%,+7%,Not enough data for this date,-45%,-32%,+26%
Gallia_County,-35%,-6%,Not enough data for this date,-17%,-21%,Not
Geauga_County,-37%,-6%,+10%,Not enough data for this date,-39%,+27%
Greene_County,-47%,-3%,+144%,Not enough data for this date,-37%,+12%
Guernsey_County,-32%,-8%,Not enough data for this date,-28%,-27%,+15%
Hamilton_County,-47%,-7%,+94%,-18%,-38%,+13%
Hancock_County,-46%,-5%,Not enough data for this date,-28%,-45%,+26%
Hardin_County,-30%,+3%,Not enough data for this date,Not enough data for this date,-38%,+13%
Harrison_County,-2%,+5%,Not enough data for this date,Not enough data for this date,-25%,Not
Henry_County,-34%,-6%,Not enough data for this date,-40%,-36%,+13%
Highland_County,-16%,+4%,Not enough data for this date,Not enough data for this date,-27%,+19%
Hocking_County,-42%,-11%,-35%,Not enough data for this date,-32%,-3%
Holmes_County,-53%,-13%,Not enough data for this date,Not enough data for this date,-31%,-1%
Huron_County,-31%,+13%,Not enough data for this date,Not enough data for this date,-38%,+22%
Jackson_County,-25%,+27%,Not enough data for this date,-35%,-28%,-1%
Jefferson_County,-28%,+14%,Not enough data for this date,-17%,-30%,+19%
