Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Alaska,-41%,-4%,+36%,-52%,-32%,+10%
Anchorage,-45%,-4%,+29%,-54%,-40%,+13%
Bethel,Not,-23%,Not enough data for this date,Not enough data for this date,-25%,Not
Fairbanks_North_Star,-39%,-10%,Not enough data for this date,-72%,-33%,+21%
Juneau,-52%,-24%,-34%,-56%,-34%,-1%
Kenai_Peninsula_Borough,-34%,-8%,Not enough data for this date,Not enough data for this date,-24%,+14%
Ketchikan_Gateway,-32%,-38%,Not enough data for this date,Not enough data for this date,-37%,Not
Kodiak_Island,-50%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Matanuska-Susitna,-29%,-2%,Not enough data for this date,Not enough data for this date,-30%,+9%
North_Slope,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-12%,Not
Sitka,-59%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,Not
Southeast_Fairbanks,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Valdez-Cordova,Not,-12%,Not enough data for this date,Not enough data for this date,-30%,Not
