Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Arkansas,-35%,+1%,+1%,-34%,-26%,+10%
Arkansas_County,-23%,+8%,Not enough data for this date,Not enough data for this date,-24%,Not
Ashley_County,-32%,+6%,Not enough data for this date,Not enough data for this date,-13%,Not
Baxter_County,-34%,+18%,Not enough data for this date,Not enough data for this date,-22%,+13%
Benton_County,-42%,-7%,+21%,-62%,-32%,+12%
Boone_County,-30%,+5%,Not enough data for this date,Not enough data for this date,-35%,+16%
Bradley_County,-40%,-7%,Not enough data for this date,Not enough data for this date,-42%,Not
Carroll_County,-42%,-3%,Not enough data for this date,Not enough data for this date,-43%,-1%
Chicot_County,-22%,+4%,Not enough data for this date,Not enough data for this date,-35%,Not
Clark_County,-26%,-4%,Not enough data for this date,-37%,-13%,Not
Clay_County,-10%,-2%,Not enough data for this date,Not enough data for this date,-36%,Not
Cleburne_County,-48%,+43%,Not enough data for this date,Not enough data for this date,-27%,Not
Cleveland_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Columbia_County,-20%,-11%,Not enough data for this date,Not enough data for this date,-21%,Not
Conway_County,-25%,+2%,Not enough data for this date,-18%,-21%,Not
Craighead_County,-44%,-6%,-59%,-14%,-26%,+9%
Crawford_County,-16%,+6%,Not enough data for this date,-4%,-20%,+15%
Crittenden_County,-29%,+10%,Not enough data for this date,-27%,-25%,+19%
Cross_County,-55%,+93%,Not enough data for this date,Not enough data for this date,-7%,Not
Dallas_County,-25%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-25%,Not
Desha_County,-22%,+11%,Not enough data for this date,Not enough data for this date,-41%,Not
Drew_County,-27%,+5%,Not enough data for this date,Not enough data for this date,-27%,Not
Faulkner_County,-44%,-11%,-2%,Not enough data for this date,-28%,+11%
Franklin_County,-10%,-3%,Not enough data for this date,-22%,-20%,Not
Fulton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-31%,Not
Garland_County,-41%,+0%,-43%,Not enough data for this date,-34%,+11%
Grant_County,-6%,+6%,Not enough data for this date,Not enough data for this date,-16%,Not
Greene_County,-21%,+5%,Not enough data for this date,Not enough data for this date,-23%,+15%
Hempstead_County,-33%,-3%,Not enough data for this date,Not enough data for this date,-25%,Not
Hot_Spring_County,-16%,+21%,Not enough data for this date,-37%,-19%,+8%
Howard_County,-36%,+4%,Not enough data for this date,Not enough data for this date,-24%,Not
Independence_County,-43%,+50%,Not enough data for this date,Not enough data for this date,-16%,+13%
Izard_County,-22%,+8%,Not enough data for this date,Not enough data for this date,-36%,Not
Jackson_County,-12%,+24%,Not enough data for this date,Not enough data for this date,-32%,Not
Jefferson_County,-26%,+21%,Not enough data for this date,-20%,-25%,+15%
Johnson_County,-34%,+4%,-12%,Not enough data for this date,-20%,-2%
Lawrence_County,-22%,-1%,Not enough data for this date,Not enough data for this date,-43%,Not
Lincoln_County,-60%,-4%,Not enough data for this date,Not enough data for this date,-39%,Not
Little_River_County,-25%,-4%,Not enough data for this date,Not enough data for this date,-42%,Not
Logan_County,-24%,+9%,Not enough data for this date,Not enough data for this date,-15%,Not
Lonoke_County,-24%,+12%,Not enough data for this date,Not enough data for this date,-22%,+17%
Madison_County,-31%,-13%,Not enough data for this date,Not enough data for this date,-20%,Not
Marion_County,-16%,+3%,Not enough data for this date,Not enough data for this date,-31%,Not
Miller_County,-35%,-2%,-33%,-47%,-26%,+14%
Mississippi_County,-13%,+18%,Not enough data for this date,-26%,-15%,+10%
Monroe_County,-40%,-8%,Not enough data for this date,Not enough data for this date,-39%,Not
Montgomery_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Nevada_County,-61%,Not enough data for this date,Not enough data for this date,-40%,-33%,Not
Newton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,Not
Ouachita_County,-16%,-20%,Not enough data for this date,Not enough data for this date,-19%,Not
Perry_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Phillips_County,-5%,+16%,Not enough data for this date,Not enough data for this date,-17%,Not
Pike_County,-30%,-8%,Not enough data for this date,Not enough data for this date,-31%,Not
Poinsett_County,-2%,+7%,Not enough data for this date,Not enough data for this date,-5%,Not
Polk_County,-51%,+31%,Not enough data for this date,Not enough data for this date,-28%,Not
Pope_County,-41%,-6%,Not enough data for this date,-31%,-20%,+15%
Prairie_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Pulaski_County,-41%,-5%,-18%,-46%,-30%,+11%
Randolph_County,-33%,+12%,Not enough data for this date,Not enough data for this date,-18%,Not
Saline_County,-30%,-3%,-44%,-20%,-26%,+11%
Scott_County,-53%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Searcy_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Sebastian_County,-39%,-3%,+0%,-58%,-30%,+10%
Sevier_County,-35%,-8%,Not enough data for this date,Not enough data for this date,-28%,Not
Sharp_County,-27%,+0%,Not enough data for this date,Not enough data for this date,-25%,Not
St._Francis_County,-26%,+28%,Not enough data for this date,-27%,-18%,Not
Stone_County,-23%,+8%,Not enough data for this date,Not enough data for this date,-25%,Not
Union_County,-32%,-9%,Not enough data for this date,Not enough data for this date,-21%,+10%
Van_Buren_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Washington_County,-43%,-9%,+13%,-30%,-33%,+12%
White_County,-30%,+1%,-9%,-19%,-20%,+13%
Yell_County,-27%,+10%,+18%,Not enough data for this date,-15%,Not
