Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Georgia,-40%,-5%,+3%,-53%,-36%,+13%
Appling_County,-44%,-20%,Not enough data for this date,Not enough data for this date,-16%,Not
Atkinson_County,-55%,+8%,Not enough data for this date,Not enough data for this date,-37%,Not
Bacon_County,-21%,-27%,Not enough data for this date,Not enough data for this date,-39%,Not
Baldwin_County,-38%,-11%,Not enough data for this date,Not enough data for this date,-31%,+16%
Banks_County,-39%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-19%,Not
Barrow_County,-32%,+2%,Not enough data for this date,Not enough data for this date,-31%,+12%
Bartow_County,-41%,+7%,+126%,-28%,-33%,+10%
Ben_Hill_County,-41%,+1%,Not enough data for this date,Not enough data for this date,-20%,Not
Berrien_County,-42%,-13%,Not enough data for this date,Not enough data for this date,-27%,Not
Bibb_County,-44%,-3%,-6%,-31%,-30%,+11%
Bleckley_County,-46%,+8%,Not enough data for this date,Not enough data for this date,-52%,Not
Brantley_County,-69%,-7%,Not enough data for this date,Not enough data for this date,-27%,Not
Brooks_County,-50%,-16%,Not enough data for this date,Not enough data for this date,-18%,Not
Bryan_County,-44%,-2%,-19%,-39%,-36%,+24%
Bulloch_County,-42%,-14%,-31%,Not enough data for this date,-31%,+21%
Burke_County,-35%,-17%,-2%,Not enough data for this date,-39%,Not
Butts_County,-47%,-9%,Not enough data for this date,-24%,-30%,-1%
Camden_County,-34%,+12%,-17%,-38%,-31%,+20%
Candler_County,-67%,-28%,Not enough data for this date,Not enough data for this date,-38%,Not
Carroll_County,-32%,+5%,+0%,-26%,-27%,+10%
Catoosa_County,-42%,+3%,-21%,Not enough data for this date,-29%,+22%
Charlton_County,-49%,-9%,Not enough data for this date,Not enough data for this date,-38%,Not
Chatham_County,-51%,-19%,-28%,-45%,-43%,+13%
Chattahoochee_County,-61%,-38%,Not enough data for this date,Not enough data for this date,-51%,Not
Chattooga_County,-30%,-5%,Not enough data for this date,Not enough data for this date,-35%,Not
Cherokee_County,-36%,-7%,+134%,Not enough data for this date,-35%,+13%
Clarke_County,-51%,-14%,-25%,-25%,-39%,+13%
Clayton_County,-29%,-4%,-10%,-82%,-36%,+14%
Clinch_County,Not,-2%,Not enough data for this date,Not enough data for this date,-32%,Not
Cobb_County,-47%,-8%,-34%,-29%,-41%,+15%
Coffee_County,-40%,-1%,Not enough data for this date,Not enough data for this date,-27%,+18%
Colquitt_County,-34%,+1%,Not enough data for this date,Not enough data for this date,-24%,+15%
Columbia_County,-37%,+3%,+4%,-34%,-38%,+12%
Cook_County,-36%,-2%,Not enough data for this date,-42%,-24%,Not
Coweta_County,-44%,+1%,Not enough data for this date,-21%,-34%,+13%
Crawford_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-24%,Not
Crisp_County,-32%,-21%,Not enough data for this date,-20%,-22%,Not
Dade_County,-52%,-23%,Not enough data for this date,-32%,-30%,Not
Dawson_County,-48%,-11%,+6%,Not enough data for this date,-32%,+0%
DeKalb_County,-43%,-7%,+26%,-36%,-43%,+16%
Decatur_County,-23%,-12%,Not enough data for this date,Not enough data for this date,-26%,-3%
Dodge_County,-42%,-18%,Not enough data for this date,Not enough data for this date,-23%,Not
Dooly_County,-59%,-28%,Not enough data for this date,-40%,-40%,Not
Dougherty_County,-47%,-16%,-33%,-46%,-34%,+14%
Douglas_County,-35%,-6%,+8%,-14%,-37%,+14%
Early_County,-57%,-29%,Not enough data for this date,Not enough data for this date,-44%,Not
Effingham_County,-23%,+9%,Not enough data for this date,Not enough data for this date,-33%,+21%
Elbert_County,-23%,-21%,Not enough data for this date,Not enough data for this date,-24%,Not
Emanuel_County,-36%,+5%,Not enough data for this date,Not enough data for this date,-17%,Not
Evans_County,-38%,-22%,Not enough data for this date,Not enough data for this date,-37%,Not
Fannin_County,-47%,-29%,+66%,Not enough data for this date,-35%,Not
Fayette_County,-36%,-6%,+70%,Not enough data for this date,-37%,+15%
Floyd_County,-34%,+7%,+28%,Not enough data for this date,-29%,+10%
Forsyth_County,-41%,-22%,+68%,Not enough data for this date,-38%,+15%
Franklin_County,-52%,-13%,-17%,-38%,-30%,Not
Fulton_County,-54%,-15%,-38%,-49%,-44%,+16%
Gilmer_County,-38%,-28%,Not enough data for this date,Not enough data for this date,-28%,+2%
Glynn_County,-45%,-15%,-9%,-50%,-38%,+11%
Gordon_County,-37%,+2%,Not enough data for this date,-32%,-38%,+21%
Grady_County,-42%,-13%,Not enough data for this date,Not enough data for this date,-25%,-1%
Greene_County,-41%,-27%,Not enough data for this date,Not enough data for this date,-30%,Not
Gwinnett_County,-45%,-8%,+36%,-31%,-41%,+16%
Habersham_County,-36%,+11%,Not enough data for this date,Not enough data for this date,-36%,+20%
Hall_County,-36%,-8%,+85%,-17%,-34%,+12%
Hancock_County,Not,-17%,Not enough data for this date,Not enough data for this date,-42%,Not
Haralson_County,-69%,+26%,-35%,-31%,-28%,+8%
Harris_County,-35%,+0%,+0%,Not enough data for this date,-29%,+13%
Hart_County,-32%,-11%,Not enough data for this date,Not enough data for this date,-29%,Not
Heard_County,Not,-15%,Not enough data for this date,Not enough data for this date,-47%,Not
Henry_County,-39%,+4%,-6%,Not enough data for this date,-38%,+15%
Houston_County,-42%,-9%,-8%,Not enough data for this date,-34%,+12%
Irwin_County,Not,-14%,Not enough data for this date,Not enough data for this date,-48%,Not
Jackson_County,-53%,-16%,Not enough data for this date,-19%,-22%,+20%
Jasper_County,-47%,-13%,Not enough data for this date,Not enough data for this date,-23%,Not
Jeff_Davis_County,-41%,-18%,Not enough data for this date,Not enough data for this date,-23%,Not
Jefferson_County,-42%,-13%,Not enough data for this date,Not enough data for this date,-21%,Not
Jenkins_County,-42%,-17%,Not enough data for this date,Not enough data for this date,-43%,Not
Johnson_County,Not,-13%,Not enough data for this date,Not enough data for this date,-42%,Not
Jones_County,-37%,-14%,Not enough data for this date,Not enough data for this date,-35%,+8%
Lamar_County,-49%,-14%,Not enough data for this date,Not enough data for this date,-39%,Not
Lanier_County,-62%,-15%,Not enough data for this date,Not enough data for this date,-47%,Not
Laurens_County,-40%,-10%,Not enough data for this date,-27%,-25%,+17%
Lee_County,-39%,-24%,Not enough data for this date,Not enough data for this date,-34%,+11%
Liberty_County,-32%,-5%,-22%,-30%,-32%,+11%
Lincoln_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Long_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Lowndes_County,-42%,-10%,-33%,-41%,-29%,+11%
Lumpkin_County,-38%,+16%,Not enough data for this date,Not enough data for this date,-33%,+6%
Macon_County,-59%,-16%,Not enough data for this date,Not enough data for this date,-38%,Not
Madison_County,-56%,+4%,Not enough data for this date,Not enough data for this date,-29%,+8%
Marion_County,Not,-9%,Not enough data for this date,Not enough data for this date,-39%,Not
McDuffie_County,-17%,-2%,Not enough data for this date,-41%,-27%,Not
McIntosh_County,-59%,-9%,Not enough data for this date,Not enough data for this date,-32%,Not
Meriwether_County,-45%,-7%,Not enough data for this date,Not enough data for this date,-31%,Not
Miller_County,-58%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Mitchell_County,-34%,-28%,Not enough data for this date,Not enough data for this date,-29%,Not
Monroe_County,-39%,-3%,-2%,-60%,-35%,-2%
Montgomery_County,Not,-5%,Not enough data for this date,Not enough data for this date,-37%,Not
Morgan_County,-30%,-18%,Not enough data for this date,-34%,-33%,Not
Murray_County,-29%,+3%,Not enough data for this date,Not enough data for this date,-39%,+19%
Muscogee_County,-44%,-1%,+12%,-62%,-31%,+11%
Newton_County,-24%,+10%,-8%,Not enough data for this date,-35%,+13%
Oconee_County,-47%,-27%,Not enough data for this date,Not enough data for this date,-32%,+0%
Oglethorpe_County,Not,-12%,Not enough data for this date,Not enough data for this date,-34%,Not
Paulding_County,-33%,-10%,-47%,Not enough data for this date,-36%,+13%
Peach_County,-40%,-7%,Not enough data for this date,-38%,-33%,+7%
Pickens_County,-23%,+8%,Not enough data for this date,Not enough data for this date,-31%,+9%
Pierce_County,-61%,-23%,Not enough data for this date,Not enough data for this date,-19%,Not
Pike_County,-54%,-11%,Not enough data for this date,Not enough data for this date,-34%,Not
Polk_County,-16%,-3%,Not enough data for this date,Not enough data for this date,-33%,+18%
Pulaski_County,-65%,-26%,Not enough data for this date,Not enough data for this date,-42%,Not
