Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Iowa,-44%,+7%,+40%,-28%,-28%,+12%
Adair_County,-44%,+2%,Not enough data for this date,Not enough data for this date,-43%,Not
Allamakee_County,-75%,-5%,Not enough data for this date,Not enough data for this date,-38%,Not
Appanoose_County,-7%,+52%,Not enough data for this date,Not enough data for this date,-14%,Not
Audubon_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Benton_County,-16%,+25%,Not enough data for this date,Not enough data for this date,-33%,+8%
Black_Hawk_County,-47%,-3%,-15%,-14%,-30%,+12%
Boone_County,-28%,-21%,Not enough data for this date,Not enough data for this date,-17%,+14%
Bremer_County,-32%,-12%,Not enough data for this date,Not enough data for this date,-31%,-1%
Buchanan_County,-29%,+0%,Not enough data for this date,Not enough data for this date,-17%,Not
Buena_Vista_County,-31%,-15%,Not enough data for this date,Not enough data for this date,-17%,Not
Butler_County,Not,+2%,Not enough data for this date,Not enough data for this date,-43%,Not
Calhoun_County,Not,-12%,Not enough data for this date,Not enough data for this date,-37%,Not
Carroll_County,-29%,+13%,Not enough data for this date,Not enough data for this date,-26%,Not
Cass_County,-32%,+13%,Not enough data for this date,Not enough data for this date,-20%,Not
Cedar_County,-30%,+0%,Not enough data for this date,-25%,-21%,Not
Cerro_Gordo_County,-42%,+19%,Not enough data for this date,-25%,-29%,+18%
Cherokee_County,-76%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-32%,Not
Chickasaw_County,-25%,-18%,Not enough data for this date,Not enough data for this date,-39%,Not
Clarke_County,-27%,Not enough data for this date,Not enough data for this date,-36%,-27%,Not
Clay_County,-34%,-12%,Not enough data for this date,Not enough data for this date,-20%,Not
Clayton_County,-59%,+7%,Not enough data for this date,Not enough data for this date,-19%,Not
Clinton_County,-38%,+12%,Not enough data for this date,Not enough data for this date,-26%,+18%
Crawford_County,-38%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Dallas_County,-67%,-28%,Not enough data for this date,Not enough data for this date,-32%,+24%
Davis_County,-44%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-31%,Not
Decatur_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,Not
Delaware_County,-33%,+19%,Not enough data for this date,Not enough data for this date,-15%,Not
Des_Moines_County,-40%,+14%,Not enough data for this date,-24%,-23%,+16%
Dickinson_County,-33%,+12%,+12%,Not enough data for this date,-31%,Not
Dubuque_County,-53%,+9%,-12%,-59%,-37%,+14%
Emmet_County,-17%,+11%,Not enough data for this date,Not enough data for this date,-49%,Not
Fayette_County,-15%,+7%,Not enough data for this date,Not enough data for this date,-21%,Not
Floyd_County,-28%,-12%,Not enough data for this date,-16%,-8%,Not
Franklin_County,-39%,+7%,Not enough data for this date,Not enough data for this date,-31%,Not
Fremont_County,-45%,Not enough data for this date,Not enough data for this date,-16%,-35%,Not
Greene_County,-45%,+4%,Not enough data for this date,Not enough data for this date,-40%,Not
Grundy_County,-64%,-25%,Not enough data for this date,Not enough data for this date,-44%,Not
Guthrie_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Hamilton_County,-23%,-3%,Not enough data for this date,-25%,-6%,Not
Hancock_County,Not,-2%,Not enough data for this date,Not enough data for this date,-44%,Not
Hardin_County,-40%,+26%,Not enough data for this date,Not enough data for this date,-17%,Not
Harrison_County,-30%,+3%,Not enough data for this date,Not enough data for this date,-17%,Not
Henry_County,-27%,+12%,Not enough data for this date,-20%,-21%,Not
Howard_County,-37%,+4%,Not enough data for this date,Not enough data for this date,-46%,Not
Humboldt_County,-39%,-7%,Not enough data for this date,Not enough data for this date,-46%,Not
Ida_County,-64%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-25%,Not
Iowa_County,-71%,+4%,Not enough data for this date,Not enough data for this date,-31%,Not
Jackson_County,-26%,+16%,Not enough data for this date,Not enough data for this date,-25%,Not
Jasper_County,-44%,+97%,Not enough data for this date,-9%,-28%,+12%
Jefferson_County,-39%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Johnson_County,-55%,-24%,+35%,-28%,-37%,+15%
Jones_County,-37%,+14%,Not enough data for this date,Not enough data for this date,-21%,Not
Keokuk_County,-66%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Kossuth_County,-62%,+60%,Not enough data for this date,Not enough data for this date,-27%,Not
Lee_County,-28%,-1%,Not enough data for this date,Not enough data for this date,-21%,+13%
Linn_County,-51%,+10%,+37%,-53%,-35%,+13%
Louisa_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Lucas_County,-59%,+8%,Not enough data for this date,Not enough data for this date,-25%,Not
Lyon_County,-70%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Madison_County,-46%,+26%,Not enough data for this date,Not enough data for this date,-29%,Not
Mahaska_County,-32%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-19%,Not
Marion_County,-35%,+43%,Not enough data for this date,Not enough data for this date,-35%,+13%
Marshall_County,-34%,+7%,Not enough data for this date,Not enough data for this date,-23%,+17%
Mills_County,-8%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Mitchell_County,-67%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Monona_County,-25%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Monroe_County,-51%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Montgomery_County,-42%,-3%,Not enough data for this date,Not enough data for this date,-26%,Not
Muscatine_County,-36%,+51%,Not enough data for this date,Not enough data for this date,-30%,+21%
O'Brien_County,-17%,-9%,Not enough data for this date,Not enough data for this date,-11%,Not
Osceola_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Page_County,-43%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-20%,Not
Palo_Alto_County,-33%,-18%,Not enough data for this date,Not enough data for this date,-40%,Not
Plymouth_County,-32%,+16%,Not enough data for this date,Not enough data for this date,-27%,+8%
Pocahontas_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Polk_County,-49%,+5%,+27%,-42%,-32%,+13%
Pottawattamie_County,-40%,+17%,+53%,-18%,-31%,+11%
Poweshiek_County,-23%,-5%,Not enough data for this date,-18%,-28%,Not
Sac_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-32%,Not
Scott_County,-48%,-2%,+30%,-12%,-33%,+13%
Shelby_County,-20%,-14%,Not enough data for this date,Not enough data for this date,-37%,Not
Sioux_County,-33%,+11%,Not enough data for this date,Not enough data for this date,-17%,+16%
Story_County,-48%,-9%,Not enough data for this date,-28%,-37%,+22%
Tama_County,-42%,-7%,Not enough data for this date,Not enough data for this date,-34%,Not
Taylor_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-21%,Not
Union_County,-22%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,Not
Van_Buren_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Wapello_County,-38%,+19%,Not enough data for this date,Not enough data for this date,-25%,+11%
Warren_County,-33%,+7%,Not enough data for this date,Not enough data for this date,-31%,+15%
Washington_County,-23%,-9%,Not enough data for this date,Not enough data for this date,-23%,-3%
Wayne_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-31%,Not
Webster_County,-34%,+44%,Not enough data for this date,Not enough data for this date,-20%,+17%
Winnebago_County,-45%,-16%,Not enough data for this date,Not enough data for this date,-50%,Not
Winneshiek_County,-56%,-17%,Not enough data for this date,Not enough data for this date,-36%,Not
Woodbury_County,-44%,+4%,Not enough data for this date,-13%,-24%,+11%
Worth_County,Not,-31%,Not enough data for this date,Not enough data for this date,-44%,Not
Wright_County,-27%,+4%,Not enough data for this date,Not enough data for this date,-17%,Not
