Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Kansas,-41%,-3%,+97%,-23%,-31%,+11%
Allen_County,-28%,-2%,Not enough data for this date,Not enough data for this date,-30%,Not
Anderson_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Atchison_County,-20%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,Not
Barton_County,-30%,-16%,Not enough data for this date,Not enough data for this date,-18%,-1%
Bourbon_County,-37%,-15%,Not enough data for this date,Not enough data for this date,-24%,Not
Brown_County,-18%,-13%,Not enough data for this date,Not enough data for this date,-35%,Not
Butler_County,-24%,-3%,Not enough data for this date,Not enough data for this date,-24%,+18%
Cherokee_County,-24%,+5%,Not enough data for this date,Not enough data for this date,-27%,-4%
Clay_County,-23%,-22%,Not enough data for this date,Not enough data for this date,-40%,Not
Cloud_County,-47%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Coffey_County,-73%,-49%,Not enough data for this date,-32%,-39%,Not
Cowley_County,-25%,-20%,Not enough data for this date,-57%,-34%,+16%
Crawford_County,-41%,-14%,Not enough data for this date,Not enough data for this date,-21%,+15%
Dickinson_County,-44%,-14%,Not enough data for this date,-17%,-18%,Not
Doniphan_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-31%,Not
Douglas_County,-50%,-16%,+110%,-9%,-40%,+13%
Ellis_County,-53%,-23%,Not enough data for this date,-15%,-41%,-1%
Ellsworth_County,Not,-31%,Not enough data for this date,Not enough data for this date,-35%,Not
Finney_County,-43%,-18%,Not enough data for this date,-46%,+11%,+19%
Ford_County,-37%,-22%,Not enough data for this date,-22%,-43%,+13%
Franklin_County,-29%,-19%,Not enough data for this date,-16%,-28%,+12%
Geary_County,-31%,-12%,Not enough data for this date,Not enough data for this date,-27%,+22%
Grant_County,-22%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-30%,Not
Greenwood_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Harper_County,-65%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Harvey_County,-42%,+27%,Not enough data for this date,-35%,-27%,+19%
Jackson_County,-29%,-26%,Not enough data for this date,Not enough data for this date,-38%,Not
Jefferson_County,-62%,+5%,Not enough data for this date,Not enough data for this date,-24%,Not
Johnson_County,-48%,-9%,+148%,-11%,-39%,+14%
Kingman_County,-46%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Labette_County,-34%,-15%,Not enough data for this date,Not enough data for this date,-13%,Not
Leavenworth_County,-31%,-2%,Not enough data for this date,-52%,-28%,+17%
Linn_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-32%,Not
Lyon_County,-41%,-28%,Not enough data for this date,-40%,-28%,+16%
Marion_County,-30%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Marshall_County,-30%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
McPherson_County,-39%,-20%,Not enough data for this date,-37%,-24%,+13%
Miami_County,-18%,-13%,Not enough data for this date,Not enough data for this date,-27%,+16%
Mitchell_County,-71%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-31%,Not
Montgomery_County,-23%,-7%,Not enough data for this date,Not enough data for this date,-15%,+12%
Morris_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-48%,Not
Nemaha_County,-76%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Neosho_County,-29%,-8%,Not enough data for this date,-20%,-15%,Not
Osage_County,-66%,+7%,Not enough data for this date,Not enough data for this date,-24%,Not
Ottawa_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Pawnee_County,-48%,-21%,Not enough data for this date,Not enough data for this date,-30%,Not
Pottawatomie_County,-41%,-9%,Not enough data for this date,Not enough data for this date,-33%,+2%
Pratt_County,-33%,-13%,Not enough data for this date,Not enough data for this date,-35%,Not
Reno_County,-33%,-7%,Not enough data for this date,-30%,-29%,+9%
Rice_County,-33%,-25%,Not enough data for this date,Not enough data for this date,-40%,Not
Riley_County,-55%,-32%,-50%,-53%,-38%,+25%
Russell_County,-56%,-24%,Not enough data for this date,Not enough data for this date,-34%,Not
Saline_County,-45%,-21%,-7%,-23%,-36%,+17%
Scott_County,-53%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Sedgwick_County,-42%,-3%,+40%,-30%,-35%,+11%
Seward_County,-39%,-21%,Not enough data for this date,-19%,-17%,-1%
Shawnee_County,-39%,-2%,+104%,+26%,-32%,+11%
Sherman_County,-31%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Stevens_County,-62%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Sumner_County,-28%,+17%,Not enough data for this date,Not enough data for this date,-24%,+1%
Thomas_County,-44%,-22%,Not enough data for this date,-4%,-25%,Not
Trego_County,Not,-27%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Wabaunsee_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Washington_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Wilson_County,-56%,-9%,Not enough data for this date,Not enough data for this date,-42%,Not
Wyandotte_County,-45%,-8%,+49%,-9%,-33%,+11%
