Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Louisiana,-45%,-2%,-35%,-54%,-36%,+14%
Acadia_Parish,-31%,+23%,Not enough data for this date,-52%,-28%,+12%
Allen_Parish,-35%,-10%,Not enough data for this date,Not enough data for this date,-38%,Not
Ascension_Parish,-46%,+4%,Not enough data for this date,Not enough data for this date,-36%,+15%
Assumption_Parish,Not,-3%,Not enough data for this date,Not enough data for this date,-31%,Not
Avoyelles_Parish,-16%,+5%,Not enough data for this date,Not enough data for this date,-27%,-2%
Beauregard_Parish,-27%,-7%,Not enough data for this date,Not enough data for this date,-33%,+3%
Bienville_Parish,-44%,-8%,Not enough data for this date,Not enough data for this date,-40%,Not
Bossier_Parish,-57%,-8%,-13%,-53%,-41%,+15%
Caddo_Parish,-42%,+0%,-43%,-46%,-36%,+13%
Calcasieu_Parish,-42%,-9%,-31%,-51%,-33%,+14%
Caldwell_Parish,-13%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Cameron_Parish,Not,+10%,Not enough data for this date,Not enough data for this date,-48%,Not
Catahoula_Parish,-64%,-24%,Not enough data for this date,Not enough data for this date,-44%,Not
Claiborne_Parish,-41%,-14%,Not enough data for this date,Not enough data for this date,-41%,Not
Concordia_Parish,-24%,-16%,Not enough data for this date,Not enough data for this date,-30%,Not
De_Soto_Parish,-22%,-12%,Not enough data for this date,-35%,-23%,Not
East_Baton_Rouge_Parish,-48%,+3%,-28%,-43%,-36%,+14%
East_Feliciana_Parish,-23%,-3%,Not enough data for this date,Not enough data for this date,-58%,Not
Evangeline_Parish,-36%,+1%,Not enough data for this date,Not enough data for this date,-28%,Not
Franklin_Parish,-25%,+3%,Not enough data for this date,Not enough data for this date,-20%,Not
Grant_Parish,Not,+17%,Not enough data for this date,Not enough data for this date,-20%,Not
Iberia_Parish,-27%,+7%,-28%,Not enough data for this date,-27%,+21%
Iberville_Parish,-24%,+0%,Not enough data for this date,-49%,-37%,Not
Jackson_Parish,-21%,-5%,Not enough data for this date,Not enough data for this date,-44%,Not
Jefferson_Davis_Parish,-52%,-7%,Not enough data for this date,-53%,-30%,-1%
Jefferson_Parish,-50%,-5%,-35%,-85%,-45%,+17%
La_Salle_Parish,-36%,+2%,Not enough data for this date,Not enough data for this date,-41%,Not
Lafayette_Parish,-48%,-4%,-21%,-40%,-36%,+14%
Lafourche_Parish,-31%,+2%,Not enough data for this date,-54%,-29%,+22%
Lincoln_Parish,-60%,+2%,Not enough data for this date,-39%,-33%,+9%
Livingston_Parish,-37%,+9%,-32%,-35%,-34%,+12%
Madison_Parish,-14%,+6%,Not enough data for this date,-50%,-36%,Not
Morehouse_Parish,-20%,-9%,Not enough data for this date,Not enough data for this date,-25%,Not
Natchitoches_Parish,-38%,-16%,Not enough data for this date,Not enough data for this date,-32%,+6%
Orleans_Parish,-72%,-26%,-62%,-56%,-53%,+19%
Ouachita_Parish,-45%,-1%,-7%,-38%,-30%,+11%
Plaquemines_Parish,-35%,-14%,-33%,Not enough data for this date,-46%,Not
Pointe_Coupee_Parish,-18%,-3%,Not enough data for this date,Not enough data for this date,-9%,Not
Rapides_Parish,-39%,+0%,-39%,-53%,-27%,+11%
Red_River_Parish,-58%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Richland_Parish,-28%,+1%,Not enough data for this date,-36%,-17%,Not
Sabine_Parish,-23%,-15%,Not enough data for this date,Not enough data for this date,-23%,Not
St._Bernard_Parish,-27%,+23%,-19%,Not enough data for this date,-42%,+20%
St._Charles_Parish,-45%,+20%,Not enough data for this date,-41%,-38%,+24%
St._Helena_Parish,Not,-20%,Not enough data for this date,Not enough data for this date,-58%,Not
St._James_Parish,-13%,-4%,Not enough data for this date,Not enough data for this date,-29%,Not
St._John_the_Baptist_Parish,-37%,-1%,-62%,-57%,-38%,+21%
St._Landry_Parish,-38%,+20%,Not enough data for this date,-38%,-26%,+20%
St._Martin_Parish,-41%,+14%,-16%,-46%,-36%,+15%
St._Mary_Parish,-34%,-8%,Not enough data for this date,-57%,-41%,+13%
St._Tammany_Parish,-45%,+2%,-15%,-32%,-35%,+14%
Tangipahoa_Parish,-31%,+5%,-20%,-39%,-31%,+13%
Terrebonne_Parish,-47%,+0%,-8%,-49%,-37%,+14%
Union_Parish,-28%,+13%,Not enough data for this date,Not enough data for this date,-24%,Not
Vermilion_Parish,-39%,+12%,Not enough data for this date,Not enough data for this date,-27%,+12%
Vernon_Parish,-31%,-10%,Not enough data for this date,Not enough data for this date,-26%,+20%
Washington_Parish,-29%,+18%,Not enough data for this date,Not enough data for this date,-22%,+2%
Webster_Parish,-28%,-9%,Not enough data for this date,-40%,-35%,+13%
West_Baton_Rouge_Parish,-44%,+15%,Not enough data for this date,-54%,-34%,Not
West_Carroll_Parish,-16%,-2%,Not enough data for this date,Not enough data for this date,-47%,Not
West_Feliciana_Parish,-69%,-19%,Not enough data for this date,Not enough data for this date,-60%,Not
Winn_Parish,-18%,+0%,Not enough data for this date,Not enough data for this date,-41%,Not
