Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Maryland,-43%,-14%,+24%,-49%,-39%,+15%
Allegany_County,-41%,-6%,-55%,-39%,-30%,+20%
Anne_Arundel_County,-47%,-19%,+25%,-80%,-41%,+15%
Baltimore,-44%,-12%,+26%,-31%,-36%,+13%
Baltimore_County,-41%,+0%,+63%,-32%,-37%,+15%
Calvert_County,-33%,-10%,+16%,Not enough data for this date,-36%,+28%
Caroline_County,-35%,-8%,Not enough data for this date,Not enough data for this date,-28%,+17%
Carroll_County,-38%,-15%,+66%,-61%,-36%,+15%
Cecil_County,-23%,-17%,+66%,-59%,-32%,+12%
Charles_County,-38%,-7%,-42%,-30%,-39%,+15%
Dorchester_County,-25%,-5%,Not enough data for this date,Not enough data for this date,-25%,+13%
Frederick_County,-48%,-19%,+36%,-24%,-38%,+15%
Garrett_County,-42%,-6%,Not enough data for this date,-35%,-30%,-1%
Harford_County,-39%,-10%,+99%,-61%,-35%,+14%
Howard_County,-55%,-35%,+28%,-32%,-46%,+18%
Kent_County,-38%,-18%,Not enough data for this date,Not enough data for this date,-22%,Not
Montgomery_County,-53%,-28%,+32%,-53%,-46%,+19%
Prince_George's_County,-39%,-19%,+14%,-49%,-40%,+17%
Queen_Anne's_County,-48%,-24%,-28%,Not enough data for this date,-33%,+23%
Somerset_County,-21%,-5%,Not enough data for this date,Not enough data for this date,-26%,Not
St._Mary's_County,-39%,+3%,-1%,Not enough data for this date,-33%,+13%
Talbot_County,-33%,-9%,Not enough data for this date,Not enough data for this date,-32%,+8%
Washington_County,-42%,-6%,+64%,-25%,-33%,+12%
Wicomico_County,-45%,-16%,Not enough data for this date,-50%,-37%,+13%
Worcester_County,-49%,-8%,-37%,Not enough data for this date,-37%,+21%
