Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Michigan,-58%,-15%,+59%,-51%,-45%,+16%
Alcona_County,+1%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-50%,Not
Alger_County,-79%,-45%,-14%,Not enough data for this date,-62%,Not
Allegan_County,-49%,-4%,Not enough data for this date,-51%,-41%,+15%
Alpena_County,-50%,-10%,Not enough data for this date,Not enough data for this date,-34%,+3%
Antrim_County,-73%,-8%,Not enough data for this date,Not enough data for this date,-43%,Not
Arenac_County,-28%,+13%,Not enough data for this date,Not enough data for this date,-35%,Not
Baraga_County,Not,-44%,Not enough data for this date,Not enough data for this date,-63%,Not
Barry_County,-48%,+18%,Not enough data for this date,Not enough data for this date,-37%,+29%
Bay_County,-59%,-11%,-23%,Not enough data for this date,-41%,+14%
Benzie_County,-23%,-3%,Not enough data for this date,Not enough data for this date,-33%,Not
Berrien_County,-45%,-2%,+123%,-35%,-37%,+12%
Branch_County,-55%,-10%,Not enough data for this date,Not enough data for this date,-40%,+21%
Calhoun_County,-51%,-8%,+30%,-44%,-41%,+13%
Cass_County,-38%,+3%,Not enough data for this date,Not enough data for this date,-32%,+25%
Charlevoix_County,-46%,-22%,+25%,Not enough data for this date,-43%,Not
Cheboygan_County,-45%,-7%,Not enough data for this date,Not enough data for this date,-38%,Not
Chippewa_County,-63%,+21%,-50%,Not enough data for this date,-40%,+2%
Clare_County,-63%,+4%,Not enough data for this date,Not enough data for this date,-30%,+9%
Clinton_County,-58%,-18%,Not enough data for this date,-50%,-41%,+30%
Crawford_County,-47%,-34%,Not enough data for this date,Not enough data for this date,-35%,Not
Delta_County,-51%,-14%,Not enough data for this date,Not enough data for this date,-34%,+9%
Dickinson_County,-38%,-13%,Not enough data for this date,Not enough data for this date,-29%,+0%
Eaton_County,-58%,-22%,Not enough data for this date,Not enough data for this date,-37%,+15%
Emmet_County,-67%,-28%,Not enough data for this date,Not enough data for this date,-49%,+1%
Genesee_County,-55%,-10%,+94%,-45%,-46%,+15%
Gladwin_County,-54%,-2%,Not enough data for this date,Not enough data for this date,-38%,+0%
Gogebic_County,-41%,-33%,Not enough data for this date,Not enough data for this date,-41%,Not
Grand_Traverse_County,-65%,-26%,+80%,-74%,-44%,+13%
Gratiot_County,-47%,-7%,Not enough data for this date,Not enough data for this date,-31%,+18%
Hillsdale_County,-51%,-15%,Not enough data for this date,Not enough data for this date,-41%,+22%
Houghton_County,-64%,-18%,-29%,Not enough data for this date,-39%,+3%
Huron_County,-38%,-5%,Not enough data for this date,Not enough data for this date,-32%,+0%
Ingham_County,-63%,-22%,+104%,-53%,-40%,+15%
Ionia_County,-48%,+1%,Not enough data for this date,-47%,-34%,+28%
Iosco_County,-50%,+28%,Not enough data for this date,Not enough data for this date,-37%,Not
Iron_County,-34%,-9%,Not enough data for this date,Not enough data for this date,-44%,Not
Isabella_County,-65%,-25%,Not enough data for this date,Not enough data for this date,-44%,+28%
Jackson_County,-54%,-9%,-7%,-43%,-39%,+14%
Kalamazoo_County,-60%,-20%,+100%,-60%,-40%,+15%
Kalkaska_County,-50%,-5%,Not enough data for this date,Not enough data for this date,-42%,Not
Kent_County,-64%,-20%,+61%,-54%,-44%,+16%
Lake_County,-43%,+10%,Not enough data for this date,Not enough data for this date,-51%,Not
Lapeer_County,-52%,-18%,-32%,Not enough data for this date,-48%,+31%
Leelanau_County,-64%,-33%,Not enough data for this date,Not enough data for this date,-47%,Not
Lenawee_County,-54%,-11%,Not enough data for this date,Not enough data for this date,-43%,+15%
Livingston_County,-64%,-13%,+19%,Not enough data for this date,-48%,+17%
Luce_County,-67%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Mackinac_County,-75%,-37%,Not enough data for this date,Not enough data for this date,-60%,Not
Macomb_County,-58%,-14%,+125%,-32%,-53%,+18%
Manistee_County,-53%,-12%,Not enough data for this date,Not enough data for this date,-31%,Not
Marquette_County,-64%,-16%,+1%,Not enough data for this date,-33%,+26%
Mason_County,-53%,-11%,Not enough data for this date,Not enough data for this date,-38%,+7%
Mecosta_County,-48%,+1%,Not enough data for this date,Not enough data for this date,-29%,+20%
Menominee_County,-34%,-18%,Not enough data for this date,Not enough data for this date,-29%,Not
Midland_County,-56%,-9%,-14%,Not enough data for this date,-38%,+30%
Missaukee_County,-37%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-30%,Not
Monroe_County,-57%,-9%,+58%,-31%,-38%,+15%
Montcalm_County,-39%,+8%,Not enough data for this date,Not enough data for this date,-32%,+27%
Montmorency_County,-54%,-12%,Not enough data for this date,Not enough data for this date,-50%,Not
Muskegon_County,-53%,-8%,+136%,Not enough data for this date,-42%,+13%
