Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Minnesota,-44%,-2%,+50%,-51%,-36%,+14%
Aitkin_County,-47%,-35%,-58%,Not enough data for this date,-33%,Not
Anoka_County,-36%,+2%,+118%,-9%,-36%,+14%
Becker_County,-57%,+62%,Not enough data for this date,Not enough data for this date,-36%,+16%
Beltrami_County,-39%,+3%,-38%,Not enough data for this date,-30%,+22%
Benton_County,-35%,+5%,Not enough data for this date,Not enough data for this date,-33%,+21%
Big_Stone_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Blue_Earth_County,-57%,-10%,-26%,Not enough data for this date,-32%,+23%
Brown_County,-29%,-21%,Not enough data for this date,Not enough data for this date,-16%,+9%
Carlton_County,-27%,-14%,Not enough data for this date,Not enough data for this date,-27%,+11%
Carver_County,-37%,+1%,+46%,Not enough data for this date,-33%,+28%
Cass_County,-60%,-4%,-11%,Not enough data for this date,-33%,+0%
Chippewa_County,-19%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-22%,Not
Chisago_County,-43%,+3%,-33%,Not enough data for this date,-32%,+24%
Clay_County,-37%,+0%,Not enough data for this date,Not enough data for this date,-35%,+25%
Clearwater_County,-72%,-28%,Not enough data for this date,Not enough data for this date,-47%,Not
Cook_County,-64%,-58%,Not enough data for this date,Not enough data for this date,-54%,Not
Cottonwood_County,-46%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-52%,Not
Crow_Wing_County,-42%,+0%,+14%,Not enough data for this date,-39%,+20%
Dakota_County,-42%,-4%,+90%,-11%,-38%,+14%
Dodge_County,-46%,-17%,Not enough data for this date,Not enough data for this date,-27%,+4%
Douglas_County,-39%,-20%,-47%,-28%,-27%,+22%
Faribault_County,-31%,-10%,Not enough data for this date,Not enough data for this date,-14%,Not
Fillmore_County,-52%,-7%,Not enough data for this date,Not enough data for this date,-21%,Not
Freeborn_County,-27%,-4%,Not enough data for this date,-20%,-30%,+18%
Goodhue_County,-25%,+13%,-20%,Not enough data for this date,-34%,+21%
Grant_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Hennepin_County,-53%,-6%,+65%,-65%,-43%,+16%
Houston_County,-78%,-11%,Not enough data for this date,Not enough data for this date,-30%,Not
Hubbard_County,-35%,-4%,Not enough data for this date,Not enough data for this date,-42%,Not
Isanti_County,-26%,+14%,-36%,Not enough data for this date,-24%,+20%
Itasca_County,-39%,-4%,Not enough data for this date,Not enough data for this date,-31%,+19%
Jackson_County,-77%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Kanabec_County,-34%,-12%,Not enough data for this date,Not enough data for this date,-40%,Not
Kandiyohi_County,-35%,-7%,Not enough data for this date,Not enough data for this date,-20%,+20%
Koochiching_County,-46%,-18%,Not enough data for this date,Not enough data for this date,-29%,Not
Lac_qui_Parle_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Lake_County,-43%,-16%,+25%,Not enough data for this date,-42%,Not
Lake_of_the_Woods_County,-71%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Le_Sueur_County,-1%,-4%,Not enough data for this date,Not enough data for this date,-26%,+18%
Lincoln_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Lyon_County,-39%,-12%,Not enough data for this date,Not enough data for this date,-26%,+4%
Mahnomen_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-60%,Not
Marshall_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Martin_County,-45%,-16%,Not enough data for this date,Not enough data for this date,-13%,Not
McLeod_County,-32%,-14%,Not enough data for this date,Not enough data for this date,-22%,+21%
Meeker_County,-31%,-17%,Not enough data for this date,Not enough data for this date,-21%,+3%
Mille_Lacs_County,-30%,+4%,Not enough data for this date,Not enough data for this date,-32%,+11%
Morrison_County,-37%,-17%,-61%,Not enough data for this date,-28%,+14%
Mower_County,-35%,+5%,Not enough data for this date,Not enough data for this date,-17%,+20%
Murray_County,-70%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Nicollet_County,-47%,-10%,Not enough data for this date,Not enough data for this date,-34%,+20%
Nobles_County,-33%,-3%,Not enough data for this date,-49%,-45%,Not
Norman_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Olmsted_County,-50%,-1%,+107%,-29%,-37%,+14%
Otter_Tail_County,-41%,+0%,-9%,Not enough data for this date,-26%,+20%
Pennington_County,-35%,-23%,Not enough data for this date,Not enough data for this date,-49%,Not
Pine_County,-41%,+9%,-47%,Not enough data for this date,-46%,+10%
Pipestone_County,-29%,-20%,Not enough data for this date,Not enough data for this date,-33%,Not
Polk_County,-52%,-19%,Not enough data for this date,Not enough data for this date,-32%,+15%
Pope_County,-55%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Ramsey_County,-54%,-3%,+26%,-25%,-39%,+15%
Red_Lake_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Redwood_County,-41%,-16%,Not enough data for this date,Not enough data for this date,-30%,Not
Renville_County,-77%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-22%,Not
Rice_County,-31%,+14%,+2%,-19%,-38%,+21%
