Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Mississippi,-35%,+1%,-12%,-38%,-32%,+11%
Adams_County,-36%,-14%,Not enough data for this date,Not enough data for this date,-29%,Not
Alcorn_County,-40%,-13%,Not enough data for this date,Not enough data for this date,-31%,+1%
Amite_County,-50%,-31%,Not enough data for this date,Not enough data for this date,-35%,Not
Attala_County,-27%,-11%,Not enough data for this date,Not enough data for this date,-37%,Not
Benton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Bolivar_County,-29%,-16%,Not enough data for this date,Not enough data for this date,-24%,Not
Calhoun_County,-63%,-30%,Not enough data for this date,Not enough data for this date,-53%,Not
Carroll_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-48%,Not
Chickasaw_County,-41%,-25%,Not enough data for this date,Not enough data for this date,-37%,Not
Claiborne_County,-66%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Clarke_County,-18%,-10%,Not enough data for this date,Not enough data for this date,-46%,Not
Clay_County,-43%,-3%,Not enough data for this date,-44%,-23%,Not
Coahoma_County,-37%,-8%,Not enough data for this date,Not enough data for this date,-36%,Not
Copiah_County,-35%,-8%,Not enough data for this date,Not enough data for this date,-24%,Not
Covington_County,-43%,-28%,Not enough data for this date,Not enough data for this date,-20%,Not
DeSoto_County,-38%,+7%,+3%,-35%,-35%,+12%
Forrest_County,-45%,+5%,Not enough data for this date,-33%,-30%,+19%
George_County,-55%,+25%,Not enough data for this date,Not enough data for this date,-29%,Not
Greene_County,Not,-6%,Not enough data for this date,Not enough data for this date,-47%,Not
Grenada_County,-20%,-14%,Not enough data for this date,Not enough data for this date,-30%,Not
Hancock_County,-33%,+5%,Not enough data for this date,Not enough data for this date,-40%,+16%
Harrison_County,-44%,-5%,-3%,-46%,-45%,+14%
Hinds_County,-32%,+8%,-24%,-19%,-27%,+10%
Holmes_County,-55%,-6%,Not enough data for this date,Not enough data for this date,-51%,Not
Humphreys_County,Not,+9%,Not enough data for this date,Not enough data for this date,-40%,Not
Itawamba_County,-44%,-8%,Not enough data for this date,Not enough data for this date,-33%,Not
Jackson_County,-33%,-5%,-27%,-50%,-43%,+14%
Jasper_County,-55%,-8%,Not enough data for this date,Not enough data for this date,-40%,Not
Jefferson_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Jefferson_Davis_County,Not,+16%,Not enough data for this date,Not enough data for this date,-51%,Not
Jones_County,-26%,+8%,Not enough data for this date,-47%,-31%,+17%
Kemper_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Lafayette_County,-50%,-28%,Not enough data for this date,Not enough data for this date,-41%,+10%
