Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Missouri,-44%,+1%,+16%,-36%,-32%,+12%
Adair_County,-50%,+57%,Not enough data for this date,Not enough data for this date,-29%,-1%
Andrew_County,-68%,+12%,Not enough data for this date,Not enough data for this date,-24%,Not
Audrain_County,-28%,+2%,Not enough data for this date,Not enough data for this date,-23%,+6%
Barry_County,-32%,+10%,Not enough data for this date,Not enough data for this date,-23%,+11%
Barton_County,-23%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Bates_County,-27%,+30%,Not enough data for this date,Not enough data for this date,-19%,Not
Benton_County,-48%,+136%,Not enough data for this date,Not enough data for this date,-32%,Not
Bollinger_County,-50%,-9%,Not enough data for this date,Not enough data for this date,-45%,Not
Boone_County,-54%,+11%,-13%,-61%,-34%,+12%
Buchanan_County,-39%,+21%,Not enough data for this date,-17%,-30%,+10%
Butler_County,-33%,-3%,Not enough data for this date,Not enough data for this date,-22%,+13%
Caldwell_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-28%,Not
Callaway_County,-40%,+6%,Not enough data for this date,Not enough data for this date,-18%,+18%
Camden_County,-43%,+2%,Not enough data for this date,Not enough data for this date,-32%,+14%
Cape_Girardeau_County,-50%,-17%,+0%,Not enough data for this date,-35%,+18%
Carroll_County,-30%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Cass_County,-34%,+1%,+6%,-23%,-30%,+11%
Cedar_County,-23%,-12%,Not enough data for this date,Not enough data for this date,-27%,Not
Chariton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Christian_County,-36%,+2%,-34%,Not enough data for this date,-30%,+12%
Clark_County,Not,-8%,Not enough data for this date,-35%,-28%,Not
Clay_County,-43%,+7%,+146%,-27%,-37%,+13%
Clinton_County,-54%,-10%,Not enough data for this date,Not enough data for this date,-20%,Not
Cole_County,-43%,+1%,Not enough data for this date,Not enough data for this date,-27%,+22%
Cooper_County,-30%,-2%,Not enough data for this date,-17%,-21%,Not
Crawford_County,-32%,+1%,Not enough data for this date,-18%,-28%,Not
