Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Montana,-55%,-11%,-51%,-46%,-39%,+15%
Beaverhead_County,-39%,-20%,Not enough data for this date,Not enough data for this date,-34%,Not
Big_Horn_County,-31%,-7%,Not enough data for this date,-20%,-38%,Not
Blaine_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Broadwater_County,-67%,-5%,Not enough data for this date,Not enough data for this date,-43%,Not
Carbon_County,-61%,-21%,Not enough data for this date,Not enough data for this date,-47%,Not
Cascade_County,-58%,-26%,-60%,-73%,-41%,+15%
Custer_County,-35%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Dawson_County,-60%,-2%,Not enough data for this date,Not enough data for this date,-34%,Not
Deer_Lodge_County,-51%,-12%,Not enough data for this date,Not enough data for this date,-40%,Not
Fergus_County,-38%,-22%,Not enough data for this date,Not enough data for this date,-38%,Not
Flathead_County,-49%,-12%,-56%,-41%,-39%,+13%
Gallatin_County,-64%,-27%,-61%,-70%,-50%,+19%
Glacier_County,-59%,-17%,Not enough data for this date,Not enough data for this date,-63%,Not
Hill_County,-32%,+4%,Not enough data for this date,Not enough data for this date,-32%,Not
Jefferson_County,-64%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-45%,Not
Lake_County,-26%,-9%,Not enough data for this date,Not enough data for this date,-29%,+1%
Lewis_and_Clark_County,-55%,-22%,-56%,Not enough data for this date,-41%,+19%
Lincoln_County,-81%,-18%,Not enough data for this date,Not enough data for this date,-32%,Not
Madison_County,-100%,Not enough data for this date,-62%,Not enough data for this date,-59%,Not
Mineral_County,Not,-61%,Not enough data for this date,Not enough data for this date,-38%,Not
Missoula_County,-54%,-19%,-44%,-41%,-41%,+15%
Park_County,-49%,-16%,Not enough data for this date,Not enough data for this date,-45%,Not
Pondera_County,-56%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Powell_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Ravalli_County,-35%,+6%,Not enough data for this date,Not enough data for this date,-35%,+12%
Richland_County,-43%,-15%,Not enough data for this date,Not enough data for this date,-36%,Not
Roosevelt_County,-20%,-20%,Not enough data for this date,Not enough data for this date,-50%,Not
Rosebud_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Sanders_County,-60%,-24%,Not enough data for this date,Not enough data for this date,-39%,Not
Silver_Bow_County,-44%,+3%,Not enough data for this date,-35%,-40%,+11%
Stillwater_County,-47%,Not enough data for this date,Not enough data for this date,-28%,-38%,Not
Teton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Valley_County,-68%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-37%,Not
Yellowstone_County,-53%,-7%,-43%,-59%,-36%,+14%
