Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
New_Hampshire,-42%,-7%,+4%,-51%,-37%,+13%
Belknap_County,-33%,+0%,-53%,Not enough data for this date,-35%,+23%
Carroll_County,-54%,-18%,-15%,Not enough data for this date,-42%,+22%
Cheshire_County,-33%,-6%,-22%,Not enough data for this date,-33%,+23%
Coos_County,-43%,+9%,-56%,Not enough data for this date,-37%,+10%
Grafton_County,-49%,-18%,-63%,-33%,-43%,+25%
Hillsborough_County,-48%,-9%,+97%,-40%,-38%,+14%
Merrimack_County,-39%,-6%,-4%,-57%,-34%,+13%
Rockingham_County,-41%,-4%,+63%,-57%,-37%,+14%
Strafford_County,-35%,-6%,-20%,-59%,-36%,+13%
Sullivan_County,-25%,-9%,Not enough data for this date,Not enough data for this date,-30%,+23%
