Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
North_Dakota,-48%,+1%,-18%,-43%,-28%,+15%
Barnes_County,-34%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Bottineau_County,-34%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-51%,Not
Burleigh_County,-51%,-8%,-15%,-54%,-32%,+14%
Cass_County,-56%,-11%,+8%,-38%,-32%,+15%
Dunn_County,-56%,-17%,-54%,Not enough data for this date,Not enough data for this date,Not
Grand_Forks_County,-51%,+1%,-53%,-51%,-31%,+24%
McKenzie_County,-48%,-21%,Not enough data for this date,-45%,-31%,Not
McLean_County,-63%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Mercer_County,Not,+6%,Not enough data for this date,Not enough data for this date,-41%,Not
Morton_County,-45%,+6%,Not enough data for this date,-11%,-35%,+19%
Mountrail_County,-67%,-25%,Not enough data for this date,Not enough data for this date,-36%,Not
Pembina_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Ramsey_County,-42%,-16%,Not enough data for this date,Not enough data for this date,-41%,Not
Ransom_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-56%,Not
Richland_County,-38%,+2%,Not enough data for this date,Not enough data for this date,-29%,Not
Rolette_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-57%,Not
Sargent_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-56%,Not
Stark_County,-41%,+3%,Not enough data for this date,Not enough data for this date,-23%,+14%
Stutsman_County,-34%,-16%,Not enough data for this date,Not enough data for this date,-25%,Not
Traill_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-50%,Not
Walsh_County,-33%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Ward_County,-42%,+10%,Not enough data for this date,-57%,-30%,+21%
Williams_County,-37%,+4%,Not enough data for this date,-37%,-29%,+21%
