Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
South_Carolina,-41%,-2%,-24%,-45%,-34%,+11%
Abbeville_County,-30%,+7%,Not enough data for this date,Not enough data for this date,-25%,Not
Aiken_County,-32%,-1%,-19%,-27%,-33%,+11%
Allendale_County,Not,-12%,Not enough data for this date,Not enough data for this date,-43%,Not
Anderson_County,-45%,+8%,+8%,-37%,-33%,+11%
Bamberg_County,-32%,+4%,Not enough data for this date,Not enough data for this date,-30%,Not
Barnwell_County,-33%,+4%,Not enough data for this date,Not enough data for this date,-24%,Not
Beaufort_County,-43%,-10%,-40%,-57%,-38%,+12%
Berkeley_County,-35%,+1%,+7%,-40%,-34%,+12%
Calhoun_County,-16%,+13%,Not enough data for this date,-63%,-27%,Not
Charleston_County,-52%,-20%,-58%,-60%,-41%,+13%
Cherokee_County,-44%,+4%,-13%,-32%,-36%,+17%
Chester_County,-35%,+3%,Not enough data for this date,-45%,-28%,+13%
Chesterfield_County,-31%,+7%,Not enough data for this date,Not enough data for this date,-22%,+14%
Clarendon_County,-31%,-2%,Not enough data for this date,-45%,-27%,Not
Colleton_County,-35%,-4%,Not enough data for this date,-52%,-30%,+13%
Darlington_County,-27%,+0%,-28%,Not enough data for this date,-30%,+19%
Dillon_County,-29%,+0%,-64%,-33%,-30%,-2%
Dorchester_County,-33%,+1%,-30%,-47%,-37%,+12%
Edgefield_County,-54%,+7%,Not enough data for this date,Not enough data for this date,-23%,Not
Fairfield_County,-3%,+5%,Not enough data for this date,-47%,-27%,Not
Florence_County,-46%,+3%,+4%,-38%,-29%,+10%
Georgetown_County,-47%,-2%,-23%,Not enough data for this date,-30%,+15%
Greenville_County,-47%,+1%,-41%,-18%,-39%,+13%
Greenwood_County,-39%,-1%,Not enough data for this date,Not enough data for this date,-23%,+16%
Hampton_County,-47%,-7%,Not enough data for this date,-34%,-22%,Not
Horry_County,-53%,-13%,-45%,-75%,-41%,+12%
Jasper_County,-39%,-13%,-54%,-28%,-34%,+8%
Kershaw_County,-39%,+13%,Not enough data for this date,-53%,-24%,+19%
Lancaster_County,-34%,+0%,Not enough data for this date,Not enough data for this date,-31%,+20%
Laurens_County,-19%,+19%,Not enough data for this date,-32%,-31%,+9%
Lee_County,-70%,+8%,Not enough data for this date,-39%,-18%,Not
Lexington_County,-44%,-5%,+7%,-32%,-30%,+11%
Marion_County,-31%,+12%,Not enough data for this date,Not enough data for this date,-28%,+2%
Marlboro_County,-29%,-2%,Not enough data for this date,Not enough data for this date,-37%,Not
McCormick_County,-49%,+11%,Not enough data for this date,Not enough data for this date,-43%,Not
Newberry_County,-27%,+4%,Not enough data for this date,-47%,-29%,+17%
Oconee_County,-35%,+9%,-10%,Not enough data for this date,-29%,+16%
Orangeburg_County,-33%,+0%,Not enough data for this date,-49%,-28%,+10%
Pickens_County,-36%,+4%,-17%,Not enough data for this date,-28%,+10%
Richland_County,-42%,-8%,-37%,-31%,-34%,+13%
Saluda_County,-40%,+3%,Not enough data for this date,Not enough data for this date,-23%,Not
Spartanburg_County,-41%,-2%,+21%,-60%,-35%,+11%
Sumter_County,-36%,+1%,Not enough data for this date,-45%,-33%,+11%
Union_County,-30%,+1%,Not enough data for this date,Not enough data for this date,-35%,+4%
Williamsburg_County,-31%,+2%,Not enough data for this date,Not enough data for this date,-19%,Not
York_County,-38%,-5%,-12%,-40%,-37%,+13%
