Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
South_Dakota,-47%,+1%,-16%,-42%,-31%,+15%
Beadle_County,-36%,-12%,Not enough data for this date,Not enough data for this date,-24%,Not
Bon_Homme_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Brookings_County,-39%,-27%,Not enough data for this date,Not enough data for this date,-28%,+22%
Brown_County,-38%,-12%,Not enough data for this date,Not enough data for this date,-29%,+20%
Brule_County,-55%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Butte_County,-25%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Charles_Mix_County,-49%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Clay_County,-47%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-35%,Not
Codington_County,-31%,+5%,Not enough data for this date,-50%,-27%,+15%
Custer_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Davison_County,-40%,-4%,Not enough data for this date,Not enough data for this date,-25%,Not
Dewey_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Fall_River_County,-37%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-30%,Not
Grant_County,-32%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-23%,Not
Hamlin_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Hughes_County,-24%,-11%,Not enough data for this date,Not enough data for this date,-22%,Not
Hutchinson_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Kingsbury_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-24%,Not
Lake_County,-20%,-6%,Not enough data for this date,Not enough data for this date,-45%,Not
Lawrence_County,-69%,-14%,-26%,Not enough data for this date,-55%,+0%
Lincoln_County,-38%,+0%,Not enough data for this date,Not enough data for this date,-34%,+24%
McCook_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Meade_County,-38%,-7%,Not enough data for this date,Not enough data for this date,-35%,+12%
Minnehaha_County,-52%,-6%,+13%,-44%,-37%,+14%
Moody_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Pennington_County,-52%,-2%,-58%,-33%,-35%,+15%
Roberts_County,-45%,-20%,Not enough data for this date,-40%,-45%,Not
Shannon_County,-50%,-11%,Not enough data for this date,Not enough data for this date,-45%,Not
Spink_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Todd_County,Not,-14%,Not enough data for this date,Not enough data for this date,-46%,Not
Tripp_County,-71%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Turner_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Union_County,-48%,-9%,Not enough data for this date,-35%,-32%,Not
Walworth_County,-21%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-34%,Not
Yankton_County,-42%,+0%,Not enough data for this date,Not enough data for this date,-33%,+8%
