Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Texas,-45%,-14%,-54%,-49%,-38%,+16%
Anderson_County,-35%,-2%,Not enough data for this date,Not enough data for this date,-24%,+16%
Andrews_County,-45%,-40%,Not enough data for this date,-13%,-36%,Not
Angelina_County,-46%,-4%,-20%,-38%,-29%,+13%
Aransas_County,-45%,-31%,-57%,Not enough data for this date,-27%,+10%
Archer_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Atascosa_County,-22%,-4%,Not enough data for this date,-50%,-25%,+22%
Austin_County,-33%,-22%,Not enough data for this date,Not enough data for this date,-29%,+1%
Bailey_County,-24%,-8%,Not enough data for this date,Not enough data for this date,-35%,Not
Bandera_County,-45%,-5%,-71%,Not enough data for this date,-30%,Not
Bastrop_County,-37%,-21%,-66%,Not enough data for this date,-36%,+16%
Bee_County,-31%,-8%,Not enough data for this date,Not enough data for this date,-26%,-1%
Bell_County,-37%,-18%,-25%,-43%,-34%,+13%
Bexar_County,-45%,-10%,-73%,-43%,-41%,+16%
Blanco_County,-67%,-20%,-71%,Not enough data for this date,-35%,Not
Bosque_County,-37%,-7%,Not enough data for this date,Not enough data for this date,-16%,Not
Bowie_County,-47%,-12%,-29%,-39%,-30%,+13%
Brazoria_County,-36%,-8%,-23%,-28%,-32%,+15%
Brazos_County,-47%,-21%,-30%,-64%,-35%,+15%
Brewster_County,-52%,-43%,Not enough data for this date,Not enough data for this date,-50%,Not
Brooks_County,-55%,-9%,Not enough data for this date,-55%,-44%,Not
Brown_County,-37%,-6%,Not enough data for this date,Not enough data for this date,-23%,+16%
Burleson_County,-34%,-10%,Not enough data for this date,Not enough data for this date,-29%,Not
Burnet_County,-36%,-14%,-62%,Not enough data for this date,-32%,+17%
Caldwell_County,-36%,-31%,Not enough data for this date,-32%,-33%,+23%
Calhoun_County,-39%,-17%,-38%,Not enough data for this date,-20%,Not
Callahan_County,-30%,-15%,Not enough data for this date,-33%,-20%,Not
Cameron_County,-62%,-35%,-74%,-71%,-42%,+22%
Camp_County,-32%,-9%,Not enough data for this date,Not enough data for this date,-35%,Not
Carson_County,Not,-24%,Not enough data for this date,-23%,-52%,Not
Cass_County,-36%,-3%,Not enough data for this date,-28%,-26%,+6%
Castro_County,Not,-20%,Not enough data for this date,Not enough data for this date,-31%,Not
Chambers_County,-43%,-2%,-55%,-56%,-35%,+20%
Cherokee_County,-21%,+1%,Not enough data for this date,Not enough data for this date,-29%,+17%
Childress_County,-36%,-20%,Not enough data for this date,-26%,-41%,Not
Clay_County,-51%,Not enough data for this date,Not enough data for this date,-35%,-38%,Not
Coke_County,Not,-30%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Coleman_County,-48%,-19%,Not enough data for this date,Not enough data for this date,-35%,Not
Collin_County,-52%,-27%,-44%,-40%,-44%,+19%
Colorado_County,-44%,-11%,Not enough data for this date,-49%,-15%,Not
Comal_County,-49%,-22%,-70%,-33%,-38%,+16%
Comanche_County,-28%,-29%,Not enough data for this date,Not enough data for this date,-40%,Not
Cooke_County,-42%,+0%,-38%,-47%,-31%,+15%
Coryell_County,-32%,+0%,-14%,Not enough data for this date,-32%,+13%
Crane_County,-63%,-20%,Not enough data for this date,Not enough data for this date,-53%,Not
Crockett_County,-50%,-24%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Crosby_County,Not,-24%,Not enough data for this date,Not enough data for this date,-52%,Not
Culberson_County,-54%,Not enough data for this date,Not enough data for this date,-43%,Not enough data for this date,Not
Dallam_County,-38%,-21%,Not enough data for this date,Not enough data for this date,-28%,Not
Dallas_County,-47%,-14%,-56%,-48%,-42%,+18%
Dawson_County,-35%,-9%,Not enough data for this date,Not enough data for this date,-36%,Not
DeWitt_County,-38%,-27%,Not enough data for this date,Not enough data for this date,-25%,Not
Deaf_Smith_County,-26%,-14%,Not enough data for this date,-41%,-39%,Not
Delta_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Denton_County,-48%,-22%,-40%,-45%,-43%,+19%
Dimmit_County,-31%,-24%,Not enough data for this date,-38%,-49%,Not
Donley_County,Not,Not enough data for this date,Not enough data for this date,-4%,Not enough data for this date,Not
Duval_County,-46%,-30%,Not enough data for this date,Not enough data for this date,-53%,Not
Eastland_County,-42%,-12%,Not enough data for this date,-38%,-14%,Not
Ector_County,-44%,-9%,Not enough data for this date,-23%,-33%,+16%
El_Paso_County,-51%,-14%,-78%,-45%,-42%,+19%
Ellis_County,-39%,-3%,-42%,-43%,-36%,+17%
Erath_County,-43%,-34%,Not enough data for this date,Not enough data for this date,-24%,+10%
Falls_County,-16%,-10%,Not enough data for this date,Not enough data for this date,-20%,Not
Fannin_County,-23%,-2%,Not enough data for this date,Not enough data for this date,-23%,+11%
Fayette_County,-52%,-24%,Not enough data for this date,-45%,-29%,Not
Floyd_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Fort_Bend_County,-46%,-13%,-27%,-34%,-40%,+18%
Franklin_County,-43%,-2%,Not enough data for this date,-40%,-41%,Not
Freestone_County,-54%,-13%,Not enough data for this date,-51%,-22%,Not
Frio_County,-25%,-30%,Not enough data for this date,-52%,-22%,Not
Gaines_County,-33%,-8%,Not enough data for this date,Not enough data for this date,-17%,Not
Galveston_County,-43%,-2%,-53%,-54%,-37%,+15%
Garza_County,-40%,-28%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Gillespie_County,-63%,-32%,-78%,Not enough data for this date,-37%,Not
Goliad_County,-54%,-54%,Not enough data for this date,Not enough data for this date,-43%,Not
Gonzales_County,-32%,-24%,-50%,Not enough data for this date,-23%,Not
Gray_County,-47%,-27%,Not enough data for this date,Not enough data for this date,-32%,Not
Grayson_County,-43%,-11%,-35%,Not enough data for this date,-33%,+15%
Gregg_County,-46%,-11%,-30%,Not enough data for this date,-32%,+14%
Grimes_County,-28%,-5%,Not enough data for this date,Not enough data for this date,-29%,+0%
Guadalupe_County,-40%,-12%,-42%,-47%,-38%,+16%
Hale_County,-23%,+12%,Not enough data for this date,Not enough data for this date,-25%,+11%
Hall_County,Not,Not enough data for this date,Not enough data for this date,-20%,Not enough data for this date,Not
Hamilton_County,-54%,-35%,Not enough data for this date,Not enough data for this date,-37%,Not
Hardeman_County,Not,-24%,Not enough data for this date,-21%,Not enough data for this date,Not
Hardin_County,-30%,+5%,Not enough data for this date,Not enough data for this date,-31%,+23%
Harris_County,-44%,-13%,-62%,-56%,-40%,+17%
Harrison_County,-35%,+8%,-46%,Not enough data for this date,-38%,+20%
Hartley_County,Not,+6%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Haskell_County,-44%,-34%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Hays_County,-48%,-15%,-44%,-31%,-37%,+17%
Henderson_County,-33%,+7%,-29%,Not enough data for this date,-28%,+13%
Hidalgo_County,-57%,-30%,-73%,-61%,-40%,+21%
Hill_County,-38%,-8%,-42%,-46%,-27%,+14%
Hockley_County,-33%,-22%,Not enough data for this date,Not enough data for this date,-21%,-3%
Hood_County,-40%,+32%,-60%,Not enough data for this date,-29%,+17%
Hopkins_County,-36%,+0%,Not enough data for this date,-41%,-21%,+12%
Houston_County,-30%,+4%,Not enough data for this date,Not enough data for this date,-19%,Not
Howard_County,-34%,-17%,Not enough data for this date,-44%,-35%,+15%
Hunt_County,-36%,-12%,-36%,-35%,-31%,+14%
Hutchinson_County,-31%,-17%,Not enough data for this date,Not enough data for this date,-19%,Not
Jack_County,-67%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Jackson_County,-35%,-16%,Not enough data for this date,-51%,-23%,Not
Jasper_County,-24%,+0%,+15%,Not enough data for this date,-21%,+6%
Jefferson_County,-45%,-5%,-20%,-39%,-33%,+15%
