Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Vermont,-54%,-23%,-4%,-64%,-44%,+15%
Addison_County,-46%,-32%,Not enough data for this date,Not enough data for this date,-32%,+6%
Bennington_County,-55%,-24%,-35%,Not enough data for this date,-46%,+8%
Caledonia_County,-57%,-29%,Not enough data for this date,Not enough data for this date,-32%,+2%
Chittenden_County,-57%,-39%,+1%,-63%,-48%,+17%
Essex_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Franklin_County,-44%,-25%,Not enough data for this date,Not enough data for this date,-36%,+21%
Grand_Isle_County,Not,Not enough data for this date,Not enough data for this date,-63%,-57%,Not
Lamoille_County,-76%,-35%,Not enough data for this date,-40%,-63%,Not
Orange_County,-70%,-14%,Not enough data for this date,-68%,-28%,+1%
Orleans_County,-58%,-15%,-46%,Not enough data for this date,-37%,+0%
Rutland_County,-50%,-10%,Not enough data for this date,-76%,-47%,+23%
Washington_County,-56%,-21%,Not enough data for this date,-47%,-43%,+23%
Windham_County,-65%,-27%,-36%,Not enough data for this date,-50%,+15%
Windsor_County,-55%,-40%,-24%,-57%,-43%,+24%
