Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
West_Virginia,-38%,-5%,+12%,-39%,-31%,+10%
Barbour_County,-49%,-1%,Not enough data for this date,Not enough data for this date,-20%,Not
Berkeley_County,-34%,-6%,-18%,-63%,-32%,+11%
Boone_County,-40%,+8%,Not enough data for this date,Not enough data for this date,-28%,Not
Braxton_County,-41%,Not enough data for this date,Not enough data for this date,-45%,-47%,Not
Brooke_County,-35%,-4%,Not enough data for this date,Not enough data for this date,-32%,Not
Cabell_County,-50%,-7%,Not enough data for this date,-45%,-37%,+10%
Fayette_County,-32%,+3%,Not enough data for this date,Not enough data for this date,-30%,+7%
Grant_County,-46%,+4%,Not enough data for this date,Not enough data for this date,-43%,Not
Greenbrier_County,-47%,-14%,Not enough data for this date,Not enough data for this date,-40%,+0%
Hampshire_County,-38%,+0%,Not enough data for this date,Not enough data for this date,-28%,Not
Hancock_County,-39%,-27%,Not enough data for this date,Not enough data for this date,-40%,+10%
Hardy_County,-53%,-14%,Not enough data for this date,Not enough data for this date,-38%,Not
Harrison_County,-45%,-6%,-43%,-62%,-30%,+20%
Jackson_County,-29%,-18%,Not enough data for this date,-40%,-21%,Not
Jefferson_County,-33%,-30%,-6%,Not enough data for this date,-42%,+23%
Kanawha_County,-43%,-2%,-38%,-43%,-33%,+11%
Lewis_County,-39%,-18%,Not enough data for this date,-55%,-36%,Not
Lincoln_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Logan_County,-34%,+2%,Not enough data for this date,Not enough data for this date,-27%,Not
Marion_County,-37%,+4%,Not enough data for this date,Not enough data for this date,-27%,+21%
Marshall_County,-35%,-20%,Not enough data for this date,Not enough data for this date,-30%,+1%
Mason_County,-39%,+11%,Not enough data for this date,Not enough data for this date,-24%,Not
McDowell_County,Not,+13%,Not enough data for this date,Not enough data for this date,-33%,Not
Mercer_County,-36%,+3%,-42%,-45%,-26%,+19%
Mineral_County,-40%,-4%,Not enough data for this date,Not enough data for this date,-19%,-2%
Mingo_County,-63%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Monongalia_County,-52%,-19%,-14%,-47%,-39%,+26%
Monroe_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-47%,Not
Morgan_County,-32%,-7%,Not enough data for this date,Not enough data for this date,-33%,Not
Nicholas_County,-37%,+7%,Not enough data for this date,Not enough data for this date,-32%,Not
Ohio_County,-54%,+14%,-36%,-23%,-37%,+15%
Pleasants_County,-50%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-57%,Not
Pocahontas_County,-74%,Not enough data for this date,-33%,Not enough data for this date,-61%,Not
Preston_County,-38%,-16%,Not enough data for this date,Not enough data for this date,-25%,Not
Putnam_County,-35%,-6%,Not enough data for this date,-25%,-35%,+18%
Raleigh_County,-39%,-12%,Not enough data for this date,-40%,-28%,+18%
Randolph_County,-33%,-1%,Not enough data for this date,Not enough data for this date,-16%,Not
Ritchie_County,-26%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-52%,Not
Roane_County,-8%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Summers_County,+14%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-46%,Not
Taylor_County,-18%,+2%,Not enough data for this date,Not enough data for this date,-19%,Not
Tucker_County,Not,-14%,Not enough data for this date,Not enough data for this date,-37%,Not
Tyler_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-40%,Not
Upshur_County,-26%,-19%,Not enough data for this date,Not enough data for this date,-23%,Not
Wayne_County,-3%,-6%,Not enough data for this date,Not enough data for this date,-30%,+0%
Webster_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Wetzel_County,-42%,-8%,Not enough data for this date,Not enough data for this date,-22%,Not
Wirt_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-53%,Not
Wood_County,-45%,-6%,-6%,Not enough data for this date,-26%,+10%
Wyoming_County,-66%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
