Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Wisconsin,-47%,-2%,+67%,-34%,-33%,+13%
Adams_County,-43%,+1%,Not enough data for this date,Not enough data for this date,-37%,Not
Ashland_County,-38%,-15%,Not enough data for this date,Not enough data for this date,-24%,Not
Barron_County,-42%,-5%,Not enough data for this date,Not enough data for this date,-29%,+19%
Bayfield_County,-70%,-28%,Not enough data for this date,Not enough data for this date,-48%,Not
Brown_County,-50%,-1%,+106%,-71%,-36%,+13%
Buffalo_County,-48%,-12%,Not enough data for this date,Not enough data for this date,-33%,Not
Burnett_County,-35%,+0%,Not enough data for this date,Not enough data for this date,-37%,Not
Calumet_County,-64%,+1%,+193%,Not enough data for this date,-36%,+27%
Chippewa_County,-41%,+9%,Not enough data for this date,Not enough data for this date,-26%,+21%
Clark_County,-56%,-7%,Not enough data for this date,Not enough data for this date,-18%,+17%
Columbia_County,-49%,+1%,Not enough data for this date,-31%,-31%,+22%
Crawford_County,-33%,+3%,Not enough data for this date,Not enough data for this date,-21%,Not
Dane_County,-63%,-12%,+42%,-56%,-39%,+15%
Dodge_County,-31%,+1%,-9%,Not enough data for this date,-28%,+11%
Door_County,-48%,-19%,Not enough data for this date,Not enough data for this date,-29%,-2%
Douglas_County,-41%,-8%,Not enough data for this date,Not enough data for this date,-32%,+22%
Dunn_County,-38%,-6%,Not enough data for this date,-23%,-22%,+20%
Eau_Claire_County,-58%,-10%,+18%,-9%,-29%,+12%
Florence_County,-73%,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not enough data for this date,Not
Fond_du_Lac_County,-44%,-9%,+72%,-19%,-27%,+11%
Forest_County,-65%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Grant_County,-39%,+12%,Not enough data for this date,Not enough data for this date,-25%,+20%
Green_County,-45%,+15%,Not enough data for this date,Not enough data for this date,-28%,+23%
Green_Lake_County,-23%,-5%,Not enough data for this date,Not enough data for this date,-22%,Not
Iowa_County,-39%,+3%,Not enough data for this date,Not enough data for this date,-31%,+2%
Iron_County,-70%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Jackson_County,-64%,+85%,Not enough data for this date,-23%,-29%,Not
Jefferson_County,-42%,+13%,-11%,-46%,-29%,+11%
Juneau_County,-53%,-1%,Not enough data for this date,-18%,-30%,+13%
Kenosha_County,-49%,-6%,+41%,-41%,-32%,+12%
Kewaunee_County,-51%,-9%,Not enough data for this date,Not enough data for this date,-29%,Not
La_Crosse_County,-53%,-10%,+72%,-8%,-36%,+14%
Lafayette_County,-62%,+10%,Not enough data for this date,Not enough data for this date,-25%,Not
Langlade_County,-35%,-13%,Not enough data for this date,Not enough data for this date,-26%,Not
Lincoln_County,-56%,+18%,Not enough data for this date,Not enough data for this date,-28%,+13%
Manitowoc_County,-42%,+3%,+81%,Not enough data for this date,-28%,+12%
Marathon_County,-51%,-10%,+11%,Not enough data for this date,-32%,+11%
Marinette_County,-43%,-13%,-15%,Not enough data for this date,-27%,+14%
Marquette_County,-46%,+5%,Not enough data for this date,Not enough data for this date,-25%,Not
Milwaukee_County,-47%,-1%,+49%,-41%,-36%,+13%
Monroe_County,-37%,-11%,Not enough data for this date,-22%,-29%,+19%
Oconto_County,-43%,+1%,-58%,Not enough data for this date,-20%,+16%
Oneida_County,-51%,-22%,-22%,Not enough data for this date,-27%,+18%
Outagamie_County,-58%,-7%,+80%,-43%,-35%,+13%
Ozaukee_County,-50%,-10%,+131%,Not enough data for this date,-37%,+28%
Pepin_County,-36%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-33%,Not
Pierce_County,-50%,+0%,Not enough data for this date,Not enough data for this date,-33%,+24%
Polk_County,-33%,+10%,+86%,Not enough data for this date,-32%,+22%
Portage_County,-48%,-5%,+29%,Not enough data for this date,-38%,+24%
Price_County,-36%,-19%,Not enough data for this date,Not enough data for this date,-41%,Not
Racine_County,-38%,+0%,+68%,-13%,-33%,+12%
Richland_County,-35%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-23%,Not
Rock_County,-41%,+6%,+84%,-24%,-33%,+11%
Rusk_County,-43%,-17%,Not enough data for this date,Not enough data for this date,-42%,Not
Sauk_County,-58%,-1%,+1%,-36%,-45%,+23%
Sawyer_County,-42%,-20%,Not enough data for this date,Not enough data for this date,-47%,Not
Shawano_County,-44%,-2%,Not enough data for this date,Not enough data for this date,-33%,+19%
Sheboygan_County,-42%,+8%,+85%,-4%,-31%,+14%
St._Croix_County,-43%,-5%,-38%,-35%,-32%,+26%
Taylor_County,-35%,+10%,Not enough data for this date,Not enough data for this date,-16%,Not
Trempealeau_County,-54%,-3%,Not enough data for this date,Not enough data for this date,-24%,+16%
Vernon_County,-50%,-14%,Not enough data for this date,Not enough data for this date,-19%,+4%
Vilas_County,-78%,-26%,-46%,Not enough data for this date,-39%,Not
Walworth_County,-35%,+12%,+54%,Not enough data for this date,-34%,+12%
Washburn_County,-28%,-40%,Not enough data for this date,Not enough data for this date,-28%,Not
Washington_County,-34%,+2%,+92%,-33%,-32%,+13%
Waukesha_County,-48%,+4%,+89%,-5%,-35%,+14%
Waupaca_County,-31%,+13%,-25%,Not enough data for this date,-24%,+21%
Waushara_County,-41%,+7%,Not enough data for this date,Not enough data for this date,-25%,+4%
Winnebago_County,-45%,-1%,+141%,-20%,-30%,+12%
Wood_County,-33%,-1%,Not enough data for this date,Not enough data for this date,-25%,+11%
