Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Wyoming,-41%,-2%,-25%,-15%,-30%,+12%
Albany_County,-40%,-20%,-4%,+8%,-32%,+16%
Big_Horn_County,-37%,-7%,Not enough data for this date,Not enough data for this date,-34%,Not
Campbell_County,-40%,+8%,Not enough data for this date,-18%,-28%,+16%
Carbon_County,-36%,-23%,Not enough data for this date,-4%,-27%,Not
Converse_County,-42%,-9%,Not enough data for this date,-35%,-27%,Not
Crook_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-29%,Not
Fremont_County,-32%,-8%,Not enough data for this date,Not enough data for this date,-31%,+13%
Goshen_County,-26%,-13%,Not enough data for this date,Not enough data for this date,-24%,Not
Hot_Springs_County,-64%,-20%,-62%,Not enough data for this date,Not enough data for this date,Not
Johnson_County,-35%,-2%,Not enough data for this date,Not enough data for this date,-37%,Not
Laramie_County,-38%,-2%,+23%,-16%,-31%,+12%
Lincoln_County,-51%,-16%,Not enough data for this date,Not enough data for this date,-27%,Not
Natrona_County,-40%,+2%,+22%,-42%,-33%,+12%
Park_County,-50%,+12%,Not enough data for this date,Not enough data for this date,-25%,+5%
Platte_County,-21%,-11%,Not enough data for this date,-38%,-31%,Not
Sheridan_County,-51%,+5%,Not enough data for this date,Not enough data for this date,-34%,+12%
Sublette_County,-70%,-33%,Not enough data for this date,Not enough data for this date,-40%,Not
Sweetwater_County,-35%,+13%,Not enough data for this date,+15%,-27%,+15%
Teton_County,-85%,-53%,-63%,-83%,-66%,Not
Uinta_County,-31%,-11%,Not enough data for this date,+2%,-22%,Not
Washakie_County,-28%,-23%,Not enough data for this date,Not enough data for this date,-40%,Not
Weston_County,-57%,-19%,Not enough data for this date,Not enough data for this date,-43%,Not
