Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Alabama,-39%,+3%,+11%,-35%,-29%,+10%
Autauga_County,-37%,+16%,-14%,Not enough data for this date,-30%,+20%
Baldwin_County,-44%,-10%,-42%,-39%,-28%,+11%
Barbour_County,-18%,-20%,Not enough data for this date,Not enough data for this date,-31%,Not
Bibb_County,-42%,-15%,Not enough data for this date,Not enough data for this date,-19%,Not
Blount_County,-20%,+18%,Not enough data for this date,Not enough data for this date,-24%,+20%
Bullock_County,-22%,-27%,Not enough data for this date,Not enough data for this date,-33%,Not
Butler_County,-47%,-9%,Not enough data for this date,-57%,-33%,Not
Calhoun_County,-40%,+1%,-22%,Not enough data for this date,-29%,+9%
Chambers_County,-35%,-3%,Not enough data for this date,-40%,-32%,+15%
Cherokee_County,-41%,-5%,Not enough data for this date,Not enough data for this date,-18%,Not
Chilton_County,-28%,+11%,Not enough data for this date,-30%,-25%,+17%
Choctaw_County,-13%,-19%,Not enough data for this date,Not enough data for this date,-43%,Not
Clarke_County,-22%,-29%,Not enough data for this date,Not enough data for this date,-9%,Not
Clay_County,-43%,-20%,Not enough data for this date,Not enough data for this date,-41%,Not
Cleburne_County,-35%,-13%,Not enough data for this date,-42%,-14%,Not
Coffee_County,-25%,-2%,Not enough data for this date,Not enough data for this date,-27%,+18%
Colbert_County,-27%,+11%,-37%,-23%,-21%,+16%
Conecuh_County,-65%,-10%,Not enough data for this date,-41%,-36%,Not
Coosa_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Covington_County,-30%,+6%,Not enough data for this date,Not enough data for this date,-20%,+8%
Crenshaw_County,-58%,-10%,Not enough data for this date,Not enough data for this date,-33%,Not
Cullman_County,-39%,+13%,+38%,-33%,-28%,+9%
Dale_County,-32%,+0%,Not enough data for this date,-39%,-23%,+16%
Dallas_County,-30%,+7%,Not enough data for this date,Not enough data for this date,-22%,+5%
DeKalb_County,-43%,+2%,-4%,-33%,-16%,+17%
Elmore_County,-35%,+6%,+49%,Not enough data for this date,-33%,+21%
Escambia_County,-32%,-7%,Not enough data for this date,Not enough data for this date,-28%,+7%
Etowah_County,-42%,+1%,-23%,-37%,-30%,+8%
Fayette_County,-39%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-32%,Not
Franklin_County,-19%,-15%,Not enough data for this date,Not enough data for this date,-21%,+5%
Geneva_County,-42%,+14%,Not enough data for this date,Not enough data for this date,-27%,-2%
Greene_County,+11%,-29%,Not enough data for this date,-47%,-44%,Not
Hale_County,-41%,-36%,Not enough data for this date,Not enough data for this date,-29%,Not
Henry_County,-49%,-19%,Not enough data for this date,Not enough data for this date,-21%,Not
Houston_County,-45%,-5%,+14%,-35%,-29%,+10%
Jackson_County,-40%,+14%,Not enough data for this date,Not enough data for this date,-21%,+18%
Jefferson_County,-45%,+3%,+20%,-35%,-32%,+11%
Lamar_County,-32%,+0%,Not enough data for this date,Not enough data for this date,-39%,Not
Lauderdale_County,-44%,+6%,-15%,Not enough data for this date,-29%,+8%
Lawrence_County,-41%,-16%,Not enough data for this date,Not enough data for this date,-22%,+7%
Lee_County,-49%,-9%,-14%,Not enough data for this date,-32%,+12%
Limestone_County,-30%,+5%,-1%,Not enough data for this date,-24%,+10%
Lowndes_County,Not,Not enough data for this date,Not enough data for this date,-42%,-54%,Not
Macon_County,-46%,-5%,Not enough data for this date,-54%,-39%,Not
Madison_County,-46%,-5%,+55%,-37%,-36%,+11%
Marengo_County,-26%,+5%,Not enough data for this date,Not enough data for this date,-9%,Not
Marion_County,-43%,-13%,Not enough data for this date,Not enough data for this date,-32%,Not
Marshall_County,-34%,+7%,+94%,Not enough data for this date,-28%,+8%
Mobile_County,-35%,+6%,-33%,-36%,-28%,+12%
Monroe_County,-52%,+36%,Not enough data for this date,Not enough data for this date,-24%,Not
Montgomery_County,-43%,-2%,+0%,+4%,-29%,+11%
Morgan_County,-37%,+11%,+49%,-34%,-31%,+9%
Perry_County,-58%,-16%,Not enough data for this date,Not enough data for this date,-44%,Not
Pickens_County,-36%,+9%,Not enough data for this date,Not enough data for this date,-36%,Not
Pike_County,-31%,-20%,Not enough data for this date,Not enough data for this date,-34%,+0%
Randolph_County,-45%,-7%,Not enough data for this date,Not enough data for this date,-26%,Not
Russell_County,-30%,+48%,Not enough data for this date,Not enough data for this date,-27%,+18%
Shelby_County,-41%,-4%,+56%,Not enough data for this date,-32%,+12%
St._Clair_County,-30%,+8%,Not enough data for this date,-34%,-26%,+9%
Sumter_County,-61%,-11%,Not enough data for this date,Not enough data for this date,-45%,Not
Talladega_County,-25%,+11%,+16%,-30%,-26%,+9%
Tallapoosa_County,-33%,+6%,Not enough data for this date,Not enough data for this date,-31%,+18%
Tuscaloosa_County,-42%,+5%,-10%,-34%,-35%,+12%
Walker_County,-31%,+7%,Not enough data for this date,-39%,-15%,+14%
Washington_County,Not,-16%,Not enough data for this date,Not enough data for this date,-36%,Not
Wilcox_County,-61%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Winston_County,-42%,-12%,Not enough data for this date,Not enough data for this date,-23%,Not
