Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Arizona,-43%,-14%,-42%,-45%,-36%,+14%
Apache_County,-80%,-54%,-59%,-35%,-34%,+16%
Cochise_County,-41%,-18%,-44%,-35%,-34%,+11%
Coconino_County,-65%,-32%,-46%,-42%,-42%,+18%
Gila_County,-26%,+16%,+41%,Not enough data for this date,-27%,+12%
Graham_County,-29%,+12%,Not enough data for this date,Not enough data for this date,-19%,+11%
Greenlee_County,-65%,-13%,Not enough data for this date,Not enough data for this date,-37%,Not
La_Paz_County,-62%,-39%,-67%,-51%,-21%,Not
Maricopa_County,-42%,-13%,-41%,-46%,-37%,+14%
Mohave_County,-37%,-5%,-27%,-26%,-36%,+10%
Navajo_County,-39%,-23%,+5%,-24%,-30%,+14%
Pima_County,-47%,-14%,-52%,-48%,-39%,+14%
Pinal_County,-33%,-16%,-45%,-45%,-31%,+12%
Santa_Cruz_County,-58%,-43%,-62%,-27%,-36%,+22%
Yavapai_County,-43%,-6%,-32%,-38%,-37%,+11%
Yuma_County,-51%,-23%,-53%,-60%,-34%,+16%
