Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Florida,-49%,-20%,-54%,-65%,-40%,+15%
Alachua_County,-51%,-19%,-39%,-49%,-32%,+14%
Baker_County,-27%,-6%,Not enough data for this date,-60%,-20%,-3%
Bay_County,-43%,-13%,-18%,-54%,-29%,+11%
Bradford_County,-27%,+21%,Not enough data for this date,Not enough data for this date,-26%,+0%
Brevard_County,-44%,-17%,-32%,-46%,-38%,+13%
Broward_County,-52%,-23%,-69%,-75%,-43%,+20%
Calhoun_County,-49%,-14%,Not enough data for this date,Not enough data for this date,-41%,Not
Charlotte_County,-50%,-21%,-49%,-43%,-39%,+13%
Citrus_County,-41%,+3%,-43%,Not enough data for this date,-33%,+11%
Clay_County,-33%,-1%,-22%,Not enough data for this date,-33%,+12%
Collier_County,-55%,-25%,-70%,-55%,-44%,+17%
Columbia_County,-44%,+12%,-42%,-46%,-23%,+10%
DeSoto_County,-42%,-5%,-37%,Not enough data for this date,-16%,+11%
Dixie_County,-34%,-6%,Not enough data for this date,Not enough data for this date,-23%,Not
Duval_County,-40%,-8%,-45%,-41%,-35%,+13%
Escambia_County,-41%,-5%,-11%,-44%,-31%,+11%
Flagler_County,-43%,+1%,-55%,Not enough data for this date,-39%,+13%
Franklin_County,-83%,-23%,-45%,Not enough data for this date,-31%,Not
Gadsden_County,-27%,+5%,Not enough data for this date,-44%,-22%,+20%
Gilchrist_County,-40%,-12%,-44%,Not enough data for this date,-28%,Not
Glades_County,-62%,Not enough data for this date,-65%,-29%,-23%,Not
Gulf_County,-77%,-17%,Not enough data for this date,Not enough data for this date,-24%,Not
Hamilton_County,-33%,-3%,Not enough data for this date,-48%,-39%,Not
Hardee_County,-38%,-17%,-34%,Not enough data for this date,-15%,Not
Hendry_County,-34%,-4%,-52%,Not enough data for this date,-25%,+13%
Hernando_County,-37%,-10%,-41%,-26%,-33%,+12%
Highlands_County,-45%,-15%,-57%,Not enough data for this date,-27%,+11%
Hillsborough_County,-49%,-19%,-57%,-71%,-41%,+16%
Holmes_County,-43%,-19%,Not enough data for this date,Not enough data for this date,-20%,Not
Indian_River_County,-48%,-24%,-48%,-54%,-37%,+14%
Jackson_County,-31%,-4%,-24%,-41%,-22%,+14%
Jefferson_County,-55%,-13%,Not enough data for this date,Not enough data for this date,-31%,Not
Lafayette_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Lake_County,-39%,-16%,-35%,-53%,-37%,+14%
Lee_County,-54%,-25%,-69%,-76%,-41%,+15%
Leon_County,-45%,-15%,-23%,-49%,-34%,+14%
Levy_County,-33%,-4%,-36%,Not enough data for this date,-24%,+15%
Liberty_County,Not,-14%,Not enough data for this date,Not enough data for this date,-43%,Not
Madison_County,-58%,-14%,Not enough data for this date,-42%,-15%,Not
Manatee_County,-48%,-18%,-44%,-57%,-38%,+14%
Marion_County,-41%,-11%,-49%,-39%,-33%,+11%
Martin_County,-52%,-17%,-44%,-66%,-37%,+15%
Miami-Dade_County,-58%,-33%,-81%,-71%,-48%,+22%
Monroe_County,-74%,-46%,-77%,-77%,-53%,+17%
Nassau_County,-40%,-6%,-42%,-68%,-33%,+11%
Okaloosa_County,-41%,-9%,-28%,-50%,-33%,+12%
Okeechobee_County,-41%,-7%,-29%,-85%,-26%,+17%
Orange_County,-63%,-30%,-53%,-80%,-50%,+18%
Osceola_County,-58%,-29%,-47%,-61%,-51%,+19%
Palm_Beach_County,-49%,-21%,-70%,-60%,-41%,+18%
Pasco_County,-40%,-15%,-47%,-32%,-34%,+13%
Pinellas_County,-49%,-18%,-35%,-42%,-39%,+15%
Polk_County,-40%,-15%,-43%,-36%,-37%,+14%
Putnam_County,-29%,+4%,-37%,Not enough data for this date,-33%,+10%
Santa_Rosa_County,-23%,-2%,+0%,Not enough data for this date,-28%,+12%
Sarasota_County,-55%,-28%,-66%,-31%,-42%,+14%
Seminole_County,-47%,-17%,-33%,-75%,-43%,+16%
St._Johns_County,-49%,-2%,-63%,-46%,-42%,+14%
St._Lucie_County,-40%,-9%,-24%,-53%,-34%,+14%
Sumter_County,-54%,-16%,-41%,-46%,-36%,+11%
Suwannee_County,-34%,+0%,-23%,-45%,-22%,+15%
Taylor_County,-38%,+2%,Not enough data for this date,Not enough data for this date,-22%,Not
Union_County,-42%,-11%,Not enough data for this date,Not enough data for this date,-42%,Not
Volusia_County,-44%,-13%,-32%,-42%,-38%,+12%
Wakulla_County,-22%,-17%,-10%,Not enough data for this date,-24%,+17%
Walton_County,-50%,-23%,-49%,-34%,-31%,+10%
Washington_County,-31%,+8%,Not enough data for this date,Not enough data for this date,-28%,Not
