Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Idaho,-40%,+0%,+12%,-35%,-34%,+11%
Ada_County,-45%,-6%,+24%,-54%,-40%,+13%
Bannock_County,-44%,-2%,-40%,-44%,-32%,+11%
Bear_Lake_County,-28%,-17%,Not enough data for this date,Not enough data for this date,-41%,Not
Benewah_County,-16%,-6%,Not enough data for this date,Not enough data for this date,-43%,Not
Bingham_County,-31%,+2%,Not enough data for this date,Not enough data for this date,-24%,+13%
Blaine_County,-84%,-50%,Not enough data for this date,-57%,-64%,Not
Boise_County,-57%,Not enough data for this date,-12%,Not enough data for this date,-50%,Not
Bonner_County,-32%,-32%,-22%,Not enough data for this date,-33%,+12%
Bonneville_County,-41%,-2%,+16%,-28%,-28%,+11%
Boundary_County,-29%,-4%,Not enough data for this date,Not enough data for this date,-25%,Not
Canyon_County,-36%,+4%,+24%,-21%,-32%,+10%
Caribou_County,-53%,-6%,Not enough data for this date,Not enough data for this date,-29%,Not
Cassia_County,-7%,+2%,Not enough data for this date,Not enough data for this date,-28%,+0%
Clearwater_County,-54%,-14%,Not enough data for this date,Not enough data for this date,-21%,Not
Elmore_County,-28%,+1%,Not enough data for this date,-32%,-24%,+14%
Franklin_County,-3%,-10%,Not enough data for this date,Not enough data for this date,-20%,Not
Fremont_County,-64%,+2%,-38%,Not enough data for this date,-22%,Not
Gem_County,-9%,+1%,Not enough data for this date,Not enough data for this date,-24%,Not
Gooding_County,-42%,-4%,Not enough data for this date,Not enough data for this date,-11%,Not
Idaho_County,-74%,-15%,Not enough data for this date,Not enough data for this date,-30%,Not
Jefferson_County,-39%,-12%,-62%,Not enough data for this date,-26%,+9%
Jerome_County,-5%,-44%,Not enough data for this date,-13%,-19%,+6%
Kootenai_County,-37%,+4%,+82%,-13%,-36%,+10%
Latah_County,-49%,-22%,Not enough data for this date,Not enough data for this date,-42%,+19%
Lemhi_County,-23%,-27%,Not enough data for this date,Not enough data for this date,-28%,Not
Lincoln_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-39%,Not
Madison_County,-44%,-28%,Not enough data for this date,Not enough data for this date,-45%,+15%
Minidoka_County,-40%,+27%,Not enough data for this date,-12%,-24%,+1%
Nez_Perce_County,-36%,+17%,-24%,-55%,-27%,+15%
Oneida_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-42%,Not
Owyhee_County,-30%,+12%,Not enough data for this date,Not enough data for this date,-25%,Not
Payette_County,-42%,-5%,Not enough data for this date,Not enough data for this date,-29%,+5%
Power_County,-26%,-9%,Not enough data for this date,Not enough data for this date,-32%,Not
Shoshone_County,-28%,-4%,Not enough data for this date,Not enough data for this date,-29%,Not
Teton_County,-69%,-19%,Not enough data for this date,Not enough data for this date,-56%,Not
Twin_Falls_County,-45%,+2%,-16%,Not enough data for this date,-31%,+12%
Valley_County,-84%,-54%,-64%,Not enough data for this date,-58%,Not
Washington_County,-17%,+2%,Not enough data for this date,Not enough data for this date,-37%,Not
