Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Indiana,-40%,-2%,+70%,-29%,-36%,+12%
Adams_County,-35%,-29%,Not enough data for this date,Not enough data for this date,-27%,+8%
Allen_County,-48%,-12%,+76%,-38%,-39%,+13%
Bartholomew_County,-49%,-10%,+23%,-17%,-49%,+28%
Benton_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-52%,Not
Blackford_County,-53%,-7%,Not enough data for this date,Not enough data for this date,-17%,Not
Boone_County,-39%,-6%,Not enough data for this date,-26%,-35%,+27%
Brown_County,-70%,-20%,Not enough data for this date,Not enough data for this date,-39%,Not
Carroll_County,-7%,+5%,Not enough data for this date,Not enough data for this date,-30%,Not
Cass_County,-26%,-3%,Not enough data for this date,Not enough data for this date,-20%,+19%
Clark_County,-48%,+4%,+101%,-36%,-36%,+12%
Clay_County,-30%,-29%,Not enough data for this date,-29%,-39%,-1%
Clinton_County,-31%,-9%,Not enough data for this date,Not enough data for this date,-34%,+17%
Crawford_County,-47%,-16%,Not enough data for this date,-42%,-54%,Not
Daviess_County,-38%,+5%,Not enough data for this date,Not enough data for this date,-28%,+8%
DeKalb_County,-40%,-5%,Not enough data for this date,Not enough data for this date,-37%,+20%
Dearborn_County,-42%,-14%,Not enough data for this date,Not enough data for this date,-44%,+24%
Decatur_County,-53%,-46%,Not enough data for this date,-35%,-44%,+11%
Delaware_County,-42%,-7%,Not enough data for this date,-4%,-33%,+10%
Dubois_County,-47%,-14%,Not enough data for this date,Not enough data for this date,-49%,+23%
Elkhart_County,-32%,-5%,+23%,-20%,-40%,+11%
Fayette_County,-27%,-16%,Not enough data for this date,Not enough data for this date,-26%,+6%
Floyd_County,-40%,-4%,Not enough data for this date,Not enough data for this date,-38%,+23%
Fountain_County,-47%,+0%,Not enough data for this date,Not enough data for this date,-31%,Not
Franklin_County,-38%,-32%,Not enough data for this date,Not enough data for this date,-33%,Not
Fulton_County,-21%,-10%,Not enough data for this date,-46%,-35%,Not
Gibson_County,-27%,-4%,Not enough data for this date,-46%,-26%,+11%
Grant_County,-28%,+8%,Not enough data for this date,-32%,-24%,+8%
Greene_County,-40%,-15%,Not enough data for this date,Not enough data for this date,-29%,+5%
Hamilton_County,-51%,-8%,+111%,Not enough data for this date,-42%,+14%
Hancock_County,-39%,+33%,Not enough data for this date,-24%,-33%,+23%
Harrison_County,-40%,+0%,Not enough data for this date,Not enough data for this date,-30%,+19%
Hendricks_County,-36%,-1%,-13%,-24%,-34%,+13%
Henry_County,-25%,-1%,Not enough data for this date,-28%,-31%,+23%
Howard_County,-42%,-3%,Not enough data for this date,Not enough data for this date,-41%,+11%
Huntington_County,-33%,-18%,Not enough data for this date,-46%,-27%,+18%
Jackson_County,-26%,-45%,Not enough data for this date,-23%,-44%,+25%
Jasper_County,-24%,-3%,Not enough data for this date,-21%,-26%,+14%
Jay_County,-43%,-20%,Not enough data for this date,Not enough data for this date,-20%,Not
Jefferson_County,-31%,-7%,Not enough data for this date,Not enough data for this date,-26%,+14%
Jennings_County,-43%,-14%,Not enough data for this date,Not enough data for this date,-41%,+12%
Johnson_County,-46%,+3%,+0%,-26%,-37%,+12%
Knox_County,-34%,-5%,Not enough data for this date,Not enough data for this date,-31%,+14%
Kosciusko_County,-39%,-2%,Not enough data for this date,Not enough data for this date,-36%,+26%
LaGrange_County,-62%,-6%,-8%,-41%,-25%,+9%
LaPorte_County,-44%,+1%,-7%,-38%,-35%,+12%
Lake_County,-37%,+4%,+18%,-18%,-35%,+13%
Lawrence_County,-32%,-2%,Not enough data for this date,Not enough data for this date,-32%,+19%
Madison_County,-32%,+10%,Not enough data for this date,-29%,-35%,+10%
Marion_County,-45%,-5%,+50%,-35%,-38%,+11%
Marshall_County,-31%,+7%,Not enough data for this date,-19%,-30%,+17%
Martin_County,-53%,-8%,Not enough data for this date,Not enough data for this date,-51%,Not
Miami_County,-26%,-9%,Not enough data for this date,Not enough data for this date,-35%,+16%
Monroe_County,-49%,-12%,+35%,-33%,-40%,+12%
Montgomery_County,-23%,-9%,Not enough data for this date,-28%,-33%,+14%
Morgan_County,-27%,+8%,Not enough data for this date,Not enough data for this date,-31%,+19%
Newton_County,-18%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-27%,Not
Noble_County,-25%,+1%,Not enough data for this date,Not enough data for this date,-37%,+22%
Ohio_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-49%,Not
Orange_County,-48%,-20%,Not enough data for this date,Not enough data for this date,-48%,Not
Owen_County,-26%,-7%,Not enough data for this date,Not enough data for this date,-27%,Not
Parke_County,-53%,+10%,Not enough data for this date,Not enough data for this date,-48%,Not
Perry_County,-57%,+85%,Not enough data for this date,Not enough data for this date,-41%,Not
