Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Oklahoma,-38%,-1%,-8%,-27%,-32%,+12%
Adair_County,-22%,+8%,Not enough data for this date,Not enough data for this date,-33%,Not
Atoka_County,-31%,-24%,Not enough data for this date,-33%,-28%,Not
Beckham_County,-31%,-8%,Not enough data for this date,-20%,-22%,Not
Blaine_County,-30%,-4%,Not enough data for this date,Not enough data for this date,-36%,Not
Bryan_County,-36%,-19%,Not enough data for this date,-38%,-31%,+16%
Caddo_County,-12%,+7%,Not enough data for this date,-23%,-25%,Not
Canadian_County,-34%,-14%,+26%,-17%,-35%,+14%
Carter_County,-37%,+9%,Not enough data for this date,-25%,-29%,+15%
Cherokee_County,-26%,-1%,Not enough data for this date,Not enough data for this date,-31%,+18%
Choctaw_County,-25%,-5%,Not enough data for this date,Not enough data for this date,-21%,Not
Cleveland_County,-46%,-9%,-28%,Not enough data for this date,-37%,+14%
Coal_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Comanche_County,-49%,+0%,-18%,-33%,-36%,+13%
Cotton_County,Not,-23%,Not enough data for this date,-51%,-41%,Not
Craig_County,-18%,-25%,Not enough data for this date,-2%,-22%,Not
Creek_County,-20%,+12%,-37%,Not enough data for this date,-30%,+17%
Custer_County,-30%,-8%,Not enough data for this date,-24%,-33%,Not
Delaware_County,-17%,+22%,Not enough data for this date,-22%,-25%,+13%
Garfield_County,-30%,+6%,-54%,-31%,-23%,+16%
Garvin_County,-25%,+2%,-56%,-20%,-24%,-4%
Grady_County,-35%,+6%,Not enough data for this date,Not enough data for this date,-24%,+16%
Greer_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-43%,Not
Haskell_County,-20%,-12%,Not enough data for this date,Not enough data for this date,-30%,Not
Hughes_County,-6%,+8%,Not enough data for this date,Not enough data for this date,-24%,Not
Jackson_County,-43%,-2%,Not enough data for this date,Not enough data for this date,-20%,+9%
Jefferson_County,Not,-4%,Not enough data for this date,Not enough data for this date,-46%,Not
Johnston_County,-58%,+9%,Not enough data for this date,Not enough data for this date,-40%,Not
Kay_County,-17%,+17%,Not enough data for this date,-32%,-28%,+17%
Kingfisher_County,-24%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-36%,Not
Kiowa_County,-15%,-2%,Not enough data for this date,Not enough data for this date,-32%,Not
Latimer_County,-26%,-11%,Not enough data for this date,Not enough data for this date,-44%,Not
Le_Flore_County,-28%,+5%,Not enough data for this date,Not enough data for this date,-29%,+11%
Lincoln_County,-35%,-5%,Not enough data for this date,Not enough data for this date,-26%,+12%
Logan_County,-40%,-3%,Not enough data for this date,-18%,-25%,+17%
Love_County,-50%,-13%,Not enough data for this date,Not enough data for this date,-44%,Not
Major_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-38%,Not
Marshall_County,-29%,+7%,Not enough data for this date,Not enough data for this date,-21%,Not
Mayes_County,-29%,+3%,Not enough data for this date,-22%,-24%,+16%
McClain_County,-23%,-7%,Not enough data for this date,-52%,-36%,+15%
McCurtain_County,-34%,-4%,+2%,-23%,-22%,+7%
McIntosh_County,-31%,+24%,Not enough data for this date,-24%,-23%,Not
Murray_County,-31%,+0%,-19%,Not enough data for this date,-35%,Not
Muskogee_County,-32%,+10%,+19%,-28%,-23%,+14%
Noble_County,-40%,-7%,Not enough data for this date,-62%,-50%,Not
Nowata_County,-51%,-2%,Not enough data for this date,-28%,-52%,Not
Okfuskee_County,-41%,-4%,Not enough data for this date,-41%,-44%,Not
Oklahoma_County,-45%,-4%,-17%,-34%,-35%,+13%
Okmulgee_County,-19%,+0%,Not enough data for this date,-27%,-26%,+15%
Osage_County,-18%,+12%,Not enough data for this date,Not enough data for this date,-28%,+17%
Ottawa_County,-21%,-2%,Not enough data for this date,Not enough data for this date,-34%,+10%
Pawnee_County,-32%,-11%,Not enough data for this date,Not enough data for this date,-26%,Not
Payne_County,-43%,-12%,+10%,Not enough data for this date,-31%,+21%
Pittsburg_County,-36%,+12%,-38%,-49%,-27%,+13%
Pontotoc_County,-35%,-6%,Not enough data for this date,Not enough data for this date,-33%,+15%
Pottawatomie_County,-39%,+13%,-56%,Not enough data for this date,-32%,+19%
Pushmataha_County,-37%,+4%,Not enough data for this date,Not enough data for this date,-33%,Not
Rogers_County,-34%,+3%,+16%,Not enough data for this date,-32%,+12%
Seminole_County,-20%,+13%,Not enough data for this date,-11%,-26%,Not
Sequoyah_County,-23%,+4%,Not enough data for this date,-25%,-28%,+12%
Stephens_County,-34%,+2%,Not enough data for this date,Not enough data for this date,-28%,+15%
Texas_County,-31%,-12%,Not enough data for this date,-28%,-25%,Not
Tillman_County,-14%,+0%,Not enough data for this date,Not enough data for this date,-48%,Not
Tulsa_County,-44%,+0%,-31%,-6%,-36%,+12%
Wagoner_County,-12%,+4%,Not enough data for this date,Not enough data for this date,-34%,+18%
Washington_County,-40%,+7%,Not enough data for this date,Not enough data for this date,-28%,+17%
Washita_County,Not,-17%,Not enough data for this date,Not enough data for this date,-31%,Not
Woods_County,-19%,Not enough data for this date,+4%,Not enough data for this date,-38%,Not
Woodward_County,-39%,-11%,Not enough data for this date,Not enough data for this date,-18%,Not
