Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Tennessee,-40%,+2%,+11%,-36%,-33%,+10%
Anderson_County,-35%,+8%,+12%,Not enough data for this date,-28%,+9%
Bedford_County,-24%,+7%,Not enough data for this date,Not enough data for this date,-34%,+19%
Benton_County,-66%,+83%,Not enough data for this date,-35%,-32%,Not
Bledsoe_County,-7%,+18%,Not enough data for this date,Not enough data for this date,-48%,Not
Blount_County,-33%,+8%,+65%,-78%,-37%,+9%
Bradley_County,-37%,+6%,Not enough data for this date,-30%,-34%,+9%
Campbell_County,-14%,+0%,+4%,-37%,-22%,+12%
Cannon_County,+0%,+12%,Not enough data for this date,Not enough data for this date,-34%,Not
Carroll_County,-37%,+4%,Not enough data for this date,Not enough data for this date,-25%,+4%
Carter_County,-21%,+14%,+16%,Not enough data for this date,-27%,+18%
Cheatham_County,-43%,+66%,Not enough data for this date,-34%,-32%,+18%
Chester_County,-19%,-4%,Not enough data for this date,Not enough data for this date,-21%,Not
Claiborne_County,-32%,+46%,Not enough data for this date,Not enough data for this date,-27%,-2%
Clay_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-44%,Not
Cocke_County,-20%,+21%,+2%,-20%,-42%,+12%
Coffee_County,-32%,+3%,Not enough data for this date,-59%,-32%,+19%
Crockett_County,-34%,+4%,Not enough data for this date,Not enough data for this date,-31%,Not
Cumberland_County,-29%,-7%,Not enough data for this date,-31%,-31%,+16%
Davidson_County,-51%,-10%,-44%,-62%,-41%,+13%
DeKalb_County,-12%,+18%,Not enough data for this date,Not enough data for this date,-34%,Not
Decatur_County,-20%,+22%,Not enough data for this date,Not enough data for this date,-44%,Not
Dickson_County,-36%,+0%,Not enough data for this date,-32%,-30%,+20%
Dyer_County,-30%,-4%,Not enough data for this date,-23%,-23%,+10%
Fayette_County,-17%,+52%,Not enough data for this date,-42%,-26%,+9%
Fentress_County,-26%,+1%,Not enough data for this date,Not enough data for this date,-9%,Not
Franklin_County,-16%,+14%,Not enough data for this date,Not enough data for this date,-36%,+15%
Gibson_County,-19%,+20%,Not enough data for this date,Not enough data for this date,-30%,+19%
Giles_County,-21%,+13%,Not enough data for this date,-52%,-27%,+8%
Grainger_County,-39%,+4%,Not enough data for this date,Not enough data for this date,-26%,Not
Greene_County,-29%,+0%,Not enough data for this date,-17%,-26%,+7%
Grundy_County,-66%,-12%,Not enough data for this date,Not enough data for this date,-44%,Not
Hamblen_County,-36%,+4%,Not enough data for this date,Not enough data for this date,-33%,+18%
Hamilton_County,-48%,-2%,-25%,-32%,-36%,+12%
Hancock_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-55%,Not
Hardeman_County,-36%,-2%,Not enough data for this date,Not enough data for this date,-37%,Not
Hardin_County,-29%,+9%,Not enough data for this date,Not enough data for this date,-23%,Not
Hawkins_County,-18%,+17%,Not enough data for this date,Not enough data for this date,-19%,+18%
Haywood_County,-25%,+4%,Not enough data for this date,Not enough data for this date,-26%,Not
Henderson_County,-26%,+11%,Not enough data for this date,Not enough data for this date,-33%,-1%
Henry_County,-34%,+9%,Not enough data for this date,Not enough data for this date,-26%,+13%
Hickman_County,-32%,+5%,Not enough data for this date,Not enough data for this date,-27%,-3%
Houston_County,-70%,-6%,Not enough data for this date,Not enough data for this date,-53%,Not
Humphreys_County,-29%,-5%,Not enough data for this date,Not enough data for this date,-31%,Not
Jackson_County,Not,+2%,Not enough data for this date,Not enough data for this date,-53%,Not
Jefferson_County,-22%,+13%,Not enough data for this date,-35%,-36%,+18%
Johnson_County,-22%,+0%,Not enough data for this date,Not enough data for this date,-20%,Not
Knox_County,-44%,-2%,+11%,-32%,-36%,+10%
Lauderdale_County,-20%,+19%,Not enough data for this date,Not enough data for this date,-27%,Not
Lawrence_County,-34%,+4%,Not enough data for this date,Not enough data for this date,-26%,+13%
Lewis_County,-20%,+17%,Not enough data for this date,Not enough data for this date,-50%,Not
Lincoln_County,-24%,+10%,Not enough data for this date,Not enough data for this date,-20%,+7%
Loudon_County,-24%,+10%,Not enough data for this date,-31%,-28%,+17%
Macon_County,-32%,-4%,Not enough data for this date,Not enough data for this date,-23%,Not
Madison_County,-48%,-13%,-51%,-44%,-37%,+11%
Marion_County,-31%,-14%,+10%,-28%,-32%,+0%
Marshall_County,-16%,+6%,Not enough data for this date,-47%,-32%,+17%
Maury_County,-40%,-2%,-33%,-34%,-36%,+10%
McMinn_County,-33%,+9%,Not enough data for this date,-53%,-32%,+18%
McNairy_County,-23%,+5%,Not enough data for this date,-26%,-20%,Not
Meigs_County,-25%,+32%,Not enough data for this date,Not enough data for this date,-37%,Not
Monroe_County,-24%,+40%,Not enough data for this date,Not enough data for this date,-30%,+15%
Montgomery_County,-38%,+3%,+58%,-24%,-33%,+10%
Moore_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-52%,Not
Morgan_County,+7%,+3%,Not enough data for this date,Not enough data for this date,-21%,Not
Obion_County,-33%,+13%,Not enough data for this date,Not enough data for this date,-28%,+6%
Overton_County,-23%,+0%,Not enough data for this date,Not enough data for this date,-25%,Not
Perry_County,-59%,Not enough data for this date,Not enough data for this date,Not enough data for this date,-50%,Not
Polk_County,-41%,+2%,Not enough data for this date,Not enough data for this date,-31%,Not
Putnam_County,-44%,-10%,Not enough data for this date,-29%,-28%,+7%
Rhea_County,-19%,+8%,Not enough data for this date,Not enough data for this date,-28%,+11%
Roane_County,-25%,+10%,-24%,Not enough data for this date,-27%,+17%
Robertson_County,-22%,+16%,Not enough data for this date,-27%,-34%,+21%
Rutherford_County,-40%,-2%,+72%,-21%,-34%,+11%
Scott_County,-28%,+9%,Not enough data for this date,Not enough data for this date,-19%,Not
Sequatchie_County,-35%,+7%,Not enough data for this date,Not enough data for this date,-25%,Not
Sevier_County,-72%,-27%,-70%,Not enough data for this date,-57%,+13%
Shelby_County,-38%,+4%,-45%,-20%,-29%,+11%
Smith_County,-30%,+22%,Not enough data for this date,-26%,-18%,Not
Stewart_County,-23%,+15%,Not enough data for this date,Not enough data for this date,-49%,Not
Sullivan_County,-37%,+2%,+41%,-41%,-28%,+8%
Sumner_County,-40%,+1%,+91%,Not enough data for this date,-35%,+11%
Tipton_County,-23%,+22%,Not enough data for this date,Not enough data for this date,-21%,+20%
Trousdale_County,-37%,+11%,Not enough data for this date,Not enough data for this date,-52%,Not
Unicoi_County,-25%,+16%,Not enough data for this date,Not enough data for this date,-28%,Not
Union_County,+9%,+0%,Not enough data for this date,Not enough data for this date,-25%,Not
Van_Buren_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-58%,Not
Warren_County,-18%,+21%,Not enough data for this date,Not enough data for this date,-24%,+14%
