Territory,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Virginia,-40%,-9%,+17%,-49%,-36%,+13%
Accomack_County,-24%,-4%,Not enough data for this date,Not enough data for this date,-19%,+14%
Albemarle_County,-48%,-18%,-2%,-61%,-39%,+25%
Alexandria,-58%,-16%,+9%,-62%,-46%,+18%
Alleghany_County,-17%,Not enough data for this date,Not enough data for this date,-22%,-25%,Not
Amelia_County,-60%,-21%,Not enough data for this date,Not enough data for this date,-43%,Not
Amherst_County,-2%,-2%,Not enough data for this date,Not enough data for this date,-23%,+8%
Appomattox_County,-21%,+12%,Not enough data for this date,Not enough data for this date,-20%,Not
Arlington_County,-67%,-23%,-21%,-81%,-51%,+19%
Augusta_County,-38%,-6%,-22%,+13%,-27%,+20%
Bath_County,Not,Not enough data for this date,-73%,Not enough data for this date,Not enough data for this date,Not
Bedford_County,-28%,+3%,Not enough data for this date,Not enough data for this date,-26%,+20%
Bland_County,Not,Not enough data for this date,Not enough data for this date,-32%,-49%,Not
Botetourt_County,-58%,-18%,Not enough data for this date,-31%,-34%,+14%
Bristol,-30%,-12%,Not enough data for this date,Not enough data for this date,-30%,Not
Brunswick_County,-42%,Not enough data for this date,Not enough data for this date,-57%,-20%,Not
Buchanan_County,-26%,+0%,Not enough data for this date,Not enough data for this date,-43%,Not
Buckingham_County,-16%,-12%,Not enough data for this date,Not enough data for this date,-42%,Not
Buena_Vista,-40%,-14%,Not enough data for this date,Not enough data for this date,-53%,Not
Campbell_County,-26%,+3%,Not enough data for this date,Not enough data for this date,-32%,+18%
Caroline_County,-47%,-21%,-68%,-36%,-23%,+18%
Carroll_County,-19%,+7%,Not enough data for this date,-29%,-23%,+4%
Charles_City_County,Not,Not enough data for this date,Not enough data for this date,Not enough data for this date,-41%,Not
Charlotte_County,-7%,+17%,Not enough data for this date,Not enough data for this date,-38%,Not
Charlottesville,-68%,-24%,-22%,-49%,-51%,+15%
Chesapeake,-35%,-15%,+35%,-6%,-34%,+12%
